
[00:00:00.000 --> 00:00:03.420]  各位弟兄姊妹,主內平安。
[00:00:03.420 --> 00:00:10.840]  今天與大家分享的經文是《馬太復英》第五章第五節。
[00:00:10.840 --> 00:00:14.240]  題目是《做一個溫柔人》。
[00:00:14.240 --> 00:00:19.400]  經文其實是我們很熟悉的。
[00:00:19.400 --> 00:00:23.500]  溫柔的人有福了,因爲他們必承受地土。
[00:00:23.500 --> 00:00:26.040]  何韶本他有另外一個翻譯,
[00:00:26.040 --> 00:00:31.980]  他說,謙和的人有福了,因爲他們必承受土地。
[00:00:31.980 --> 00:00:36.960]  這一段經文的信息,我肯定大家不是第一次聽,
[00:00:36.960 --> 00:00:43.360]  因爲很多的牧者都喜歡採用它來宣講神的話語。
[00:00:43.360 --> 00:00:53.060]  大家印象最深的是哪一個牧者,或者是哪一篇經文、哪一篇信息呢?
[00:00:53.060 --> 00:01:03.480]  我印象最深的是1992年港九培林會里面一系列的講座,
[00:01:03.480 --> 00:01:06.520]  《從巴夫看靈命的操練》。
[00:01:06.520 --> 00:01:12.240]  而其中第三幅的題目,我過了很多年以後,
[00:01:12.240 --> 00:01:18.380]  我還記得,《溫柔和輔忠道的自我形象》。
[00:01:18.380 --> 00:01:21.820]  這是他五個裏面提到的重點。
[00:01:21.820 --> 00:01:25.860]  當然我不打算一一的誦讀。
[00:01:25.860 --> 00:01:32.000]  那大家知道這一冊的信息是誰講的呢?
[00:01:32.000 --> 00:01:36.780]  有些人知道的,就是我們尊敬的張牧楷牧師。
[00:01:36.780 --> 00:01:43.220]  雖然過了很多年,當我重溫這一段張牧師的記錄,
[00:01:43.220 --> 00:01:48.680]  仍然在當中得到很多的提醒,或許良多。
[00:01:48.680 --> 00:01:53.060]  所以我在準備的時候,我問自己,也問上帝,
[00:01:53.060 --> 00:01:55.760]  我還有什麼可以講的呢?
[00:01:55.760 --> 00:02:02.020]  既然很多前輩、很多牧者在解釋聖經上面用了很多的功夫,
[00:02:02.020 --> 00:02:07.620]  又在牧演信息上面對我們很多寶貴的提醒,
[00:02:07.620 --> 00:02:11.820]  我們也聽了不少,甚至我們有實踐過,
[00:02:11.820 --> 00:02:14.840]  那我還有什麼可以再說的呢?
[00:02:14.840 --> 00:02:22.940]  所以想到這裏,我幾乎很想拿張牧師的信息出來再誦讀一篇,
[00:02:22.940 --> 00:02:28.620]  因爲我肯定他的內容比我更紮實,更有提醒。
[00:02:28.620 --> 00:02:35.700]  但是我在想,我們的問題是聽多幾冊就能解決嗎?
[00:02:35.700 --> 00:02:38.980]  所以我在這裏,我在想,肯定不是。
[00:02:38.980 --> 00:02:43.420]  因爲我們的問題不是不知道,不是不認識,
[00:02:43.420 --> 00:02:50.760]  而是在行道上面,我們無論是對自己,與他人,或者是向上帝,
[00:02:50.760 --> 00:02:53.780]  我們都有很多的限制與不足,
[00:02:53.780 --> 00:03:00.200]  我們需要在當中突破、更新、跨越、進步。
