
[00:00:00.000 --> 00:00:01.800]  鼎子妹主乃平安
[00:00:01.800 --> 00:00:03.520]  我想問大家一個問題
[00:00:03.520 --> 00:00:07.480]  你有沒有計算過你一年大概會聽多少篇道呢?
[00:00:07.480 --> 00:00:10.760]  如果我們只是計崇拜的時候
[00:00:10.760 --> 00:00:13.000]  最基本我們有52篇
[00:00:13.000 --> 00:00:15.200]  當然有時我們有特別的事情
[00:00:15.200 --> 00:00:16.720]  我們回不了崇拜
[00:00:16.720 --> 00:00:18.760]  如果我們很勤力的時候
[00:00:18.760 --> 00:00:20.000]  我們打過九五折
[00:00:20.000 --> 00:00:22.880]  我們都可能有四十多篇的道
[00:00:22.880 --> 00:00:25.120]  我們都會來聽
[00:00:25.120 --> 00:00:27.720]  如果我們去加上每一年
[00:00:27.720 --> 00:00:30.760]  大大小小的培靈的聚會
[00:00:30.760 --> 00:00:32.040]  憤興的聚會
[00:00:32.040 --> 00:00:33.200]  退休的聚會
[00:00:33.200 --> 00:00:36.320]  我們閒閒地一年真的聽七八千篇道
[00:00:36.320 --> 00:00:40.280]  如果我們信主超過十年以上的時候
[00:00:40.280 --> 00:00:41.360]  不是誇張地說
[00:00:41.360 --> 00:00:43.600]  我們聽的道上千篇
[00:00:43.600 --> 00:00:45.720]  是真的閒閒地
[00:00:45.720 --> 00:00:46.680]  鼎子妹
[00:00:46.680 --> 00:00:48.520]  其實每一篇的道
[00:00:48.520 --> 00:00:51.200]  都塑造著我們的生命
[00:00:51.200 --> 00:00:52.440]  無論聽的
[00:00:52.440 --> 00:00:54.160]  無論講的
[00:00:54.160 --> 00:00:56.440]  都透過這些道
[00:00:56.440 --> 00:00:58.800]  來給我們有機會
[00:00:58.800 --> 00:01:01.400]  有生命的更新
[00:01:01.400 --> 00:01:02.360]  但是很視乎
[00:01:02.360 --> 00:01:03.000]  鼎子妹
[00:01:03.000 --> 00:01:04.800]  究竟我們怎樣去聆聽
[00:01:04.800 --> 00:01:07.880]  和怎樣去領受神的話
[00:01:07.880 --> 00:01:10.440]  今天早上想和大家一起去思想
[00:01:10.440 --> 00:01:13.440]  一起去重溫殺種的比喻
[00:01:13.440 --> 00:01:15.080]  一個簡單
[00:01:15.080 --> 00:01:16.760]  盡永的比喻
[00:01:16.760 --> 00:01:17.760]  這個比喻
[00:01:17.760 --> 00:01:19.160]  講到一個殺種的人
[00:01:19.160 --> 00:01:21.520]  他去到田間殺種
[00:01:21.520 --> 00:01:23.720]  種子就是神的道
[00:01:23.720 --> 00:01:27.080]  這些種子就落到四個不同的地方
[00:01:27.080 --> 00:01:28.640]  四類不同的地方
[00:01:28.640 --> 00:01:32.640]  比喻有四種人不同的反應
[00:01:32.640 --> 00:01:36.680]  最終也有四種不同的結果
[00:01:36.680 --> 00:01:37.680]  鼎子妹
[00:01:37.680 --> 00:01:39.560]  究竟我們的光景
[00:01:39.560 --> 00:01:42.760]  是屬於哪一類型的土壤
[00:01:42.760 --> 00:01:44.760]  我們是一個怎樣的聆聽者
[00:01:44.760 --> 00:01:46.440]  我很盼望今天藉著這段經文
[00:01:46.440 --> 00:01:47.360]  這段訊息
[00:01:47.360 --> 00:01:48.560]  讓我們一起去思想
[00:01:48.560 --> 00:01:52.560]  盼望給我們有適時的提醒和啟發
[00:01:52.560 --> 00:01:54.760]  首先讓我們讀這段經文
[00:01:54.760 --> 00:01:59.160]  《馬福音》四章一至二十節
[00:01:59.160 --> 00:02:01.920]  耶穌又在海邊教訓人
[00:02:01.920 --> 00:02:05.000]  有許多人到他那裡聚集
[00:02:05.000 --> 00:02:07.520]  他只得上船坐下
[00:02:07.520 --> 00:02:09.120]  船在海裡
[00:02:09.120 --> 00:02:11.240]  眾人都靠近海
[00:02:11.240 --> 00:02:13.040]  站在岸上
[00:02:13.040 --> 00:02:17.280]  耶穌就用比喻教訓他們許多道理
[00:02:17.280 --> 00:02:20.560]  在教訓之間對他們說
[00:02:20.560 --> 00:02:25.360]  你們聽啊有一個殺種的出去殺種
[00:02:25.360 --> 00:02:28.720]  殺的時候有落在路旁的
[00:02:28.720 --> 00:02:30.840]  飛了來吃盡了
[00:02:30.840 --> 00:02:34.200]  有落在土淺石頭地上的
[00:02:34.200 --> 00:02:37.160]  土技不深發苗最快
[00:02:37.160 --> 00:02:39.160]  日頭出來一曬
[00:02:39.160 --> 00:02:42.320]  因為沒有根就枯乾了
[00:02:42.320 --> 00:02:44.600]  有落在荊棘裡的
[00:02:44.600 --> 00:02:46.200]  荊棘長起來
[00:02:46.200 --> 00:02:49.680]  把他擠住了就不結實
[00:02:49.680 --> 00:02:52.280]  又有落在好土裡的
[00:02:52.280 --> 00:02:54.200]  就發生長大
[00:02:54.200 --> 00:02:56.320]  結實有三十倍的
[00:02:56.320 --> 00:02:57.960]  有六十倍的
[00:02:57.960 --> 00:02:59.760]  有一百倍的
[00:02:59.760 --> 00:03:04.080]  有耳可聽的就應當聽
[00:03:04.080 --> 00:03:05.520]  無人的時候
[00:03:05.520 --> 00:03:08.800]  跟隨耶穌的人和十二個門徒
[00:03:08.800 --> 00:03:11.440]  問他者比喻的意思
[00:03:11.440 --> 00:03:13.480]  耶穌對他們說
[00:03:13.480 --> 00:03:17.000]  神的被只叫你們知道
[00:03:17.000 --> 00:03:18.840]  若是對外人講
[00:03:18.840 --> 00:03:21.640]  凡事就用比喻
[00:03:21.640 --> 00:03:24.440]  叫他們看是看見
[00:03:24.440 --> 00:03:25.840]  卻不曉得
[00:03:25.840 --> 00:03:27.480]  聽是聽見
[00:03:27.480 --> 00:03:28.880]  卻不明白
[00:03:28.880 --> 00:03:31.440]  恐怕他們迴轉過來
[00:03:31.440 --> 00:03:33.160]  就得赦免
[00:03:33.160 --> 00:03:35.000]  又對他們說
[00:03:35.000 --> 00:03:37.800]  你們不明白這比喻嗎?
[00:03:37.800 --> 00:03:41.720]  這樣怎能明白一切的比喻呢?
[00:03:41.720 --> 00:03:45.200]  殺種之人所殺的就是道
[00:03:45.200 --> 00:03:47.080]  那殺在路旁的
[00:03:47.080 --> 00:03:49.200]  就是人聽了道
[00:03:49.200 --> 00:03:50.760]  撒旦立刻來
[00:03:50.760 --> 00:03:54.600]  把殺在他心裡的道奪了去
[00:03:54.600 --> 00:03:57.000]  那殺在石頭地上的
[00:03:57.000 --> 00:03:58.880]  就是人聽了道
[00:03:58.880 --> 00:04:01.240]  立刻歡喜領受
[00:04:01.240 --> 00:04:03.560]  但他心裡沒有根
[00:04:03.560 --> 00:04:05.840]  不過是暫時的
[00:04:05.840 --> 00:04:08.280]  及至為道遭了患難
[00:04:08.280 --> 00:04:10.280]  或是受了逼迫
[00:04:10.280 --> 00:04:12.720]  立刻就跌倒了
[00:04:12.720 --> 00:04:15.280]  還有那殺在荊棘裡的
[00:04:15.280 --> 00:04:17.280]  就是人聽了道
[00:04:17.280 --> 00:04:19.920]  後來在世上的思慮
[00:04:19.920 --> 00:04:21.600]  錢財的迷惑
[00:04:21.600 --> 00:04:24.040]  和別樣的私慾盡來
[00:04:24.040 --> 00:04:25.960]  把道擠住了
[00:04:25.960 --> 00:04:27.880]  就不能結實
[00:04:27.880 --> 00:04:30.280]  那殺在好地上的
[00:04:30.280 --> 00:04:31.960]  就是人聽道
[00:04:31.960 --> 00:04:33.280]  又領受
[00:04:33.280 --> 00:04:34.760]  並且結實
[00:04:34.760 --> 00:04:36.400]  有三十倍的
[00:04:36.400 --> 00:04:37.920]  有六十倍的
[00:04:37.920 --> 00:04:40.040]  有一百倍的
[00:04:40.040 --> 00:04:41.880]  殺種的比喻可以說是
[00:04:41.880 --> 00:04:43.600]  比喻中的比喻
[00:04:43.600 --> 00:04:46.000]  剛才所讀的經文第十三節裡面
[00:04:46.000 --> 00:04:48.720]  耶穌說你們不明白這比喻嗎?
[00:04:48.720 --> 00:04:52.080]  這樣怎能明白一切的比喻呢?
[00:04:52.080 --> 00:04:53.520]  可以看得見
[00:04:53.520 --> 00:04:55.160]  殺種的比喻
[00:04:55.160 --> 00:04:58.080]  是一個很重要的比喻
[00:04:58.080 --> 00:05:01.440]  這段經文我們大概可以分為三個段落
[00:05:01.440 --> 00:05:03.440]  第一個段落是一開始一節
[00:05:03.440 --> 00:05:04.720]  去到第九節
[00:05:04.720 --> 00:05:06.760]  講到比喻的內容
[00:05:06.760 --> 00:05:09.320]  第二個段落是十至十二節
[00:05:09.320 --> 00:05:10.320]  交代
