
[00:00:00.000 --> 00:00:18.000]  首先我問大家一個問題,你為什麼信主呢?你怎樣信主的呢?
[00:00:19.000 --> 00:00:38.000]  我小的時候有一個對信主的看法,假如我親眼看到神顯現在我的面前,我才會信。
[00:00:39.000 --> 00:00:58.000]  不曉得大家有沒有這樣的想法,如果你是真的在我面前顯現,後來當我信主的時候,不是因為親眼看到神的顯現,
[00:00:59.000 --> 00:01:12.000]  而是聽到了福音,知道原來有一個偉大的人,就是救主耶穌基督為我的罪而死,
[00:01:13.000 --> 00:01:27.000]  讓我可以再一次回到真神的懷抱裡面,享受祂對我的愛和恩典。
[00:01:28.000 --> 00:01:40.000]  但並不是每一個人聽到這個死而復活的主耶穌,就會馬上相信。
[00:01:40.000 --> 00:01:50.000]  在今天的經文裡面,我們可以看到有兩個很不理想的情景。
[00:01:51.000 --> 00:01:58.000]  在第九節和第十節,我們先看第九跟第十節,請聽我來念。
[00:01:58.000 --> 00:02:08.000]  在七日的第一清早,耶穌復活了,就像莫大拉的瑪利亞顯現,耶穌從祂身上曾趕出七個鬼,
[00:02:08.000 --> 00:02:14.000]  祂去告訴那向來跟隨耶穌的人,那時他們正哀動哭泣。
[00:02:15.000 --> 00:02:22.000]  第十一節,他們聽見耶穌活了,被瑪利亞看見,卻是不幸。
[00:02:22.000 --> 00:02:34.000]  這裡有一個莫大拉的瑪利亞,她跟兩個婦女,在禮拜日的清早來到主耶穌的墳墓面前,
[00:02:35.000 --> 00:02:49.000]  她見到一個天使,從天使的口中,他們知道主耶穌已經復活了,
[00:02:49.000 --> 00:02:56.000]  但是因為他們害怕,不敢告訴別人。
[00:02:57.000 --> 00:03:09.000]  但是後來主耶穌親自向莫大拉的瑪利亞顯現,祂就去告訴主的門徒,
[00:03:09.000 --> 00:03:21.000]  特別是告訴彼得,但是很可惜,結果他們都不相信祂所說的話。
[00:03:22.000 --> 00:03:31.000]  我們看第二個情景,我們看第十二十三節,
[00:03:31.000 --> 00:03:39.000]  這次以後門徒中間有兩個人,往下走路的時候,耶穌變了形象向他們顯現,
[00:03:39.000 --> 00:03:44.000]  他們就去告訴其餘的門徒,其餘的門徒也是不信。
[00:03:44.000 --> 00:03:50.000]  主耶穌之後曾經以另一個形象向兩個門徒顯現,
[00:03:51.000 --> 00:04:00.000]  根據其他的福音書記載,
[00:04:00.000 --> 00:04:11.000]  我們知道他們兩個人正在往以馬五思的路上,
[00:04:12.000 --> 00:04:21.000]  起初他們不認得主耶穌,後來他們如夢初醒,
[00:04:21.000 --> 00:04:29.000]  知道了,原來他們竟然遇到了復活了的耶穌,
[00:04:29.000 --> 00:04:37.000]  所以他們就回去告訴其他的門徒知道,
[00:04:38.000 --> 00:04:46.000]  那些門徒的反應是怎麼樣呢?跟以前一樣,還是不相信。
[00:04:46.000 --> 00:04:56.000]  這件事之後也發生了一些事情,第十四節請聽我來念,
[00:04:56.000 --> 00:05:01.000]  後來十一個門徒作息的時候,耶穌向他們顯現,
[00:05:02.000 --> 00:05:08.000]  他們不信,心裡剛硬,因為他們不信那些在他復活以後看見他的人。
[00:05:08.000 --> 00:05:15.000]  主耶穌向他們顯現,責備他們不信,
[00:05:15.000 --> 00:05:20.000]  就因為他們不信穆達拉瑪利亞和那兩個門徒,
[00:05:20.000 --> 00:05:25.000]  這三個見證人所說的話。
[00:05:25.000 --> 00:05:30.000]  因為他們不相信穆達拉瑪利亞和另外兩個門徒所說的話。
