
[00:00:00.000 --> 00:00:04.400]  頂姐妹早晨,很開心可以跟大家分享神的話語
[00:00:04.400 --> 00:00:08.400]  我們明天就正式封鎖完畢
[00:00:08.400 --> 00:00:12.400]  不知道大家第一樣想做的事是什麼呢?
[00:00:12.400 --> 00:00:14.900]  有些人說要去飲茶
[00:00:14.900 --> 00:00:19.900]  希望大家飲茶愉快,或者購物
[00:00:19.900 --> 00:00:24.900]  或者去跟頂姐妹朋友重新見面
[00:00:24.900 --> 00:00:27.400]  今天的題目比較特別
[00:00:27.400 --> 00:00:31.400]  叫做又吃又喝的門徒代表什麼呢?
[00:00:31.400 --> 00:00:38.400]  我覺得在路加福音第五章第27至第39節這段經文
[00:00:38.400 --> 00:00:40.400]  是非常有意思的
[00:00:40.400 --> 00:00:44.400]  跟我們想到關於吃東西的問題
[00:00:44.400 --> 00:00:47.400]  聖經裡面不是時時說吃東西的
[00:00:47.400 --> 00:00:51.400]  但是路加在這裡就說不只是吃東西
[00:00:51.400 --> 00:00:54.400]  還要是吃一個大筵席
[00:00:54.400 --> 00:00:56.400]  究竟整件事是怎麼樣呢?
[00:00:56.400 --> 00:00:59.400]  今天就讓我們一起讀這些聖經
[00:00:59.400 --> 00:01:01.400]  去明白和解釋
[00:01:01.400 --> 00:01:06.400]  以致我們從中學到神要我們學什麼功課
[00:01:06.400 --> 00:01:08.400]  請聽我讀這段經文
[00:01:08.400 --> 00:01:13.400]  就是路加福音第五章第27至第39節
[00:01:13.400 --> 00:01:16.400]  慢慢聽我讀,經文也不是太短
[00:01:16.400 --> 00:01:20.400]  不過它是一個整體,所以一定要讀完
[00:01:20.400 --> 00:01:24.400]  請聽我讀第五章第27節
[00:01:24.400 --> 00:01:27.400]  「這時以後耶穌出去
[00:01:27.400 --> 00:01:31.400]  看見一個瑞利名叫利尼坐在瑞關上
[00:01:31.400 --> 00:01:34.400]  就對他說:你跟從我來
[00:01:34.400 --> 00:01:38.400]  他就撇下所有的起來跟從了耶穌
[00:01:38.400 --> 00:01:43.400]  利尼在自己家裡為耶穌大擺筵席
[00:01:43.400 --> 00:01:47.400]  有許多瑞利和別人與他們一同坐席
[00:01:47.400 --> 00:01:53.400]  伐利塞人和民士就向耶穌的門徒發現言說
[00:01:53.400 --> 00:01:58.400]  你們為什麼和瑞利並罪人同吃喝呢?
[00:01:58.400 --> 00:02:04.400]  耶穌對他們說:無病的人用不著醫生
[00:02:04.400 --> 00:02:06.400]  有病的人才用得著
[00:02:06.400 --> 00:02:13.400]  我來本不是召義人悔改乃是召罪人悔改
[00:02:13.400 --> 00:02:18.400]  他們說:約翰的門徒屢次禁食祈禱
[00:02:18.400 --> 00:02:21.400]  伐利塞人的門徒也是這樣
[00:02:21.400 --> 00:02:25.400]  唯獨你的門徒又吃又喝
[00:02:25.400 --> 00:02:30.400]  耶穌對他們說:新郎和陪伴之人同在的時候
[00:02:30.400 --> 00:02:34.400]  豈能叫陪伴之人禁食呢?
[00:02:34.400 --> 00:02:38.400]  但日子將到新郎要離開他們
[00:02:38.400 --> 00:02:42.400]  那日子他們就要禁食了
[00:02:42.400 --> 00:02:44.400]  第36節
[00:02:44.400 --> 00:02:47.400]  耶穌又設一個比喻對他們說
[00:02:47.400 --> 00:02:51.400]  沒有人把新衣服撕下一塊來
[00:02:51.400 --> 00:02:53.400]  補在舊衣服上
[00:02:53.400 --> 00:02:57.400]  若是這樣就把新的撕破了
[00:02:57.400 --> 00:03:02.400]  並且所撕下來的那塊新的和舊的也不相稱
[00:03:02.400 --> 00:03:06.400]  也沒有人把新酒裝在舊皮袋裡
[00:03:06.400 --> 00:03:10.400]  若是這樣新酒必將皮袋裂開
[00:03:10.400 --> 00:03:14.400]  酒便漏出來皮袋也就壞了
[00:03:14.400 --> 00:03:17.400]  新酒必須裝在新皮袋裡
[00:03:17.400 --> 00:03:21.400]  沒有人喝了陳酒又想喝新的
[00:03:21.400 --> 00:03:24.400]  他總說陳的好
[00:03:24.400 --> 00:03:26.400]  我們先一起來禱告吧
[00:03:26.400 --> 00:03:30.400]  天父多謝你讓我們一起思想你的話語
[00:03:30.400 --> 00:03:33.400]  求聖靈幫助孩子
[00:03:33.400 --> 00:03:37.400]  在這個時刻能夠將你的話語解清楚明白
[00:03:37.400 --> 00:03:42.400]  也同時聖靈在佛無縣界進入人的內心裡
[00:03:42.400 --> 00:03:44.400]  改變人的心
[00:03:44.400 --> 00:03:50.400]  求你幫助孩子和幫助這段經文所解出來的亮光
[00:03:50.400 --> 00:03:53.400]  使人的心轉向你
[00:03:53.400 --> 00:03:56.400]  聽到之後能夠有改變
