
[00:00:00.000 --> 00:00:04.600]  教會踏入這十八年的年頭
[00:00:04.600 --> 00:00:06.840]  其實我們都很值得花一些時間
[00:00:06.840 --> 00:00:10.360]  去給我們一個中期檢討
[00:00:10.360 --> 00:00:12.640]  或者初期檢討等等
[00:00:12.640 --> 00:00:14.000]  有一個檢討
[00:00:14.000 --> 00:00:16.360]  就是說其實我返教會
[00:00:16.360 --> 00:00:18.360]  跟隨神的心態
[00:00:18.360 --> 00:00:20.360]  正不正確呢?
[00:00:20.360 --> 00:00:23.360]  我有沒有開放自己的生命
[00:00:23.360 --> 00:00:25.360]  用讓神去改變呢?
[00:00:25.360 --> 00:00:27.760]  我覺得值得要問這條問題
[00:00:27.760 --> 00:00:32.560]  所以我很想一起打開馬太呼音十一章七到十九節
[00:00:32.560 --> 00:00:36.560]  馬太呼音十一章七到十九節
[00:00:36.560 --> 00:00:50.560]  馬太呼音十一章七到十九節
[00:00:50.560 --> 00:00:53.560]  我想,不好意思,powerpoint Tommy
[00:00:53.560 --> 00:00:56.560]  你可不可以幫我打定一個
[00:00:56.560 --> 00:00:58.560]  loading一個powerpoint呢?
[00:00:58.560 --> 00:01:00.560]  就是這個
[00:01:00.560 --> 00:01:03.560]  路加呼音七章三十六到五十節
[00:01:03.560 --> 00:01:04.560]  可不可以?
[00:01:04.560 --> 00:01:06.560]  路加呼音七章三十六到五十節
[00:01:06.560 --> 00:01:07.560]  ok
[00:01:07.560 --> 00:01:09.560]  因為這個是我今早的領袖
[00:01:09.560 --> 00:01:11.560]  所以幫我
[00:01:11.560 --> 00:01:13.560]  可不可以?
[00:01:13.560 --> 00:01:15.560]  Tommy可以吧?
[00:01:15.560 --> 00:01:16.560]  ok
[00:01:16.560 --> 00:01:17.560]  好,ok,行
[00:01:17.560 --> 00:01:19.560]  不緊要啦,你不行就會找人搞定
[00:01:19.560 --> 00:01:22.560]  那,我們一起打開這段聖經
[00:01:22.560 --> 00:01:24.560]  我們一起讀吧,好嗎?一起讀
[00:01:24.560 --> 00:01:26.560]  預備囉,一二三
[00:01:26.560 --> 00:01:30.560]  他們走的時候,耶穌就對眾人講論約翰說
[00:01:30.560 --> 00:01:34.560]  你們從前出到曠野是要看什麼呢?
[00:01:34.560 --> 00:01:36.560]  要看風吹動的蘆葦嗎?
[00:01:36.560 --> 00:01:40.560]  你們出去到底要看什麼?
[00:01:40.560 --> 00:01:42.560]  要看穿細軟衣服的人嗎?
[00:01:42.560 --> 00:01:46.560]  那穿細軟衣服的人是在皇宮裡
[00:01:46.560 --> 00:01:49.560]  你們出去究竟是為什麼?
[00:01:49.560 --> 00:01:51.560]  是要看先知嗎?
[00:01:51.560 --> 00:01:55.560]  我告訴你們,是的,他比先知大多了
[00:01:55.560 --> 00:02:01.560]  經上記著說,我要差遣我的使者在你前面預備道路
[00:02:01.560 --> 00:02:03.560]  所說的就是這個人
[00:02:03.560 --> 00:02:05.560]  我實在告訴你們
[00:02:05.560 --> 00:02:10.560]  凡婦人所生的,沒有一個興起來大過師仔約翰的
