
[00:00:00.000 --> 00:00:04.000]  各位等姐妹朋友平安
[00:00:04.000 --> 00:00:07.000]  今天是父親節的早上
[00:00:07.000 --> 00:00:10.000]  有一個爸爸和女兒去動物園
[00:00:10.000 --> 00:00:15.000]  形容那隻老虎很兇猛,會吃人
[00:00:15.000 --> 00:00:17.000]  這個女兒就很害怕
[00:00:17.000 --> 00:00:20.000]  就來問爸爸一個問題
[00:00:20.000 --> 00:00:24.000]  「爸爸,如果這隻老虎撲了出來咬死你」
[00:00:24.000 --> 00:00:28.000]  這個爸爸就想安慰妹妹,安慰一下女兒
[00:00:28.000 --> 00:00:30.000]  然後女兒很快就問
[00:00:30.000 --> 00:00:35.000]  「爸爸,我應該坐哪輛車回家」
[00:00:35.000 --> 00:00:38.000]  另外有一次爸爸和兒子一起吃晚餐
[00:00:38.000 --> 00:00:42.000]  兒子說「爸爸,問你一個問題」
[00:00:42.000 --> 00:00:44.000]  「你這隻老虎有很多問題的,弟弟」
[00:00:44.000 --> 00:00:46.000]  「究竟蟲可以吃嗎?好吃嗎?」
[00:00:46.000 --> 00:00:49.000]  爸爸說「不要說這些,正在吃飯」
[00:00:49.000 --> 00:00:51.000]  吃完飯之後,爸爸就說
[00:00:51.000 --> 00:00:54.000]  「現在我們吃完飯,不如說你們一個問題」
[00:00:54.000 --> 00:00:56.000]  「甚麼?我忘記了」
[00:00:56.000 --> 00:00:58.000]  然後這個兒子說
[00:00:58.000 --> 00:01:00.000]  「爸爸,不用了」
[00:01:00.000 --> 00:01:03.000]  「剛才我們在你的湯裡看到蟲,不過已經沒有了」
[00:01:03.000 --> 00:01:08.000]  不知道大家在當中
[00:01:08.000 --> 00:01:11.000]  父親或者我廣泛一點
[00:01:11.000 --> 00:01:13.000]  有些成熟的男士
[00:01:13.000 --> 00:01:16.000]  你可能在別人的心目中是一個父親的形象
[00:01:16.000 --> 00:01:18.000]  又或者我們教會當中
[00:01:18.000 --> 00:01:22.000]  有些弟兄是一個屬靈的父親的樣式
[00:01:22.000 --> 00:01:24.000]  你怎樣評價自己
[00:01:24.000 --> 00:01:27.000]  或者你覺得自己是不是一個好爸爸呢?
[00:01:27.000 --> 00:01:29.000]  或者別人看你是不是一個好爸爸呢?
[00:01:29.000 --> 00:01:32.000]  最近有一個統計,一個調查
[00:01:32.000 --> 00:01:36.000]  訪問了八百幾十個的港爸
[00:01:36.000 --> 00:01:40.000]  有百分之七十幾人說生活很有壓力
[00:01:40.000 --> 00:01:44.000]  而有百分之五十三點二自認不是一個好爸爸
[00:01:44.000 --> 00:01:47.000]  他當中就描述到一個男士
[00:01:47.000 --> 00:01:49.000]  一個其實很厲害的,事業很有成的
[00:01:49.000 --> 00:01:52.000]  他人稱為「隱世茶王」的心井
[00:01:52.000 --> 00:01:55.000]  一位老闆鄭先生
[00:01:55.000 --> 00:01:57.000]  沖了一手好茶
[00:01:57.000 --> 00:01:59.000]  不知道大家在當中有沒有去過喝過?
[00:01:59.000 --> 00:02:02.000]  喝過的都想再喝,真是頂呱呱
[00:02:02.000 --> 00:02:05.000]  但偏偏這個鄭先生
[00:02:05.000 --> 00:02:08.000]  他卻忽略了家庭,只顧事業
[00:02:08.000 --> 00:02:11.000]  最終很不幸離婚收場
[00:02:11.000 --> 00:02:12.000]  本來是一個讀名校的兒子
[00:02:12.000 --> 00:02:14.000]  你和我可能都做父母的
[00:02:14.000 --> 00:02:16.000]  都想有一個這樣的孩子
[00:02:16.000 --> 00:02:18.000]  但是這個兒子
[00:02:18.000 --> 00:02:20.000]  慢慢淪為這個鞭稱
[00:02:20.000 --> 00:02:22.000]  但幸好能夠回頭
[00:02:22.000 --> 00:02:26.000]  男人一個最大的問題就是尊嚴
[00:02:26.000 --> 00:02:29.000]  最後這個鄭先生放下尊嚴
[00:02:29.000 --> 00:02:32.000]  和兒子道歉,父子修好
[00:02:32.000 --> 00:02:33.000]  他有一句話說
[00:02:33.000 --> 00:02:35.000]  如果能讓我再選擇多一次
[00:02:35.000 --> 00:02:37.000]  我會選擇家庭
[00:02:37.000 --> 00:02:40.000]  因為家人是最寶貴的
[00:02:40.000 --> 00:02:42.000]  沒錯
[00:02:42.000 --> 00:02:45.000]  但是有很多時候
[00:02:45.000 --> 00:02:49.000]  我們人生不能再選擇多一次
[00:02:49.000 --> 00:02:51.000]  十年,十年,十年
[00:02:51.000 --> 00:02:55.000]  過去了就不能回頭
[00:02:55.000 --> 00:02:57.000]  今天和大家思想的題目叫
[00:02:57.000 --> 00:02:58.000]  哪有不痛的愛
[00:02:58.000 --> 00:03:00.000]  想透過聖經一個人物,一個家庭
[00:03:00.000 --> 00:03:04.000]  去思想究竟父親的角色是怎樣
[00:03:04.000 --> 00:03:07.000]  父親的角色是很獨特的
[00:03:07.000 --> 00:03:11.000]  我不是要貶低姊妹或者母親的角色
[00:03:11.000 --> 00:03:13.000]  我們知道母親很偉大
[00:03:13.000 --> 00:03:14.000]  我們之前慶祝了母親節
[00:03:14.000 --> 00:03:15.000]  母愛偉大
[00:03:15.000 --> 00:03:17.000]  往往在這個世代裡面
[00:03:17.000 --> 00:03:19.000]  父親是少到談及
[00:03:19.000 --> 00:03:21.000]  或者我們嚴重一點
[00:03:21.000 --> 00:03:23.000]  近代有一個字眼
[00:03:23.000 --> 00:03:26.000]  叫做缺席父親
[00:03:26.000 --> 00:03:28.000]  因為在美國有一個統計
[00:03:28.000 --> 00:03:31.000]  在一個人成年之前
[00:03:31.000 --> 00:03:35.000]  超過一半的十八歲的人
[00:03:35.000 --> 00:03:37.000]  有一半以上
[00:03:37.000 --> 00:03:39.000]  他們可能很長一段時間
[00:03:39.000 --> 00:03:43.000]  沒有一個父親在場的年日
[00:03:43.000 --> 00:03:48.000]  而這些缺席父親的孩子
[00:03:48.000 --> 00:03:50.000]  原來可能會產生這樣的問題
[00:03:50.000 --> 00:03:52.000]  就是五倍的自殺率
[00:03:52.000 --> 00:03:53.000]  憂鬱焦慮症大增
[00:03:53.000 --> 00:03:55.000]  三十二倍入獄率
[00:03:55.000 --> 00:03:57.000]  教育程度下降
[00:03:57.000 --> 00:03:58.000]  絕學率上升
[00:03:58.000 --> 00:04:00.000]  社會精神行為異常上升
