
[00:00:00.000 --> 00:00:06.860]  今日正如戈牧師所說,是2025年最後一個主日
[00:00:06.860 --> 00:00:14.160]  我在想,究竟我想和大家分享甚麼呢?
[00:00:14.160 --> 00:00:22.640]  我想一般人到了年尾的時候,起碼都會問三個問題
[00:00:22.640 --> 00:00:28.920]  第一,究竟這一年,我究竟有甚麼特質?
[00:00:28.920 --> 00:00:33.860]  特別是在失的地方,你會再問,為何我會失敗呢?
[00:00:33.860 --> 00:00:40.280]  另外,你當然會想,明年我有甚麼?有甚麼盼望呢?
[00:00:40.280 --> 00:00:48.040]  我思想禱告之後,今日用這個題目
[00:00:48.040 --> 00:01:01.360]  恩典仍在向前,經文是取自大家領師的弟兄姊妹帶領我們讀過的經文
[00:01:01.360 --> 00:01:05.760]  本來我打算叫大家一起起來讀,不過現在不用了
[00:01:05.760 --> 00:01:19.180]  從詩篇103篇說到,述說神的慈父如何給予我們的恩典和憐憫
[00:01:19.180 --> 00:01:24.900]  然後用保羅在《菲律賓書》三章說到
[00:01:24.900 --> 00:01:32.900]  他自己也承認自己還未完全,他不是完全碰了
[00:01:32.900 --> 00:01:39.940]  他選擇了,但他選擇不是坐在這裏,甚麼都不理,他選擇繼續向前
[00:01:39.940 --> 00:01:53.280]  希望用這兩段經文和這個題目去回應剛才我一般人所提出的三個問題
[00:01:53.280 --> 00:02:10.160]  這兩段經文,103篇裏面是說到大衛一段讚美的詩歌
[00:02:10.160 --> 00:02:22.040]  他是用以色列人,即神如何對以色列人的作為去回想神的屬性
[00:02:22.040 --> 00:02:30.220]  所以從這103篇裏面,我們來看看神的屬性是怎樣
[00:02:30.220 --> 00:02:37.720]  神的屬性是讓我們看到,神的恩典是多麼的大,多麼的多
[00:02:37.720 --> 00:02:45.020]  這裏說得很清楚,在經文裏面說,神是公義的,我們大家都知道
[00:02:45.020 --> 00:02:53.020]  但他又說,神是有憐憫,有恩典,不輕易發怒,且有豐盛的慈愛
[00:02:53.020 --> 00:02:59.820]  然後他又說,不長久責備,也不永遠懷怒
[00:02:59.820 --> 00:03:05.620]  特別在第八節裏面,這是大家很熟悉的經文
[00:03:05.620 --> 00:03:17.180]  聖經第一次記載是在哪裏出現的?
[00:03:17.180 --> 00:03:26.300]  在《出亥俠記》34章裏面,當神叫柯西再做法辦
[00:03:26.300 --> 00:03:31.740]  然後神自己宣告自己
[00:03:31.740 --> 00:03:39.940]  神自己宣告自己,耶和華是有恩,憐憫,有恩典的
[00:03:39.940 --> 00:03:45.980]  是祂自己說的,祂的屬性就是這樣
[00:03:45.980 --> 00:03:54.460]  詩篇裏面也有很多地方出現這個經文,也有其他的記載
[00:03:54.460 --> 00:04:05.620]  特別是若拿,若拿是用上帝的屬性
[00:04:05.620 --> 00:04:14.260]  最後他說,就是這個屬性,所以你叫我去尼尼未成,我就不去了
[00:04:14.260 --> 00:04:22.220]  所以這裏說到神的屬性是滿有恩典,也滿有慈愛
[00:04:22.220 --> 00:04:28.580]  如果從經文裏面的敘述,第六節開始就說是他的公義
[00:04:28.580 --> 00:04:35.220]  但當他說出神的慈愛時,你會否給我們的感覺是
[00:04:35.220 --> 00:04:40.580]  神的恩典、慈愛是多於他的公義?
[00:04:40.580 --> 00:04:42.860]  你是否同意呢?
[00:04:42.860 --> 00:04:55.660]  我不同意,但你繼續讀下去時,細心看這段經文,你要承認其實這裏形容神的恩典和他的慈愛
[00:04:55.660 --> 00:05:02.100]  好像是蓋過了他的公義,但我們知道神是公義也是慈愛
[00:05:02.100 --> 00:05:09.340]  這段經文裏面告訴我們,神是公義也是慈愛
[00:05:09.340 --> 00:05:16.780]  但在經文記載裏面,他如何形容神的恩典和慈愛時
[00:05:16.780 --> 00:05:24.060]  你會發覺神的恩典好像是淹沒了他的公義
[00:05:24.060 --> 00:05:26.940]  我不知道你同不同意
[00:05:26.940 --> 00:05:35.940]  但在經文記載裏面,他很詳細地描述神的恩典和慈愛是怎樣的
[00:05:35.940 --> 00:05:42.660]  他沒有按照我們的罪和罪孽來代替我們
[00:05:42.660 --> 00:05:47.580]  因為他知道我們本質就是塵土
[00:05:47.580 --> 00:05:50.860]  我們其實都是無能無助的人
