
[00:00:00.000 --> 00:00:06.400]  慶平:今年新年第一次講到,聽這段經文我覺得靈石啞,可能真是天父要跟我們講,
[00:00:06.400 --> 00:00:11.400]  就是我們新年的新的願望,我們祈禱求天父幫助我們教會,
[00:00:11.400 --> 00:00:16.600]  我們教會在傳福音上面按照主的心意繼續努力。
[00:00:16.600 --> 00:00:23.200]  這段經文我們去看的時候先講一點背景,背景就是肥立比書,
[00:00:23.200 --> 00:00:26.600]  當然是寫給肥立比教會的,肥立比教會是什麼教會呢?
[00:00:26.600 --> 00:00:30.400]  肥立比教會可能有些印象是試圖行轉,
[00:00:30.400 --> 00:00:34.800]  保羅有個行程去的時候,他本來計劃去一個地方,
[00:00:34.800 --> 00:00:42.400]  但是在意象中那些馬其頓人向他去呼籲,請你來幫助我們,
[00:00:42.400 --> 00:00:45.600]  這個就很出名叫做馬其頓的意象,可能你聽過,
[00:00:45.600 --> 00:00:51.200]  於是保羅就改變他的行程,要去馬其頓裡面去傳福音建立教會,
[00:00:51.200 --> 00:00:54.200]  其中一間建立教會就是肥立比教會,
[00:00:54.200 --> 00:00:58.000]  但不是叫馬其頓教會的,你可以這樣想像,
[00:00:58.000 --> 00:01:05.000]  我來了香港東區,香港東區有西灣河,又有康怡,又有太古城,
[00:01:05.000 --> 00:01:07.800]  所以那些全部都是香港東區來的,
[00:01:07.800 --> 00:01:13.000]  現在都有馬其頓國的,那個大一點的範圍,有不同的教會,
[00:01:13.000 --> 00:01:16.800]  其中一間也是第一間,就是這間肥立比教會,
[00:01:16.800 --> 00:01:22.000]  這間教會保羅特別跟他親密的,因為可能是第一間建立,
[00:01:22.000 --> 00:01:28.000]  還有接下來你看到肥立比書裡面所提到的東西都跟他特別親密,
[00:01:28.000 --> 00:01:34.000]  保羅這封信另外還有一個名字,這種信叫做監獄書信,
[00:01:34.000 --> 00:01:40.000]  有幾卷書都是監獄書信,即是保羅坐牢的時候寫的,
[00:01:40.000 --> 00:01:48.000]  坐牢的時候寫,那時候他遭遇患難,坐牢無論那時候還是現在都是艱難的,
[00:01:48.000 --> 00:01:54.000]  坐牢坐得很輕鬆的,但是他在這麼艱難的環境當中,
[00:01:54.000 --> 00:01:59.000]  肥立比教會是其中一個教會去繼續支援幫助保羅,
[00:01:59.000 --> 00:02:04.000]  讓他坐牢坐得沒那麼辛苦,原來那時候那些人可以探監的,
[00:02:04.000 --> 00:02:10.000]  還可以支援他,他們就派了一個什麼人去呢?派了一個爾巴弗提下去,
[00:02:10.000 --> 00:02:16.000]  這個人怎麼去幫助他呢?他親密的,爾巴弗提就是肥立比教會的弟兄,
[00:02:16.000 --> 00:02:21.000]  是奉肥立比教會所差派帶著一些資源,可能錢也不一定,
[00:02:21.000 --> 00:02:27.000]  帶著不同的東西去幫助保羅,帶過去,其實這個提摩太后書有提的,
[00:02:27.000 --> 00:02:32.000]  有時帶什麼,有時帶件衣服,帶些書都有的,帶那些物件過去,
[00:02:32.000 --> 00:02:38.000]  去幫助保羅在他坐牢坐得沒那麼辛苦,但是這個爾巴弗提又論盡,
[00:02:38.000 --> 00:02:44.000]  去到幫助保羅的時候,他又病了,還要病得很重,快要死的,
[00:02:44.000 --> 00:02:51.000]  就是那一種,於是肥立比教會收到這個消息,又非常擔心,很想念他,
[00:02:51.000 --> 00:02:58.000]  所以肥立水書又有提的,後來他又康復了,神恩典他康復了,
[00:02:58.000 --> 00:03:04.000]  於是保羅又派他回去,帶著他那封信回去,那封信是哪封信呢?
[00:03:04.000 --> 00:03:09.000]  可能是這封肥立比書,但是沒有說是不是,估計應該是,
[00:03:09.000 --> 00:03:16.000]  就是帶著肥立比書回去,那時候沒有DHL,靠什麼?靠人,
[00:03:16.000 --> 00:03:22.000]  就是靠這個爾巴弗提,估計可能就是他帶回去,那時候的信不帶很多,
[00:03:22.000 --> 00:03:29.000]  是羊皮卷來的,一人帶幾封已經受得了,很大卷的,還要搭船很麻煩的,
[00:03:29.000 --> 00:03:36.000]  所以他帶著這封信,所以你感不感受到,肥立比教會和保羅非常友好,
[00:03:36.000 --> 00:03:41.000]  在禍患艱難之中,仍然結伴同行,沒有離棄保羅,
[00:03:41.000 --> 00:03:46.000]  但是有一點點hints,一會兒會再說下去,都是有些阻滯,有些obstacle,
