
[00:00:00.000 --> 00:00:05.480]  我們很感謝神 祂有耶穌基督的福音賜給我們
[00:00:05.480 --> 00:00:09.920]  福音是我們人生中最大的把握和盼望
[00:00:09.920 --> 00:00:11.240]  今天是福音講傳主日
[00:00:11.240 --> 00:00:13.360]  我們透過聖經上的訊息
[00:00:13.360 --> 00:00:16.440]  讓我們再一次得到神的幫助
[00:00:16.440 --> 00:00:18.800]  去兼顧我們的信心 去傳揚福音
[00:00:18.800 --> 00:00:20.480]  讓我們一起祈禱
[00:00:20.480 --> 00:00:28.160]  天父上帝我們知道
[00:00:28.160 --> 00:00:31.600]  一切被做的都是屬於祢的
[00:00:31.600 --> 00:00:33.360]  是因著祢的緣故
[00:00:33.360 --> 00:00:35.920]  在耶穌基督裡面被造成
[00:00:35.920 --> 00:00:38.000]  並且祢又願意去藉著
[00:00:38.000 --> 00:00:40.680]  耶穌基督所帶來的拯救
[00:00:40.680 --> 00:00:42.800]  叫萬物得到更生
[00:00:42.800 --> 00:00:45.640]  叫到一切等候得屬日子的
[00:00:45.640 --> 00:00:48.240]  在主裡面得著盼望
[00:00:48.240 --> 00:00:49.840]  祢又已經首先在主裡面
[00:00:49.840 --> 00:00:53.160]  去拯救了我們這一班夢簡選的人
[00:00:53.160 --> 00:00:54.200]  成為祢的兒女
[00:00:54.200 --> 00:00:55.400]  得著永遠的生命
[00:00:55.400 --> 00:00:56.840]  我們感謝祢
[00:00:56.840 --> 00:00:58.320]  我們盼望主祢幫助我們
[00:00:58.320 --> 00:01:00.520]  將我們所得的永生
[00:01:00.520 --> 00:01:02.000]  能夠活現出來
[00:01:02.000 --> 00:01:04.120]  能夠將福音去傳開
[00:01:04.120 --> 00:01:07.000]  如今我們一同藉著領受主的道
[00:01:07.000 --> 00:01:08.840]  盼望主祢加力給我們
[00:01:08.840 --> 00:01:10.840]  讓我們內心得到堅固
[00:01:10.840 --> 00:01:13.760]  也都衷心的跟隨耶穌基督的腳踪
[00:01:13.760 --> 00:01:15.160]  我們同心仰望祈禱
[00:01:15.160 --> 00:01:16.560]  奉耶穌的名及
[00:01:16.560 --> 00:01:18.080]  阿們
[00:01:18.080 --> 00:01:20.040]  在過去一兩天
[00:01:20.040 --> 00:01:23.200]  我在網上看到一個資料
[00:01:23.200 --> 00:01:25.520]  很吸引我的注意力
[00:01:25.520 --> 00:01:27.160]  這個資料是講什麼呢
[00:01:27.160 --> 00:01:30.160]  就是講三日走路瘦肚法
[00:01:30.160 --> 00:01:32.000]  三日走路瘦肚法
[00:01:32.000 --> 00:01:35.160]  對於我們這些中年發福的男人來說
[00:01:35.160 --> 00:01:38.000]  看到這個名字就很吸引了
[00:01:38.000 --> 00:01:39.240]  減肥瘦肚
[00:01:39.240 --> 00:01:41.440]  他說三日走路瘦肚法
[00:01:41.440 --> 00:01:44.080]  令你三個月可以瘦十公斤
[00:01:44.080 --> 00:01:48.440]  一個日本的醫生
[00:01:48.440 --> 00:01:52.400]  他自己親身去體驗了這種方法
[00:01:52.400 --> 00:01:54.840]  因為今天不是減肥福音主日
[00:01:54.840 --> 00:01:58.320]  所以我當然不會詳細講這個方法
[00:01:58.320 --> 00:02:02.720]  但是這個資料給我一個
[00:02:02.720 --> 00:02:06.080]  很重要的關乎全福音的提醒
[00:02:06.080 --> 00:02:11.400]  通常這些宣傳減肥的
[00:02:11.400 --> 00:02:14.520]  無論是一些商業的服務
[00:02:14.520 --> 00:02:16.240]  或者是這些書籍
[00:02:16.240 --> 00:02:19.000]  總會做一樣東西給你看
[00:02:19.000 --> 00:02:21.720]  就是減肥前那個人是怎樣的
[00:02:21.720 --> 00:02:24.480]  減肥後他是怎樣的
[00:02:24.480 --> 00:02:29.680]  讓你看得到原來那個方法是真的有效的
[00:02:29.680 --> 00:02:33.080]  而且透過有些用過這個方法的人
[00:02:33.080 --> 00:02:34.680]  向你推介的時候
[00:02:34.680 --> 00:02:37.640]  你就覺得有真人作見證的
[00:02:37.640 --> 00:02:39.920]  所以應該信得過
[00:02:39.920 --> 00:02:42.040]  再三來就是看到
[00:02:42.040 --> 00:02:46.280]  如果那個減肥的效果能夠持續
[00:02:46.280 --> 00:02:47.440]  不會反彈
[00:02:47.440 --> 00:02:50.200]  以致全功盡廢就對你更加吸引了
[00:02:50.200 --> 00:02:52.760]  再加上如果那個代價
[00:02:52.760 --> 00:02:54.800]  你覺得是你負得上
[00:02:54.800 --> 00:02:57.560]  那個理論是你信得過的話
[00:02:57.560 --> 00:03:00.600]  你就會願意去嘗試了
[00:03:00.600 --> 00:03:02.320]  可能有些頂尖的會說
[00:03:02.320 --> 00:03:03.520]  是呀 我都試過
[00:03:03.520 --> 00:03:05.600]  不過有些有效 有些沒有效
[00:03:05.600 --> 00:03:09.240]  對於我們全人福音的人來說
[00:03:09.240 --> 00:03:11.720]  其實別人所要得到的
[00:03:11.720 --> 00:03:14.600]  都不只是你口裏面說的東西
[00:03:14.600 --> 00:03:16.240]  而是你在你的生命裏面
[00:03:16.240 --> 00:03:17.960]  見到甚麼的轉變
[00:03:17.960 --> 00:03:20.320]  令到他覺得這個轉變真是好
[00:03:20.320 --> 00:03:21.320]  我都很想有
