
[00:00:00.000 --> 00:00:04.760]  人生是應該按著神的心意生活
[00:00:04.760 --> 00:00:11.200]  接受祂交託給我們的使命、責任和角色來完成的
[00:00:11.200 --> 00:00:13.880]  當然如果我們很容易做到
[00:00:13.880 --> 00:00:15.760]  人生就很簡單了
[00:00:15.760 --> 00:00:20.800]  不過事實上我們會遇到很多試探
[00:00:20.800 --> 00:00:25.240]  來引誘我們偏離上帝的道路
[00:00:25.240 --> 00:00:27.720]  所以我們要小心行事
[00:00:27.720 --> 00:00:33.720]  我們要小心謹慎做耶穌基督的門徒
[00:00:33.720 --> 00:00:35.280]  我們會遇到什麼試探呢?
[00:00:35.280 --> 00:00:39.280]  我們今天從耶穌遇到的試探來思考
[00:00:39.280 --> 00:00:42.160]  我們的人生會遇到什麼試探呢?
[00:00:42.160 --> 00:00:46.760]  我們一起看《馬太福音》第四章1至11節
[00:00:46.760 --> 00:00:48.840]  我們一起讀這段聖經
[00:00:48.840 --> 00:00:50.040]  11節而已
[00:00:50.040 --> 00:00:51.680]  準備 1 2 3
[00:00:51.680 --> 00:00:57.960]  當時耶穌被聖靈引渡曠野受魔鬼的試探
[00:00:57.960 --> 00:01:00.400]  他禁食四十晝夜
[00:01:00.400 --> 00:01:02.320]  後來就餓了
[00:01:02.320 --> 00:01:06.200]  那試探人的進前來對他說
[00:01:06.200 --> 00:01:08.280]  你若是神的兒子
[00:01:08.280 --> 00:01:12.360]  可以吩咐這些石頭變成食物
[00:01:12.360 --> 00:01:14.160]  耶穌卻回答說
[00:01:14.160 --> 00:01:16.160]  經上記著說
[00:01:16.160 --> 00:01:19.080]  人活著不是單靠食物
[00:01:19.080 --> 00:01:23.120]  乃是靠神口裡所說的一切話
[00:01:23.120 --> 00:01:25.960]  魔鬼就帶他進了聖城
[00:01:25.960 --> 00:01:28.600]  叫他站在墊頂上
[00:01:28.600 --> 00:01:29.800]  對他說
[00:01:29.800 --> 00:01:31.840]  你若是神的兒子
[00:01:31.840 --> 00:01:33.840]  可以跳下去
[00:01:33.840 --> 00:01:36.000]  因為經上記著說
[00:01:36.000 --> 00:01:40.840]  主要為你吩咐他的使者用手托著你
[00:01:40.840 --> 00:01:44.160]  免得你的腳碰在石頭上
[00:01:44.160 --> 00:01:45.800]  對他說
[00:01:45.800 --> 00:01:47.840]  經上又記著說
[00:01:47.840 --> 00:01:50.960]  不可試探主你的神
[00:01:50.960 --> 00:01:54.720]  魔鬼又帶他上了一座最高的山
[00:01:54.720 --> 00:02:00.080]  將世上的萬國和萬國的榮華都賜給他看
[00:02:00.080 --> 00:02:01.280]  對他說
[00:02:01.280 --> 00:02:03.280]  你若俯伏拜我
[00:02:03.280 --> 00:02:06.400]  我就把這一切都賜給你
[00:02:06.400 --> 00:02:07.400]  耶穌說
[00:02:07.400 --> 00:02:09.400]  撒旦,退去吧
[00:02:09.400 --> 00:02:11.680]  因為經上記著說
[00:02:11.680 --> 00:02:13.680]  當拜主你的神
[00:02:13.680 --> 00:02:15.680]  單要侍奉他
[00:02:15.680 --> 00:02:18.280]  於是魔鬼來了耶穌
[00:02:18.280 --> 00:02:20.680]  有天使來侍候他
[00:02:20.680 --> 00:02:24.080]  我們會在這個世界
[00:02:24.080 --> 00:02:26.240]  我們是有需要的
[00:02:26.240 --> 00:02:29.960]  我們的身體是有需要的
[00:02:29.960 --> 00:02:33.400]  我們的生命是有需要的
[00:02:33.400 --> 00:02:36.280]  好像耶穌禁食四十晝夜
[00:02:36.280 --> 00:02:37.480]  祂就餓了
[00:02:37.480 --> 00:02:39.720]  餓了就要怎樣呢?
[00:02:39.720 --> 00:02:41.840]  就要需要什麼呢?
[00:02:41.840 --> 00:02:42.760]  需要食物
[00:02:42.760 --> 00:02:43.960]  需要吃東西
[00:02:44.720 --> 00:02:47.120]  那就餓了四十天了
[00:02:47.120 --> 00:02:49.680]  我們餓四個小時就想吃東西了
[00:02:49.680 --> 00:02:51.480]  再不是十四個小時
[00:02:51.480 --> 00:02:53.480]  你怎樣都想吃東西了
[00:02:53.480 --> 00:02:57.360]  但是耶穌餓了四十天是需要吃東西的
[00:02:57.360 --> 00:03:00.160]  是很正常的
[00:03:00.160 --> 00:03:01.240]  是很正確的
[00:03:01.240 --> 00:03:01.760]  是不是?
[00:03:01.760 --> 00:03:03.200]  耶穌沒理由不需要吃東西的
[00:03:03.200 --> 00:03:04.760]  除非祂不是人來的
[00:03:04.760 --> 00:03:08.120]  我們在這個世界是有需要的
[00:03:08.120 --> 00:03:10.120]  我們是需要吃東西的
[00:03:10.120 --> 00:03:12.320]  不過我們香港人
[00:03:12.320 --> 00:03:14.760]  是很少覺得我們需要吃東西的
[00:03:14.760 --> 00:03:17.320]  因為我們是不缺食物的
[00:03:17.320 --> 00:03:21.440]  我們也不會花時間在食物上
[00:03:21.440 --> 00:03:23.120]  我們有一點點餓
[00:03:23.120 --> 00:03:24.560]  我們就去找東西吃
[00:03:24.560 --> 00:03:28.400]  我們很少人真的試過餓到
[00:03:28.400 --> 00:03:31.960]  你不吃東西是頂不住的
[00:03:31.960 --> 00:03:35.400]  我們很少有這樣的經驗
[00:03:35.400 --> 00:03:39.680]  我們去體會身體的需要
[00:03:39.680 --> 00:03:41.880]  很少是因為食物的
[00:03:41.880 --> 00:03:45.800]  我們多數人體會身體的需要
[00:03:45.800 --> 00:03:47.560]  我們是什麼呢?
[00:03:47.560 --> 00:03:51.160]  我們很少是餓的感覺的
[00:03:51.160 --> 00:03:53.560]  我們通常
[00:03:53.560 --> 00:03:55.360]  我猜香港大部分人
[00:03:55.360 --> 00:03:59.800]  覺得他身體上需要的經驗就是睏
[00:03:59.800 --> 00:04:02.600]  人們是從早到晚都睏的
[00:04:02.600 --> 00:04:08.440]  你看巴士的人都是睡覺的
[00:04:08.440 --> 00:04:10.760]  你看崇拜的人都睡覺的
[00:04:11.240 --> 00:04:12.640]  我們經常都睡不著
[00:04:12.640 --> 00:04:13.840]  你睡了一整晚
[00:04:13.840 --> 00:04:17.920]  早上起床應該是最精神的
[00:04:17.920 --> 00:04:21.440]  為什麼早上的人坐車是最多睡覺的呢?
[00:04:21.440 --> 00:04:26.760]  所以阿偉跟我說
[00:04:26.760 --> 00:04:29.120]  他說因為不捨得睡
[00:04:29.120 --> 00:04:30.760]  不捨得睡的
[00:04:30.760 --> 00:04:33.240]  所以經常都睏
[00:04:33.240 --> 00:04:36.600]  我們身體的需要是睡不著的
[00:04:36.600 --> 00:04:39.080]  但是古代的人又不是
[00:04:39.080 --> 00:04:40.280]  他們是睡得夠的
[00:04:40.280 --> 00:04:43.160]  他們經常感覺是餓的
[00:04:43.160 --> 00:04:44.720]  是不夠食物的
[00:04:44.720 --> 00:04:47.040]  這個世界到今時今日仍然有些人
[00:04:47.040 --> 00:04:50.080]  他們一生人
[00:04:50.080 --> 00:04:53.280]  他們都是擔心沒有東西吃的
[00:04:53.280 --> 00:04:57.720]  他們的生存是非常缺乏食物的
[00:04:57.720 --> 00:05:00.760]  他們從早到晚都是要去找食物的
[00:05:00.760 --> 00:05:03.240]  中國人以前都是這樣
[00:05:03.240 --> 00:05:05.200]  我們比較窮困的時候
[00:05:05.200 --> 00:05:08.400]  我們最關心的是食物
[00:05:08.400 --> 00:05:12.200]  所以我們中國人說民以食為天
[00:05:12.200 --> 00:05:15.840]  我們說這麼辛苦為什麼要找兩餐
[00:05:15.840 --> 00:05:17.760]  真的不夠食物的
[00:05:17.760 --> 00:05:21.040]  還有預備食物是很辛苦的事情
[00:05:21.040 --> 00:05:22.720]  我們是很少的
[00:05:22.720 --> 00:05:24.960]  我們打電話就可以吃的
[00:05:24.960 --> 00:05:28.240]  但是以前的人去預備一餐飯
[00:05:28.240 --> 00:05:32.960]  當然現在家裡要預備飯也是辛苦的
[00:05:32.960 --> 00:05:34.960]  但是以前的真的很辛苦的
