
[00:00:00.000 --> 00:00:04.360]  接下來我們會講一個新的講道系列
[00:00:04.360 --> 00:00:07.320]  接下來這三個星期,九月最後的三個星期
[00:00:07.320 --> 00:00:11.800]  我們會講到成為智慧的管家
[00:00:11.800 --> 00:00:15.080]  今天都會探討這些題目
[00:00:15.080 --> 00:00:18.560]  上帝給我們的祝福,剛才我們問了一個問題
[00:00:18.560 --> 00:00:19.840]  我們問的問題是問什麼?
[00:00:19.840 --> 00:00:24.080]  我們問我們憑什麼可以得到上帝那麼多的祝福?
[00:00:24.080 --> 00:00:27.080]  問過了,憑什麼呢?
[00:00:27.080 --> 00:00:30.920]  沒什麼好憑的,都是上帝自己的恩典
[00:00:30.920 --> 00:00:33.480]  但是你要問一個問題,更加要問一個問題
[00:00:33.480 --> 00:00:37.960]  你怎樣去善用和管理神給你的祝福?
[00:00:37.960 --> 00:00:40.960]  這個是更加到我們應該去問問題
[00:00:40.960 --> 00:00:43.240]  而這個問題應該有答案的
[00:00:43.240 --> 00:00:45.720]  如果你說我都不知道怎樣去管理和善用
[00:00:45.720 --> 00:00:50.760]  那些祝福就很亂了,很浪費了
[00:00:50.760 --> 00:00:52.760]  明白嗎?就是這樣
[00:00:52.760 --> 00:00:58.400]  接下來幾個星期我們會講到時間,怎樣善用時間
[00:00:58.400 --> 00:01:02.560]  怎樣善用我們的財能,怎樣善用我們的金錢
[00:01:02.560 --> 00:01:06.640]  今天我們探討這個時間的事情
[00:01:06.640 --> 00:01:08.680]  有人會說這個世界很不公平
[00:01:08.680 --> 00:01:12.600]  為什麼?因為有些人很多時間
[00:01:12.600 --> 00:01:15.600]  這裡有沒有人很多時間?
[00:01:15.600 --> 00:01:19.040]  沒有人很多時間,這個世界公平的
[00:01:19.040 --> 00:01:21.720]  有人說這個世界很不公平
[00:01:21.720 --> 00:01:26.040]  因為很多人天生就有錢有時間
[00:01:26.040 --> 00:01:30.360]  如果你有錢有時間就是很好的事情
[00:01:30.360 --> 00:01:35.200]  但是我們知道有一樣東西是完全不公平的
[00:01:35.200 --> 00:01:38.280]  因為上帝給每一個人都只有24小時
[00:01:38.280 --> 00:01:40.600]  你一天只有24小時
[00:01:40.600 --> 00:01:45.080]  無論你是富有的,貧窮的,健康的或者是病的
[00:01:45.080 --> 00:01:50.880]  男人或者女人,任何一個人一天都只有24小時
[00:01:50.880 --> 00:02:00.320]  而你也會認同這24小時是過得非常快的
[00:02:00.320 --> 00:02:06.280]  是不是?就是你年紀越大的時候你就會覺得越快
[00:02:06.280 --> 00:02:10.280]  當你經常問時間去了哪裡的時候
[00:02:10.280 --> 00:02:15.080]  你有一定的年齡,你有一定的歲數
[00:02:15.080 --> 00:02:17.480]  就是時間很快過得
[00:02:17.480 --> 00:02:23.040]  我記得早幾個禮拜我表哥來這邊旅遊
[00:02:23.040 --> 00:02:24.440]  順便來探望我
[00:02:24.440 --> 00:02:29.760]  我表哥上次來是在我婚禮的時候來
[00:02:29.760 --> 00:02:34.920]  嘩!遠古之前,不是遠古,是19年前
[00:02:34.920 --> 00:02:36.760]  他再來一次
[00:02:36.760 --> 00:02:40.760]  嘩!大家一看就是認得到的,還認得到
[00:02:40.760 --> 00:02:43.920]  嘩!很感恩,還認得到
[00:02:43.920 --> 00:02:46.200]  所以我結婚19年了
[00:02:46.200 --> 00:02:50.880]  下個星期就是我19年的結婚周年
[00:02:50.880 --> 00:02:54.560]  下個星期是,不是星期天
[00:02:54.560 --> 00:02:57.920]  很快的,我想有些人如果結婚的話
[00:02:57.920 --> 00:03:01.160]  你結婚很多年都會覺得很快
[00:03:01.160 --> 00:03:02.760]  一眨眼就過了
[00:03:02.760 --> 00:03:04.680]  好像什麼都沒有變過一樣
[00:03:04.680 --> 00:03:06.960]  我也問了Angela
[00:03:06.960 --> 00:03:10.200]  嘩!一眨眼19年了,跟你在一起
[00:03:10.200 --> 00:03:11.600]  真的沒什麼變過
[00:03:11.600 --> 00:03:18.480]  你仍然保持不變,這麼善良,這麼純潔
[00:03:18.480 --> 00:03:20.480]  我也當下問一下
[00:03:20.480 --> 00:03:22.600]  其實你覺得我沒什麼變嗎?
[00:03:22.600 --> 00:03:24.200]  都沒什麼啦
[00:03:24.200 --> 00:03:26.520]  嘩!是不是我保持得很好呢?
[00:03:26.520 --> 00:03:30.200]  不是啊!這十幾年都沒什麼留意過你
[00:03:30.200 --> 00:03:34.200]  嘩!聽完之後,心都碎了
[00:03:34.200 --> 00:03:38.480]  結婚19年換來的是一星嘆息
[00:03:38.480 --> 00:03:41.080]  我不知道你的婚姻是怎樣
[00:03:41.080 --> 00:03:45.480]  除了婚姻,很多時候大家會很嘆息
[00:03:45.480 --> 00:03:49.680]  子女,我的女兒18歲了,明年18歲
[00:03:49.680 --> 00:03:53.880]  我覺得她18年前,小時候都很難帶
[00:03:53.880 --> 00:03:56.600]  你認識我的大女兒就知道多難帶
[00:03:56.600 --> 00:04:02.800]  很活躍,又哭又吵,很厲害
[00:04:02.800 --> 00:04:06.360]  18年前我都跟自己說了一句話
[00:04:06.360 --> 00:04:10.280]  我說18年後,又一條好漢
[00:04:10.280 --> 00:04:13.160]  當你正在換尿片的時候
[00:04:13.160 --> 00:04:17.360]  現在18年過了
[00:04:17.360 --> 00:04:19.160]  好漢我不知道是不是
[00:04:19.160 --> 00:04:21.840]  但司機仍然是一個
[00:04:21.840 --> 00:04:26.080]  還是一個沒有小費收的司機
[00:04:26.080 --> 00:04:29.520]  你車來車去,車來車去,車了18年
[00:04:29.520 --> 00:04:32.520]  我說完沒?快點上去考牌
[00:04:32.520 --> 00:04:35.800]  但是又很矛盾,給他一輛車他就走了
[00:04:35.800 --> 00:04:40.600]  換來的又是一星嘆息
[00:04:40.600 --> 00:04:43.960]  我不知道你的人生會不會過得很快
[00:04:43.960 --> 00:04:46.360]  眨眼間很多年都過了
[00:04:46.360 --> 00:04:49.600]  換來的是什麼呢?會不會都是一星嘆息呢?
[00:04:49.600 --> 00:04:55.280]  如果你都有這樣的感受和經歷
[00:04:55.280 --> 00:04:58.800]  其實這也是聖經給我們的寫照
[00:04:58.800 --> 00:05:02.960]  今天我們看看這篇詩篇,90篇
[00:05:02.960 --> 00:05:04.520]  有幾句說話
[00:05:04.520 --> 00:05:07.160]  這幾句說話我想你都聽過了
[00:05:07.160 --> 00:05:10.960]  我們一起讀,我們讀讀這幾次的詩
[00:05:10.960 --> 00:05:12.520]  1,2,3
[00:05:12.520 --> 00:05:17.640]  我們一生的日子都在你的真路中消逝
[00:05:17.640 --> 00:05:21.400]  我們到盡的年歲好像一星嘆息
[00:05:21.400 --> 00:05:24.280]  我們一生的年日是七十歲
[00:05:24.280 --> 00:05:26.960]  如果強壯可到八十歲
[00:05:26.960 --> 00:05:31.480]  但其中可誇的不過是勞苦愁煩
[00:05:31.480 --> 00:05:33.200]  轉眼成空
[00:05:33.200 --> 00:05:35.600]  我們也如飛而去
[00:05:35.600 --> 00:05:38.000]  誰曉得你怒氣的威力
[00:05:38.000 --> 00:05:40.520]  誰安著你該受的敬畏
[00:05:40.520 --> 00:05:42.800]  曉得你的憤怒呢
[00:05:42.800 --> 00:05:47.080]  求你教導我們怎樣數算自己的日子
[00:05:47.080 --> 00:05:50.600]  好使我們得著智慧的心
[00:05:50.600 --> 00:05:55.680]  這篇的詩,這篇的祈禱是誰寫的?
[00:05:55.680 --> 00:05:57.240]  有人知道了,是不是?
[00:05:57.240 --> 00:06:00.600]  摩西,神人摩西
[00:06:00.600 --> 00:06:02.320]  寫了一首這樣的詩
[00:06:02.320 --> 00:06:03.440]  寫這首詩的時候
[00:06:03.440 --> 00:06:06.120]  我不知道剛才那幾句單憑的說話
[00:06:06.120 --> 00:06:08.120]  給你一種什麼感覺?
[00:06:08.120 --> 00:06:10.160]  會不會是很愁煩
[00:06:10.160 --> 00:06:12.400]  很唏噓的感覺?
[00:06:12.400 --> 00:06:15.880]  你不會覺得很快樂
[00:06:15.880 --> 00:06:18.120]  有學者去研究
[00:06:18.120 --> 00:06:21.560]  希望看看其實這個神人摩西
[00:06:21.560 --> 00:06:23.360]  他寫這首詩的時候
[00:06:23.360 --> 00:06:26.080]  是幾多歲?
[00:06:26.080 --> 00:06:29.280]  我不知道,現在就叫你寫一首詩
[00:06:29.280 --> 00:06:31.960]  你寫的我不知道是什麼心境
[00:06:31.960 --> 00:06:33.600]  是很快樂的日子
[00:06:33.600 --> 00:06:36.800]  還是很愁煩的幾句說話
[00:06:36.800 --> 00:06:39.200]  摩西當時寫的時候是很愁煩
[00:06:39.200 --> 00:06:41.520]  是什麼時候寫的呢?
[00:06:41.520 --> 00:06:42.520]  有人問這件事
[00:06:42.520 --> 00:06:44.640]  我不知道你覺得是什麼時候寫的
[00:06:44.640 --> 00:06:45.520]  大家都知道
[00:06:45.520 --> 00:06:50.280]  摩西的生平分三個四十年
[00:06:50.280 --> 00:06:53.000]  第一個四十年在哪裡?
[00:06:53.000 --> 00:06:55.040]  在埃及皇宮
[00:06:55.040 --> 00:06:56.480]  Prince of Egypt
[00:06:56.480 --> 00:06:58.480]  很多年前有一套卡通片
[00:06:58.480 --> 00:07:00.000]  Prince of Egypt
[00:07:00.000 --> 00:07:02.040]  那時候因為一些小誤會
[00:07:02.040 --> 00:07:03.800]  他殺了一個埃及人
[00:07:03.800 --> 00:07:06.040]  然後做草
[00:07:06.040 --> 00:07:08.600]  做草去了一個地方叫米顛
[00:07:08.600 --> 00:07:10.400]  米顛那裡做什麼呢?
[00:07:10.400 --> 00:07:11.880]  不是瘋了
[00:07:11.880 --> 00:07:13.920]  他在那裡放羊
[00:07:13.920 --> 00:07:15.560]  然後一牧就牧了
[00:07:15.560 --> 00:07:16.920]  又是四十年
[00:07:16.920 --> 00:07:18.720]  就過了四十年
[00:07:18.720 --> 00:07:20.680]  八十歲的時候
[00:07:20.680 --> 00:07:21.840]  神呼召他
[00:07:21.840 --> 00:07:23.200]  突然有一天
[00:07:23.200 --> 00:07:25.160]  見到荊棘火
[00:07:25.160 --> 00:07:26.480]  神呼召他
[00:07:26.480 --> 00:07:31.040]  要他返回埃及帶這些以色列人出埃及
[00:07:31.040 --> 00:07:34.320]  過紅海去到加拿美地英雄之地
[00:07:34.320 --> 00:07:37.000]  最後的四十年就是
[00:07:37.000 --> 00:07:38.840]  在那個礦業那裡過
