
[00:00:00.000 --> 00:00:05.200]  一些迷信的人就會有一種這樣的想法
[00:00:05.200 --> 00:00:11.000]  他說如果農年中國沒什麼事
[00:00:11.000 --> 00:00:17.400]  第二年蛇年總之華人的地區都是比較亂的
[00:00:17.400 --> 00:00:23.800]  星相嘉這樣說是在講1989年的時候
[00:00:23.800 --> 00:00:27.000]  那一年是蛇年來的
[00:00:27.000 --> 00:00:32.800]  社會不單止中國全世界都挺動盪的
[00:00:32.800 --> 00:00:36.000]  其中就是蘇聯解體
[00:00:36.000 --> 00:00:42.000]  整個東歐就由鐵幕釋放出來
[00:00:42.000 --> 00:00:47.000]  其實每一年都一定有它的本命年
[00:00:47.000 --> 00:00:54.000]  或者有它就是我們所謂遇到太歲等等的事
[00:00:54.000 --> 00:01:00.000]  但是其實每一個人都有他不同的經歷
[00:01:00.000 --> 00:01:03.000]  特別對於有信仰的人來說
[00:01:03.000 --> 00:01:06.600]  又有一些的徵徵家就說
[00:01:06.600 --> 00:01:10.800]  如果那一年車公廟抽到一支下下籤
[00:01:10.800 --> 00:01:15.000]  香港會經歷一些不是那麼好的事
[00:01:15.000 --> 00:01:17.000]  我記得十年前
[00:01:17.000 --> 00:01:20.600]  今年是SARS十週年的紀念
[00:01:20.600 --> 00:01:25.000]  十年前就真的抽到支下下籤
[00:01:25.000 --> 00:01:30.000]  結果香港都經歷在無論疫症
[00:01:30.000 --> 00:01:35.000]  和金融的風暴上有很大的問題
[00:01:35.000 --> 00:01:38.000]  但是有人快樂有人愁
[00:01:38.000 --> 00:01:42.000]  昨晚就見到陳寶遠和我們教會
[00:01:42.000 --> 00:01:47.000]  合辦一個SARS十週年的反思會
[00:01:47.000 --> 00:01:51.000]  有兩位科學家一位在外國來
[00:01:51.000 --> 00:01:53.000]  一位是中文大學
[00:01:53.000 --> 00:01:59.000]  就發現了SARS基因的其中一個教授來說
[00:01:59.000 --> 00:02:01.000]  我就做了一些回應
[00:02:01.000 --> 00:02:06.000]  我說其實哪一年是好年哪一年不是好年呢
[00:02:06.000 --> 00:02:10.000]  其實很決定一個人當時的感受
[00:02:10.000 --> 00:02:12.000]  對於我們教會來說
[00:02:12.000 --> 00:02:15.000]  2003年是一個幾好的年
[00:02:15.000 --> 00:02:18.000]  我們是破了香港教會歷史
[00:02:18.000 --> 00:02:21.000]  以空前絕後的價錢
[00:02:21.000 --> 00:02:27.000]  買了東京銀行香港總部來做堂紙
[00:02:27.000 --> 00:02:29.000]  三千多元一呎
[00:02:29.000 --> 00:02:33.000]  我相信它建樓的時候都不是這樣的價錢
[00:02:33.000 --> 00:02:37.000]  如果將來有這樣的價錢你會很憂心
[00:02:37.000 --> 00:02:42.000]  我都希望香港不需要再有三千多元一呎這樣的價錢
[00:02:42.000 --> 00:02:45.000]  所以如果你沒有信仰
[00:02:45.000 --> 00:02:47.000]  或者一種不正當的信仰
[00:02:47.000 --> 00:02:50.000]  你會產生很多的懼怕
[00:02:50.000 --> 00:02:53.000]  船頭驚鬼船尾驚賊
[00:02:53.000 --> 00:02:55.000]  無論你個人的事業
[00:02:55.000 --> 00:02:56.000]  你個人的婚姻
[00:02:56.000 --> 00:03:01.000]  或者你個人的健康安危等等的東西
[00:03:01.000 --> 00:03:07.000]  由於我過往在香港大學校外課程
[00:03:07.000 --> 00:03:10.000]  教過一些民間信仰
