
[00:00:00.000 --> 00:00:02.000]  各位領事們 早安
[00:00:02.000 --> 00:00:06.000]  邀請大家再次低頭祈禱
[00:00:06.000 --> 00:00:11.000]  新娘我們感謝你
[00:00:11.000 --> 00:00:12.000]  因為你的恩典
[00:00:12.000 --> 00:00:15.000]  讓我們能夠一起
[00:00:15.000 --> 00:00:16.000]  回到你的殿裏面
[00:00:16.000 --> 00:00:18.000]  一起去敬拜你
[00:00:18.000 --> 00:00:20.000]  求上主你去教導我們
[00:00:20.000 --> 00:00:23.000]  以生命和誠實去敬拜你
[00:00:23.000 --> 00:00:25.000]  求上主的靈
[00:00:25.000 --> 00:00:27.000]  在我們當中運行
[00:00:27.000 --> 00:00:29.000]  敲冠我們
[00:00:29.000 --> 00:00:31.000]  讓我們能夠被你的靈所感動
[00:00:31.000 --> 00:00:34.000]  更加能夠從聖靈而來的悟性
[00:00:34.000 --> 00:00:37.000]  以致能夠明白你懷疑中的奧秘
[00:00:37.000 --> 00:00:39.000]  有願講的和聽的
[00:00:39.000 --> 00:00:41.000]  都同蒙你的月亮
[00:00:41.000 --> 00:00:42.000]  祈禱奉主耶穌
[00:00:42.000 --> 00:00:43.000]  祈禱祂的名球
[00:00:43.000 --> 00:00:44.000]  阿們
[00:00:44.000 --> 00:00:47.000]  首先在此再一次
[00:00:47.000 --> 00:00:51.000]  恭祝每一位做媽媽的母親節快樂
[00:00:51.000 --> 00:00:53.000]  剛才我們崇拜之前
[00:00:53.000 --> 00:00:54.000]  我們在後面
[00:00:54.000 --> 00:00:56.000]  有幾位負責人在祈禱的時候
[00:00:56.000 --> 00:00:58.000]  有位媽媽就說
[00:00:58.000 --> 00:01:01.000]  我不要只有母親節才快樂
[00:01:01.000 --> 00:01:03.000]  所以希望
[00:01:03.000 --> 00:01:05.000]  也恭祝各位媽媽
[00:01:05.000 --> 00:01:06.000]  每一天
[00:01:06.000 --> 00:01:08.000]  心裏面都是暢快
[00:01:08.000 --> 00:01:10.000]  特別母親節的時候更加快樂
[00:01:10.000 --> 00:01:12.000]  當我們見到我們的小朋友
[00:01:12.000 --> 00:01:14.000]  在主裏面
[00:01:14.000 --> 00:01:16.000]  有很好的成長
[00:01:16.000 --> 00:01:18.000]  我相信都是每一位媽媽
[00:01:18.000 --> 00:01:22.000]  最大的喜樂和福氣
[00:01:22.000 --> 00:01:24.000]  今天和大家分享的經文
[00:01:24.000 --> 00:01:27.000]  是《史壇傳》第九章
[00:01:27.000 --> 00:01:30.000]  當我去默想這段經文的時候
[00:01:30.000 --> 00:01:33.000]  我就記得起復活節的時候
[00:01:33.000 --> 00:01:36.000]  復活節的時候在操場
[00:01:36.000 --> 00:01:39.000]  因為小學不可以用禮堂
[00:01:39.000 --> 00:01:41.000]  都一樣在操場裏面
[00:01:41.000 --> 00:01:43.000]  做復活節的崇拜
[00:01:43.000 --> 00:01:46.000]  當時鄭凱傑宣教師負責訊息
[00:01:46.000 --> 00:01:47.000]  他就問
[00:01:47.000 --> 00:01:49.000]  在座各位小朋友
[00:01:49.000 --> 00:01:52.000]  你們信不信耶穌已經復活了
[00:01:52.000 --> 00:01:56.000]  當然有小朋友舉手
[00:01:56.000 --> 00:01:58.000]  鄭凱傑宣教師就問
[00:01:58.000 --> 00:02:00.000]  因為有些人還未舉手
[00:02:00.000 --> 00:02:01.000]  他就問
[00:02:01.000 --> 00:02:04.000]  有沒有人是半信半疑的
[00:02:04.000 --> 00:02:07.000]  都有小朋友舉手
[00:02:07.000 --> 00:02:08.000]  半信半疑
[00:02:08.000 --> 00:02:10.000]  其實他們都很誠實地說
[00:02:10.000 --> 00:02:12.000]  信一點不信一點
[00:02:12.000 --> 00:02:14.000]  鄭凱傑宣教師還問了一個
[00:02:14.000 --> 00:02:16.000]  很大膽的問題
[00:02:16.000 --> 00:02:17.000]  他就問
[00:02:17.000 --> 00:02:21.000]  有誰是不信耶穌復活的
[00:02:21.000 --> 00:02:23.000]  你猜有沒有人舉手
[00:02:23.000 --> 00:02:24.000]  是的
[00:02:24.000 --> 00:02:25.000]  都有人舉手
[00:02:25.000 --> 00:02:28.000]  當然舉手的人比較少
[00:02:28.000 --> 00:02:30.000]  這是一個比較
[00:02:30.000 --> 00:02:33.000]  為什麼我說他大膽的問題
[00:02:33.000 --> 00:02:36.000]  如果全部人舉手怎麼辦
[00:02:36.000 --> 00:02:38.000]  我們更加開心
[00:02:38.000 --> 00:02:39.000]  因為他們不信的時候
[00:02:39.000 --> 00:02:42.000]  我們更加要將福音傳給他們
[00:02:42.000 --> 00:02:45.000]  鄭凱傑宣教師就鼓勵他們
[00:02:45.000 --> 00:02:47.000]  你們不信不要緊
[00:02:47.000 --> 00:02:49.000]  你們不要就這樣不信
[00:02:49.000 --> 00:02:52.000]  你們要去尋找答案
[00:02:52.000 --> 00:02:53.000]  不要就這樣坐著
[00:02:53.000 --> 00:02:54.000]  我不信
[00:02:54.000 --> 00:02:55.000]  而是去尋找
[00:02:55.000 --> 00:02:56.000]  去證明
[00:02:56.000 --> 00:02:58.000]  耶穌原來是沒有復活的
[00:02:58.000 --> 00:03:01.000]  你們要去尋找答案
[00:03:01.000 --> 00:03:03.000]  各位頂姐妹
[00:03:03.000 --> 00:03:04.000]  我想問問你
[00:03:04.000 --> 00:03:08.000]  你信不信耶穌已經復活了
[00:03:08.000 --> 00:03:12.000]  牧師你問這麼蠢的問題
[00:03:12.000 --> 00:03:13.000]  如果我不信
[00:03:13.000 --> 00:03:15.000]  我就不會坐著
[00:03:15.000 --> 00:03:17.000]  我相信
[00:03:17.000 --> 00:03:18.000]  我又問問你
[00:03:18.000 --> 00:03:20.000]  你信耶穌已經復活了
[00:03:20.000 --> 00:03:21.000]  如果你有個朋友
[00:03:21.000 --> 00:03:23.000]  他沒有信耶穌
[00:03:23.000 --> 00:03:25.000]  他走來問你
[00:03:25.000 --> 00:03:27.000]  你信了耶穌
[00:03:27.000 --> 00:03:28.000]  你也信耶穌復活
[00:03:28.000 --> 00:03:30.000]  你可不可以給我一些證據
[00:03:30.000 --> 00:03:33.000]  耶穌已經復活了
[00:03:33.000 --> 00:03:36.000]  你能不能給他證據
[00:03:36.000 --> 00:03:42.000]  從上來才做天理的培訓者
[00:03:42.000 --> 00:03:54.000]  從上來才做天理的培訓者
[00:03:54.000 --> 00:03:57.000]  多謝奕成的分享
[00:03:57.000 --> 00:03:59.000]  可能有些朋友
[00:03:59.000 --> 00:04:02.000]  不太接受這個答案
[00:04:02.000 --> 00:04:04.000]  你給我一些證據
[00:04:04.000 --> 00:04:06.000]  你給我一些什麼證據
[00:04:06.000 --> 00:04:07.000]  你自己信了耶穌
[00:04:07.000 --> 00:04:08.000]  你也信耶穌復活了
[00:04:08.000 --> 00:04:12.000]  你怎樣給你的朋友證據
[00:04:12.000 --> 00:04:13.000]  耶穌已經復活了
[00:04:13.000 --> 00:04:15.000]  並且我們相信
[00:04:15.000 --> 00:04:20.000]  耶穌會繼續在人間
[00:04:20.000 --> 00:04:22.000]  今天和大家來看看
[00:04:22.000 --> 00:04:24.000]  《使徒行傳》
[00:04:24.000 --> 00:04:25.000]  相信大家已經有機會
[00:04:25.000 --> 00:04:27.000]  看過《使徒行傳》
[00:04:27.000 --> 00:04:29.000]  在我們的《聖經校和學本》
[00:04:29.000 --> 00:04:33.000]  修煉版裡的第178頁
[00:04:33.000 --> 00:04:34.000]  有一個簡介
[00:04:34.000 --> 00:04:35.000]  和大家分享一下
