
[00:00:00.000 --> 00:00:03.000]  字幕由 Amara.org 社群提供
[00:00:30.000 --> 00:00:32.000]  各樣的限制
[00:00:32.000 --> 00:00:34.000]  這些都是真實
[00:00:34.000 --> 00:00:36.000]  以及我們每一個人都需要面對的
[00:00:36.000 --> 00:00:38.000]  但是在這個困境裏面
[00:00:38.000 --> 00:00:42.000]  我們不要被憂慮和恐懼去自困
[00:00:42.000 --> 00:00:44.000]  我們要看到上帝的能力
[00:00:44.000 --> 00:00:46.000]  我們無論在任何地方
[00:00:46.000 --> 00:00:48.000]  上帝都與我們同在
[00:00:48.000 --> 00:00:50.000]  不是靠自己的能力
[00:00:50.000 --> 00:00:52.000]  也不是外在的環境
[00:00:52.000 --> 00:00:54.000]  而是因為上帝的同在
[00:00:54.000 --> 00:00:56.000]  使我們有這份的平安
[00:00:56.000 --> 00:00:58.000]  你現在覺得
[00:00:58.000 --> 00:01:00.000]  什麼是因為平安呢?
[00:01:00.000 --> 00:01:02.000]  是口罩?
[00:01:02.000 --> 00:01:04.000]  是消毒洗手液?
[00:01:04.000 --> 00:01:06.000]  神會怎樣賜下這些東西給你呢?
[00:01:06.000 --> 00:01:08.000]  其實神就是要我們
[00:01:08.000 --> 00:01:10.000]  愛人如己
[00:01:10.000 --> 00:01:12.000]  如果我們有餘的時候
[00:01:12.000 --> 00:01:14.000]  不要過份積聚
[00:01:14.000 --> 00:01:16.000]  而是要與有需要的人來分享
[00:01:16.000 --> 00:01:18.000]  運用你所有的資源和智慧
[00:01:18.000 --> 00:01:20.000]  盡量去幫助人
[00:01:20.000 --> 00:01:22.000]  做一個忠心的信徒
[00:01:22.000 --> 00:01:26.000]  哥林大學書九章八節說
[00:01:26.000 --> 00:01:28.000]  上帝將各樣的恩惠
[00:01:28.000 --> 00:01:30.000]  多多地加給你們
[00:01:30.000 --> 00:01:32.000]  使你們凡事上上充足
[00:01:32.000 --> 00:01:36.000]  能多行各樣善事
