
[00:00:00.000 --> 00:00:04.200]  領子梅路加福音曾經說過一件事
[00:00:04.200 --> 00:00:07.680]  耶穌說:若要人跟隨我
[00:00:07.680 --> 00:00:12.400]  就要捨己天天背起我的十字架
[00:00:12.400 --> 00:00:17.280]  捨己是指放下我們的自我中心
[00:00:17.280 --> 00:00:18.640]  當我吃午飯時
[00:00:18.640 --> 00:00:20.080]  我和師母一起吃飯
[00:00:20.080 --> 00:00:22.400]  她都提供了我
[00:00:22.400 --> 00:00:23.760]  在我生命上
[00:00:23.760 --> 00:00:25.080]  在我日常生活上
[00:00:25.080 --> 00:00:27.440]  都有很多自我中心的東西
[00:00:27.440 --> 00:00:28.400]  我很感謝師母
[00:00:28.400 --> 00:00:31.120]  也很感謝聖靈藉著師母提醒我
[00:00:31.120 --> 00:00:33.000]  其實我們每一個人都是
[00:00:33.000 --> 00:00:34.680]  我們攻擊的罪
[00:00:34.680 --> 00:00:36.520]  就是那些自我中心
[00:00:36.520 --> 00:00:37.480]  在我們的人生
[00:00:37.480 --> 00:00:39.480]  在我們日常生活經常有
[00:00:39.480 --> 00:00:41.800]  但是神幫助我們的就是
[00:00:41.800 --> 00:00:44.040]  讓我們走上聖線的道路
[00:00:44.040 --> 00:00:45.600]  就是一步一步的
[00:00:45.600 --> 00:00:49.200]  將我們的自我中心去對付
[00:00:49.200 --> 00:00:50.800]  去放下
[00:00:50.800 --> 00:00:52.640]  所以神允許我們
[00:00:52.640 --> 00:00:54.800]  當我們被聖靈更新
[00:00:54.800 --> 00:00:57.120]  當我們順著神的心意走
[00:00:57.120 --> 00:01:00.040]  我們就放下那個自我中心
[00:01:00.040 --> 00:01:01.960]  充滿罪的天性
[00:01:01.960 --> 00:01:04.080]  去幻想新我
[00:01:04.080 --> 00:01:06.040]  成為神所喜悅的人
[00:01:06.040 --> 00:01:07.000]  所以盼望大家
[00:01:07.000 --> 00:01:09.120]  我們藉著今次的講道
[00:01:09.120 --> 00:01:11.960]  我們一起讓聖靈跟我們說話
[00:01:11.960 --> 00:01:13.680]  讓我們帶著一個新的盼望
[00:01:13.680 --> 00:01:15.440]  知道神的心意
[00:01:15.440 --> 00:01:17.200]  也都順著神的心意走
[00:01:17.200 --> 00:01:21.120]  主要我們無論每天作何事
[00:01:21.120 --> 00:01:23.360]  讓我們有一個等候祢的心
[00:01:23.360 --> 00:01:25.360]  有一個信服祢的心
[00:01:25.360 --> 00:01:27.160]  有一個謙卑降服
[00:01:27.160 --> 00:01:29.600]  在祢的先保佑面前的心
[00:01:29.600 --> 00:01:31.280]  主要今天讓聖靈
[00:01:31.280 --> 00:01:33.560]  跟我們每一位說話
[00:01:33.560 --> 00:01:36.400]  祢知道我們今天的光景
[00:01:36.400 --> 00:01:38.720]  祢知道我們的心思念念
[00:01:38.720 --> 00:01:42.000]  祢也都用無盡的愛去愛我們
[00:01:42.000 --> 00:01:43.240]  所以今天讓我們
[00:01:43.240 --> 00:01:44.880]  再一次來到祢面前
[00:01:44.880 --> 00:01:45.600]  在祢的愛
[00:01:45.600 --> 00:01:47.200]  在祢的平安裏面
[00:01:47.200 --> 00:01:49.840]  一起聽著祢的聲音
[00:01:49.840 --> 00:01:52.360]  主要教導我們謙卑信服
[00:01:52.360 --> 00:01:55.800]  祢教導我們知道我們是誰
[00:01:55.800 --> 00:01:57.560]  個個都是祢所愛
[00:01:57.560 --> 00:01:58.920]  我們奉耶穌基督的名
[00:01:58.920 --> 00:02:01.600]  吩咐一切冷漠者不屬於祢的
[00:02:01.600 --> 00:02:04.320]  都要離開頂子妹的生命
[00:02:04.320 --> 00:02:05.760]  離開這個殿
[00:02:05.760 --> 00:02:07.800]  離開我們不同的地方
[00:02:07.800 --> 00:02:10.200]  主要我們今天分別為聖
[00:02:10.200 --> 00:02:11.400]  都歸向祢
[00:02:11.400 --> 00:02:12.200]  多謝祢
[00:02:12.200 --> 00:02:13.560]  聽我們的禱告
[00:02:13.560 --> 00:02:15.560]  奉耶穌基督的聖名
[00:02:15.560 --> 00:02:16.800]  Amen
[00:02:20.040 --> 00:02:23.360]  在內地有兩個人
[00:02:23.360 --> 00:02:26.720]  坐巴士去一個崎嶇的山區
[00:02:26.720 --> 00:02:29.400]  在其中一個景點下了車
[00:02:29.400 --> 00:02:30.440]  當他下了車之後
[00:02:30.440 --> 00:02:33.080]  巴士就繼續向前開
[00:02:33.080 --> 00:02:35.080]  但是突然有一塊石頭
[00:02:35.080 --> 00:02:37.320]  在山上滾了下來
[00:02:37.320 --> 00:02:39.000]  打中了巴士
[00:02:39.000 --> 00:02:41.320]  其中有幾個人受了傷
[00:02:41.320 --> 00:02:44.760]  這兩個人目睹整個過程
[00:02:44.760 --> 00:02:46.480]  其中一個就在說
[00:02:46.480 --> 00:02:47.760]  哎呀
[00:02:47.760 --> 00:02:50.280]  幸好我們下了車
[00:02:50.280 --> 00:02:53.840]  否則這個石頭打中巴士的時候
[00:02:53.840 --> 00:02:55.840]  我們就很容易受傷
[00:02:55.840 --> 00:02:58.280]  但是另一個人就提醒他
[00:02:58.280 --> 00:03:00.520]  你不要太自我中心
[00:03:00.520 --> 00:03:01.960]  你知不知道
[00:03:01.960 --> 00:03:04.280]  如果我們不是這個時間下車
[00:03:04.280 --> 00:03:07.600]  這個巴士節省了我們下車的時間
[00:03:07.600 --> 00:03:11.160]  它就會趕得及在這個石頭滾下來之前
[00:03:11.160 --> 00:03:13.480]  駛過這段路
[00:03:13.480 --> 00:03:15.560]  自我中心
[00:03:15.560 --> 00:03:17.120]  有一個基督徒的導師
[00:03:17.120 --> 00:03:18.240]  Jolene Underwood
[00:03:18.240 --> 00:03:21.040]  曾經列舉過
[00:03:21.040 --> 00:03:25.360]  十個常見的自我中心的行為或者習慣
[00:03:25.360 --> 00:03:27.000]  或者我們看的時候
[00:03:27.000 --> 00:03:31.800]  不妨可以檢視一下我們自己有沒有這樣的行為
[00:03:31.800 --> 00:03:32.800]  第一個是什麼呢
[00:03:32.800 --> 00:03:33.680]  第一個呢
[00:03:33.680 --> 00:03:36.320]  這些人會喜歡主導對話
[00:03:36.320 --> 00:03:39.240]  他很少問別人的意見
[00:03:39.240 --> 00:03:40.520]  第二個是什麼呢
[00:03:40.520 --> 00:03:41.720]  自己一定對
[00:03:41.720 --> 00:03:43.000]  一定要贏
[00:03:43.000 --> 00:03:44.840]  對方一定錯
[00:03:44.840 --> 00:03:47.880]  第三個呢是很容易去控訴
