
[00:00:00.000 --> 00:00:05.420]  我們讀一段聖經,在以西節書第36章第8到第9節,
[00:00:05.420 --> 00:00:07.640]  兩節的聖經我們一同來唸,來:
[00:00:07.640 --> 00:00:12.960]  「以色列三,你必發支條,爲我的民以色列結果子,
[00:00:12.960 --> 00:00:15.160]  因爲他們快要來到。
[00:00:15.160 --> 00:00:20.880]  看啊,我是幫助你的,也必向你轉義,使你得以庚重。」
[00:00:20.880 --> 00:00:22.400]  第九節我們再讀一遍,來:
[00:00:22.400 --> 00:00:28.920]  「看啊,我是幫助你的,也必向你轉義,使你得以庚重。」
[00:00:28.920 --> 00:00:31.120]  我們就讀到這裏。
[00:00:31.120 --> 00:00:36.440]  上禮拜我有機會跟我們蒙古的巴布沃牧師去土耳其,
[00:00:36.440 --> 00:00:39.400]  探望我們土耳其的分堂。
[00:00:39.400 --> 00:00:42.600]  我們土耳其分堂是我們在2010年的時候,
[00:00:42.600 --> 00:00:49.920]  我們拆派哈薩克的牧師Monabat前往土耳其去開拓。
[00:00:49.920 --> 00:00:54.520]  五年多來,工作不是沒有果效,
[00:00:54.520 --> 00:00:59.440]  但是卻充滿了各樣的挫折跟艱難。
[00:00:59.440 --> 00:01:05.120]  首先你要知道在回教國家傳福音本身就不是一件容易的事情。
[00:01:05.120 --> 00:01:09.760]  只要你向別人傳福音,馬上消息會傳遍整個社區,
[00:01:09.760 --> 00:01:13.320]  你就很難待下去再繼續傳下去。
[00:01:13.320 --> 00:01:17.320]  你必須要先花時間跟他們做朋友,
[00:01:17.320 --> 00:01:22.080]  取得信任感之後,再來談到耶穌的事情。
[00:01:22.080 --> 00:01:25.280]  再加上我們的牧師Monabat他不是本地人,
[00:01:25.280 --> 00:01:27.920]  所以難處更加的高。
[00:01:27.920 --> 00:01:31.040]  而且一旦帶領人信主之後,
[00:01:31.040 --> 00:01:33.800]  另外的問題又產生了。
[00:01:33.800 --> 00:01:39.040]  他們很可能遭遇到家人的反對,甚至遭遇到逼迫。
[00:01:39.040 --> 00:01:44.640]  有些人信了主就必須搬開那個地方到其他地方去生活。
[00:01:44.640 --> 00:01:48.880]  所以我們的教會一直很難建立起來。
[00:01:48.880 --> 00:01:54.160]  過去的五年,Monabat牧師跟他的師母也帶領了一些人信主,
[00:01:54.160 --> 00:01:58.520]  但一直就沒有辦法建立教會。
[00:01:58.520 --> 00:02:03.640]  其次,他們在土耳其的簽證也遇到很大的挫折。
[00:02:03.640 --> 00:02:08.080]  本來他們是想用教師的身份進入土耳其,
[00:02:08.080 --> 00:02:10.920]  但一直都沒有被批准。
[00:02:10.920 --> 00:02:16.160]  兩年前土耳其政府改變了他們的一些簽證,
[00:02:16.160 --> 00:02:22.240]  所以他們規定所有臨時居留、臨時簽證居留的,
[00:02:22.240 --> 00:02:25.560]  最多每一年只能停留六個月。
[00:02:25.560 --> 00:02:29.960]  換句話說,他們就不能夠長期待在土耳其,
[00:02:29.960 --> 00:02:34.200]  必須每兩個月他們要回到哈薩克一次。
[00:02:34.200 --> 00:02:39.160]  換句話說,一個月住在土耳其,一個月住在哈薩克。
[00:02:39.160 --> 00:02:43.800]  所以他們一直在禱告,希望能夠找到一位本地的傳道人,
[00:02:43.800 --> 00:02:47.760]  與他們一同的佩搭,一同來侍奉。
[00:02:47.760 --> 00:02:52.960]  感謝神,去年的六月開始我們找到一個很好的本地傳道人,
[00:02:52.960 --> 00:02:54.960]  叫做Dumush。
[00:02:54.960 --> 00:02:58.240]  所以今年,當我們去到土耳其的時候,
[00:02:58.240 --> 00:03:03.160]  我們看見整個世宮有一個非常不一樣的轉變。
[00:03:03.160 --> 00:03:08.000]  以前每一次去到土耳其,我所能做的就是禱告行經。
[00:03:08.000 --> 00:03:11.320]  每一次跟着瑪拉伯穆斯就是去禱告行經。
[00:03:11.320 --> 00:03:13.480]  沒有接觸到什麼本地的人,
[00:03:13.480 --> 00:03:17.480]  甚至沒有什麼機會服侍、講道都沒有。
[00:03:17.480 --> 00:03:23.000]  可是這次去呢,我們是第一次真的帶領聚會,
[00:03:23.000 --> 00:03:27.800]  真的有人坐在下面,Hallelujah!
[00:03:27.800 --> 00:03:32.640]  你很難想象我心裏那種很興奮的心情。
[00:03:32.640 --> 00:03:36.360]  這麼多年來,我第一次下面有人坐着聽我講道,
[00:03:36.360 --> 00:03:38.360]  真的非常的興奮。
[00:03:38.360 --> 00:03:40.680]  雖然人數是很少,
[00:03:40.680 --> 00:03:45.280]  但我們的感覺就像是您所說的那個芥菜種。
[00:03:45.280 --> 00:03:47.520]  雖然是很小的一粒,
[00:03:47.520 --> 00:03:52.920]  但憑着信心,我們相信它能夠成長到最大的菜樹。
[00:03:52.920 --> 00:03:54.440]  Amen?
[00:03:54.440 --> 00:03:59.320]  你知道上禮拜當我站在Kusadasi這個城市的山頂上,
[00:03:59.320 --> 00:04:02.400]  爲這個城市禱告的時候,
[00:04:02.400 --> 00:04:05.240]  神就讓我回想起過去五年多來,
[00:04:05.240 --> 00:04:08.840]  我們在土耳其世宮所遇到的艱難,
[00:04:08.840 --> 00:04:11.840]  所走過的艱難的道路,
[00:04:11.840 --> 00:04:16.160]  但同時神也讓我想起一段的經文,
[00:04:16.160 --> 00:04:18.480]  就是剛纔我們所讀的經文,
[00:04:18.480 --> 00:04:22.680]  以西節書第36章第8到第9節,
[00:04:22.680 --> 00:04:25.720]  這裏說:以色列三啊,你必發支條,
[00:04:25.720 --> 00:04:31.640]  爲我的民以色列結國子,因爲他們快要來到了。
[00:04:31.640 --> 00:04:38.240]  看啊,我是幫助你的,必向你轉移,使你得以跟蹤。
[00:04:38.240 --> 00:04:41.760]  你知道當以西節寫這段經文的時候,
