
[00:00:00.000 --> 00:00:03.440]  請師妹平安、感恩
[00:00:03.440 --> 00:00:09.000]  讓我們一起回到加神的殿裡面去敬拜神
[00:00:09.000 --> 00:00:13.800]  上星期梁銓導帶我們看了《哥倫多後書》
[00:00:13.800 --> 00:00:15.720]  不知道大家有沒有記得呢?
[00:00:15.720 --> 00:00:21.260]  他跟我們看了《約瑟雅記》和《哥倫多後書》
[00:00:21.260 --> 00:00:23.860]  上星期梁銓導帶我們看《哥倫多後書》
[00:00:23.860 --> 00:00:25.280]  一段很經典的經文
[00:00:25.280 --> 00:00:30.720]  其實我們說《哥倫多後書》是有很多很經典的經文的
[00:00:30.720 --> 00:00:34.320]  其中上星期看了的就是
[00:00:34.320 --> 00:00:39.220]  保羅怎樣在軟弱上面變得剛強
[00:00:39.220 --> 00:00:44.720]  是神怎樣用祂的恩典在軟弱的人身上
[00:00:44.720 --> 00:00:47.380]  將恩典變得完全
[00:00:47.380 --> 00:00:50.720]  其實當我們認真去看《哥倫多後書》的話
[00:00:50.720 --> 00:00:54.880]  我們會發現其實這個信息幾乎是貫穿整本書
[00:00:54.880 --> 00:00:56.800]  整卷書
[00:00:56.800 --> 00:01:01.000]  而從我們今天的經文我們就看得到
[00:01:01.000 --> 00:01:03.440]  這封書信在開始的時候
[00:01:03.440 --> 00:01:05.520]  剛才主席讀的時候
[00:01:05.520 --> 00:01:07.580]  我不知道你會不會覺得很複雜
[00:01:07.580 --> 00:01:11.960]  很多又是、又非、又忽是忽非、又是的是是的
[00:01:11.960 --> 00:01:13.800]  好像很複雜
[00:01:13.800 --> 00:01:16.980]  其實剛才我們讀的經文你可以看到
[00:01:16.980 --> 00:01:23.340]  似乎保羅一開始就很努力的為自己去澄清一些東西
[00:01:23.340 --> 00:01:26.940]  去澄清一些東西、去辯護一些東西
[00:01:26.940 --> 00:01:28.840]  從一張17、18字我們看到
[00:01:28.840 --> 00:01:31.540]  他說有這個意思
[00:01:31.540 --> 00:01:34.500]  由此難道我是反覆不定嗎?
[00:01:34.500 --> 00:01:39.760]  難道我的意願是從私欲起的嗎?
[00:01:39.760 --> 00:01:42.440]  難道我是忽是忽非的嗎?
[00:01:42.440 --> 00:01:45.900]  你似乎看到他想解釋一些東西
[00:01:45.900 --> 00:01:47.740]  想澄清一些東西
[00:01:47.740 --> 00:01:49.820]  甚至有一種意味是
[00:01:49.820 --> 00:01:51.580]  我在為自己辯護中
[00:01:51.580 --> 00:01:54.920]  他甚至指著信實的神說
[00:01:54.920 --> 00:01:58.780]  我向你們所傳的道不是有是有非的
[00:01:58.780 --> 00:02:02.040]  他似乎是在辯護中
[00:02:02.040 --> 00:02:03.140]  奇怪了
[00:02:03.140 --> 00:02:06.640]  為什麼保羅要無緣無故去辯護呢?
[00:02:06.640 --> 00:02:09.440]  要去澄清呢?
[00:02:09.440 --> 00:02:10.840]  如果當你去想像
[00:02:10.840 --> 00:02:14.760]  你什麼時候會去跟別人辯護或者澄清的?
[00:02:14.760 --> 00:02:18.820]  就是當你遇到一些誤會的時候
[00:02:18.820 --> 00:02:22.500]  或者可能有人指控你的時候
[00:02:22.500 --> 00:02:25.540]  一些無理的控告的時候
[00:02:25.540 --> 00:02:28.500]  可能你就會為自己去辯護
[00:02:28.500 --> 00:02:30.340]  保羅也一樣
[00:02:30.340 --> 00:02:32.980]  當時他被人攻擊
[00:02:32.980 --> 00:02:37.260]  他遇到一些惡意的批評和指控
[00:02:37.260 --> 00:02:39.380]  來到這裡就更奇怪了
[00:02:39.380 --> 00:02:43.740]  哥倫多教會是保羅親手建立的
[00:02:43.740 --> 00:02:46.020]  是保羅親手所建立
[00:02:46.020 --> 00:02:48.380]  他不是很愛這個教會嗎?
[00:02:48.380 --> 00:02:52.860]  他不是處處都為這個教會著想嗎?
[00:02:52.860 --> 00:02:54.980]  從哥倫多前書
[00:02:54.980 --> 00:02:59.860]  我們還看到保羅說要去探望他們
[00:02:59.860 --> 00:03:03.460]  他們不是應該很感謝保羅才是嗎?
[00:03:03.460 --> 00:03:05.340]  應該很感謝神
[00:03:05.340 --> 00:03:08.140]  神差派一個這麼好的僕人
[00:03:08.140 --> 00:03:10.180]  去他們中間教導他們
[00:03:10.180 --> 00:03:13.660]  幫助他們 建立他們 餵養他們
[00:03:13.660 --> 00:03:16.260]  應該感恩才是
[00:03:16.260 --> 00:03:21.300]  為什麼他們竟然會去攻擊保羅呢?
[00:03:21.300 --> 00:03:24.140]  原來也有原因的
[00:03:24.140 --> 00:03:27.540]  在哥倫多前後書我們對比的時候
[00:03:27.540 --> 00:03:31.060]  就發現原來保羅曾經在哥倫多前書
[00:03:31.060 --> 00:03:34.180]  有講過他一些行程
[00:03:34.180 --> 00:03:36.260]  是他要先去馬其頓
[00:03:36.260 --> 00:03:39.740]  然後就會去哥倫多教會探望他們
[00:03:39.740 --> 00:03:43.220]  還說要和他們一起過冬
[00:03:43.220 --> 00:03:47.900]  令到哥倫多教會一直在等待他們來
[00:03:47.900 --> 00:03:49.580]  又很期待他們來
[00:03:49.580 --> 00:03:52.900]  但是來到後書我們就發現
[00:03:52.900 --> 00:03:55.980]  保羅不是去了馬其頓再去哥倫多
[00:03:55.980 --> 00:04:00.540]  而是他先路過了他們再去馬其頓
[00:04:00.540 --> 00:04:04.860]  然後他又會再從馬其頓回到他們那裡
[00:04:04.860 --> 00:04:09.220]  就是這個行程上的改變
[00:04:09.220 --> 00:04:13.420]  一個保羅計劃上的改變
[00:04:13.420 --> 00:04:16.900]  直到他被人攻擊
[00:04:16.900 --> 00:04:20.500]  有人惡意對他批評和指控
[00:04:20.500 --> 00:04:24.140]  說他是一個相當不可靠的人
[00:04:24.140 --> 00:04:26.300]  他經常都反覆不定
[00:04:26.300 --> 00:04:28.100]  又是又非
[00:04:28.100 --> 00:04:29.740]  又說來又說不來
[00:04:29.740 --> 00:04:31.620]  不來又來
[00:04:31.620 --> 00:04:32.900]  就是這樣
