
[00:00:00.000 --> 00:00:02.000]  因為這就是神的心意
[00:00:02.000 --> 00:00:04.000]  神為什麼把聖靈拆下來
[00:00:04.000 --> 00:00:06.000]  他就是叫我們在這個世界上活著
[00:00:06.000 --> 00:00:08.000]  真的是被他自己所管理
[00:00:08.000 --> 00:00:10.000]  完全是被聖靈所充滿
[00:00:10.000 --> 00:00:13.000]  那麼我們其實想一想
[00:00:13.000 --> 00:00:15.000]  我們在這個世界上活著
[00:00:15.000 --> 00:00:16.000]  當我們信主的時候
[00:00:16.000 --> 00:00:20.000]  我們花在教會或者是教堂裡面的時間多不多
[00:00:20.000 --> 00:00:23.000]  真的是不多
[00:00:23.000 --> 00:00:25.000]  因為你可以想想看
[00:00:25.000 --> 00:00:28.000]  如果你真的一個禮拜花上十個小時
[00:00:28.000 --> 00:00:30.000]  在這個教堂裡面或是在教會裡面
[00:00:30.000 --> 00:00:32.000]  參加聚會、參加團祭
[00:00:32.000 --> 00:00:34.000]  超過十個小時的精力舉手
[00:00:34.000 --> 00:00:40.000]  那真的是很少
[00:00:40.000 --> 00:00:44.000]  真的是我們
[00:00:44.000 --> 00:00:47.000]  加上一些其他的零零碎碎的加起來
[00:00:47.000 --> 00:00:48.000]  都不到的
[00:00:48.000 --> 00:00:51.000]  但是剩下的就是我們活著的時間
[00:00:51.000 --> 00:00:53.000]  那麼這些時間
[00:00:53.000 --> 00:00:55.000]  聖經上就是讓我們看見
[00:00:55.000 --> 00:00:56.000]  這是很重要的
[00:00:57.000 --> 00:00:59.000]  我們不是只在這裡活著
[00:00:59.000 --> 00:01:00.000]  我們要出去活
[00:01:00.000 --> 00:01:01.000]  我們在家裡面活著
[00:01:01.000 --> 00:01:03.000]  在我們工作的場合
[00:01:03.000 --> 00:01:04.000]  我們在社交的場合
[00:01:04.000 --> 00:01:06.000]  我們在跟人接觸的地方
[00:01:06.000 --> 00:01:08.000]  我們就是要活著
[00:01:08.000 --> 00:01:09.000]  那麼這是神
[00:01:09.000 --> 00:01:11.000]  祂的目的是什麼
[00:01:11.000 --> 00:01:14.000]  所以主耶穌當祂在離開這個世界上的時候
[00:01:14.000 --> 00:01:16.000]  在約翰福音17章那邊
[00:01:16.000 --> 00:01:17.000]  祂禱告就是
[00:01:17.000 --> 00:01:19.000]  祂說我拆遣他們進入這個世界
[00:01:19.000 --> 00:01:21.000]  就是要讓世人知道
[00:01:21.000 --> 00:01:23.000]  我是從你那裡來的
[00:01:23.000 --> 00:01:24.000]  這是耶穌講的
[00:01:24.000 --> 00:01:27.000]  讓世人知道我跟你是合而為一的
[00:01:27.000 --> 00:01:28.000]  也讓世人知道
[00:01:28.000 --> 00:01:30.000]  他們跟我是合而為一的
[00:01:30.000 --> 00:01:32.000]  我們跟他是United
[00:01:32.000 --> 00:01:35.000]  裡面有Union
[00:01:35.000 --> 00:01:40.000]  所以我自己是覺得說
[00:01:40.000 --> 00:01:43.000]  這樣子承先啟後去看的話
[00:01:43.000 --> 00:01:44.000]  那我們曉得21節
[00:01:44.000 --> 00:01:46.000]  其實是一個很關鍵的經文
[00:01:46.000 --> 00:01:48.000]  而且是一個很重要的經文
[00:01:48.000 --> 00:01:52.000]  如果每一個神的兒女
[00:01:52.000 --> 00:01:53.000]  能夠在敬畏基督
[00:01:53.000 --> 00:01:55.000]  在彼此順服的事情上面
[00:01:55.000 --> 00:01:58.000]  能夠被聖靈充滿
[00:01:58.000 --> 00:02:04.000]  我相信教會不會有爭鬧
[00:02:04.000 --> 00:02:07.000]  而且教會會有活力
