
[00:00:00.000 --> 00:00:03.000]  大英姐妹平安 非常之感恩
[00:00:03.000 --> 00:00:06.920]  又有機會在這裡跟大家分享神的說話
[00:00:06.920 --> 00:00:09.680]  也是為恩福家感恩
[00:00:09.680 --> 00:00:12.600]  剛才聽到你們有牧者
[00:00:12.600 --> 00:00:16.880]  你們也都很願意一同的去成長
[00:00:16.880 --> 00:00:21.000]  和牧者同行 這個是非常之難得的
[00:00:21.000 --> 00:00:26.440]  我今天就想用斟言的說話
[00:00:26.440 --> 00:00:32.760]  和大家分享一個主題 就是朋友 靈友
[00:00:32.760 --> 00:00:34.440]  朋友是什麼呢?
[00:00:34.440 --> 00:00:38.480]  在英國曾經有人試過登報紙
[00:00:38.480 --> 00:00:45.640]  徵求朋友的定義 並且是有獎金的
[00:00:45.640 --> 00:00:50.680]  最後選出來的朋友的定義就是
[00:00:50.680 --> 00:00:54.720]  朋友就是當所有的人離開了
[00:00:54.720 --> 00:00:58.480]  卻仍然和你在一起的人
[00:00:58.480 --> 00:01:01.240]  從聖經的角度來看
[00:01:01.240 --> 00:01:07.520]  朋友就是用愛和別人聯繫在一起的人
[00:01:07.520 --> 00:01:09.440]  我想問一下大家
[00:01:09.440 --> 00:01:13.600]  你身邊的朋友的關係
[00:01:13.600 --> 00:01:16.800]  是和你用什麼來維繫的呢?
[00:01:16.800 --> 00:01:19.560]  是不是相同的嗜好呢?
[00:01:19.560 --> 00:01:22.440]  或者是不是金錢呢?
[00:01:22.440 --> 00:01:27.320]  甚至是不是只不過是飲食的朋友呢?
[00:01:27.320 --> 00:01:31.240]  今天讓我們在聖經的說話
[00:01:31.240 --> 00:01:35.240]  來尋找一下這個答案
[00:01:35.240 --> 00:01:37.960]  讓我們再一次講道之先
[00:01:37.960 --> 00:01:40.040]  我們同心低頭報告
[00:01:40.040 --> 00:01:41.880]  親愛的恩主 我們感謝你
[00:01:41.880 --> 00:01:45.440]  你將智慧的言語賜給我們
[00:01:45.440 --> 00:01:48.080]  求你幫助我們每一個
[00:01:48.080 --> 00:01:52.360]  讓我們不單止能夠有從你而來的智慧
[00:01:52.360 --> 00:01:54.760]  去選擇我們身邊的朋友
[00:01:54.760 --> 00:02:01.840]  我們自己更加能夠成為我們身邊的人的良友、靈友
[00:02:01.840 --> 00:02:04.480]  求主你是幫助我們
[00:02:04.480 --> 00:02:06.800]  當我們打開主你的話語的時候
[00:02:06.800 --> 00:02:09.480]  我們真的存在著戰戰兢兢的心
[00:02:09.480 --> 00:02:14.680]  因為主你的話語是多麼的珍貴、多麼的浩瀚
[00:02:14.680 --> 00:02:17.000]  是永遠都不會改變
[00:02:17.000 --> 00:02:20.040]  我們求主你的靈就引導我們
[00:02:20.040 --> 00:02:24.400]  多謝你 聽我們祈禱 奉耶穌基督 聖名祈求
[00:02:24.400 --> 00:02:25.680]  亞門
[00:02:25.680 --> 00:02:28.040]  你一定有朋友
[00:02:28.040 --> 00:02:32.360]  但我不知道你有沒有資深的朋友呢?
[00:02:32.360 --> 00:02:37.040]  資深的朋友就是那些能夠跟你一起分享
[00:02:37.040 --> 00:02:41.360]  你有心事的時候你可以跟他們說
