
[00:00:00.000 --> 00:00:05.560]  今日我繼續同大家去講全道書
[00:00:05.560 --> 00:00:07.560]  當講到第十章的時候
[00:00:07.560 --> 00:00:09.560]  其實已經講了九章
[00:00:09.560 --> 00:00:15.560]  全卷全道書總共有十二章
[00:00:15.560 --> 00:00:20.560]  講了九章即是講了三分二卷書
[00:00:20.560 --> 00:00:24.560]  大家對全道書有什麼感想呢?
[00:00:24.560 --> 00:00:27.560]  我意思你會怎樣形容全道書呢?
[00:00:27.560 --> 00:00:32.560]  大家知道全道書是講什麼的嗎?
[00:00:32.560 --> 00:00:35.560]  很多人包括我自己以前也是
[00:00:35.560 --> 00:00:37.560]  一聽到全道書講什麼
[00:00:37.560 --> 00:00:41.560]  就會說空虛虛空的虛空
[00:00:41.560 --> 00:00:43.560]  即是什麼都是虛空
[00:00:43.560 --> 00:00:47.560]  無論你有智慧也好
[00:00:47.560 --> 00:00:51.560]  沒有智慧也好都一樣是虛空
[00:00:51.560 --> 00:00:55.560]  一種好像很消極的看法
[00:00:55.560 --> 00:01:01.560]  不知道有沒有這樣的看法
[00:01:01.560 --> 00:01:04.560]  的確是在頭三章的聖經裏面
[00:01:04.560 --> 00:01:08.560]  常常會提到說虛空的虛空
[00:01:08.560 --> 00:01:12.560]  亦都講各種的情況下都是虛空
[00:01:12.560 --> 00:01:16.560]  但是由第四章一路開始講下來的時候
[00:01:16.560 --> 00:01:20.560]  其實它是講很多在生活上
[00:01:20.560 --> 00:01:24.560]  很實際的處境或者人的遭遇
[00:01:24.560 --> 00:01:28.560]  來引伸它所講的虛空
[00:01:28.560 --> 00:01:30.560]  或者人生的意義
[00:01:30.560 --> 00:01:37.560]  其實是很實際的教訓
[00:01:37.560 --> 00:01:40.560]  現在在第十章
[00:01:40.560 --> 00:01:44.560]  正正就是傳道者去回答一個
[00:01:44.560 --> 00:01:46.560]  很實際的問題
[00:01:46.560 --> 00:01:51.560]  就是智慧究竟有什麼用?
[00:01:51.560 --> 00:01:57.560]  一路講先前說愚昧人又一樣
[00:01:57.560 --> 00:02:00.560]  或者甚至是愚昧人又享福
[00:02:00.560 --> 00:02:02.560]  愚昧人又享長壽
[00:02:02.560 --> 00:02:05.560]  而反而有智慧的人就不一定成功
[00:02:05.560 --> 00:02:10.560]  甚至是會被人不縱容、小看
[00:02:10.560 --> 00:02:14.560]  或者他們根本可能遭遇都不好
[00:02:14.560 --> 00:02:17.560]  那我們就問了
[00:02:17.560 --> 00:02:22.560]  既然是這樣,既然有沒有智慧都是這麼虛空
[00:02:22.560 --> 00:02:24.560]  那智慧有什麼用呢?
[00:02:24.560 --> 00:02:26.560]  我們還需不需要有智慧呢?
[00:02:26.560 --> 00:02:29.560]  我們需不需要尋求智慧呢?
[00:02:29.560 --> 00:02:33.560]  我們需不需要生活有智慧呢?
[00:02:33.560 --> 00:02:38.560]  答案當然是需要
[00:02:38.560 --> 00:02:43.560]  傳道者他在第十章這裡就教導我們
[00:02:43.560 --> 00:02:47.560]  用了很多的比喻處境來教導我們
[00:02:47.560 --> 00:02:53.560]  我們生活仍需要有智慧
[00:02:53.560 --> 00:02:57.560]  那我們今天就一起去學習這個題目
[00:02:57.560 --> 00:03:07.560]  為什麼我們需要在生活裡仍然要有智慧呢?
[00:03:07.560 --> 00:03:11.560]  我們看傳道書第十章一節
[00:03:11.560 --> 00:03:25.560]  「死蒼蠅使造香的膏油發出臭氣
[00:03:25.560 --> 00:03:30.560]  這樣一點愚昧也能敗壞智慧和尊榮」
[00:03:30.560 --> 00:03:38.560]  傳道者說幾隻死蒼蠅混在製造香膏的膏油裡
[00:03:38.560 --> 00:03:44.560]  就會令那些膏油發霉變臭
[00:03:44.560 --> 00:03:51.560]  破壞了那些香膏原本應該有的質素
[00:03:51.560 --> 00:03:54.560]  這樣就不可以再來製造香膏了
[00:03:54.560 --> 00:03:57.560]  就是沒用了
[00:03:57.560 --> 00:03:59.560]  同樣理由他說
[00:03:59.560 --> 00:04:01.560]  只要一點點的愚昧
[00:04:01.560 --> 00:04:04.560]  就是小小的愚昧行為
[00:04:04.560 --> 00:04:15.560]  就能夠影響破壞那些用很高的智慧和尊榮所能夠建立到的成就
