
[00:00:00.000 --> 00:00:03.700]  Thank you 每一位早晨
[00:00:03.700 --> 00:00:07.100]  上帝恩典豐富
[00:00:07.100 --> 00:00:10.400]  其實整卷的華馬書
[00:00:10.400 --> 00:00:12.600]  都是提醒我們
[00:00:12.600 --> 00:00:14.800]  上帝是白白的
[00:00:14.800 --> 00:00:17.200]  將恩典給過我們
[00:00:17.200 --> 00:00:20.800]  當我們領受了這一份的恩典
[00:00:20.800 --> 00:00:23.700]  我們可以好像剛才那首詩歌那樣說
[00:00:23.700 --> 00:00:25.300]  不用憂慮
[00:00:25.300 --> 00:00:28.300]  當我們領受了這一份的恩典
[00:00:28.300 --> 00:00:31.600]  我們曉得怎樣去回應
[00:00:31.600 --> 00:00:35.900]  所以今天就是定了一個這樣的講題
[00:00:35.900 --> 00:00:40.000]  去到華馬書的第十章
[00:00:40.000 --> 00:00:45.200]  就容讓我們透過保羅的教導
[00:00:45.200 --> 00:00:48.200]  再一次提醒我們
[00:00:48.200 --> 00:00:52.200]  我們能夠回應上帝的愛
[00:00:52.200 --> 00:00:53.900]  是一份的責任
[00:00:53.900 --> 00:00:55.600]  而這一份的責任
[00:00:55.600 --> 00:01:00.500]  是恩象 我們經歷了恩典
[00:01:00.500 --> 00:01:03.900]  在上星期我看報紙的時候
[00:01:03.900 --> 00:01:08.400]  看到一段新聞都令我挺深刻的印象
[00:01:08.400 --> 00:01:12.700]  就是說有一個31歲的年輕人
[00:01:12.700 --> 00:01:17.000]  他的工作是航空公司的地勤職員
[00:01:17.000 --> 00:01:22.400]  他的職責當然就是照顧乘客
[00:01:22.400 --> 00:01:28.800]  有一天他接到一個指令
[00:01:28.800 --> 00:01:32.700]  需要接待一個由澳洲飛到香港
[00:01:32.700 --> 00:01:34.400]  自己一個人飛的
[00:01:34.400 --> 00:01:36.100]  不過這個乘客有點特別
[00:01:36.100 --> 00:01:40.600]  因為他是唐氏綜合症患者
[00:01:40.600 --> 00:01:46.300]  他的責任就是要在機艙送到他過了關
[00:01:46.300 --> 00:01:54.200]  然後親手將這位乘客交給接機的親友
[00:01:54.200 --> 00:01:56.300]  不過很不幸
[00:01:56.300 --> 00:02:01.300]  當他帶著這個乘客到入境的櫃位
[00:02:01.300 --> 00:02:03.300]  我想大家坐飛機都知道
[00:02:03.300 --> 00:02:04.600]  很多人的
[00:02:04.600 --> 00:02:06.600]  結果就跟這個
[00:02:06.600 --> 00:02:12.100]  患有唐氏綜合症的乘客就失散了
[00:02:12.100 --> 00:02:14.200]  都挺大件事的
[00:02:14.200 --> 00:02:20.700]  當然就沒辦法將這個乘客交給接機的親友
[00:02:20.700 --> 00:02:23.800]  他就跟接機的那位親友說
