
[00:00:00.000 --> 00:00:03.340]  各位差餉節目,我們開始星期三的茶經
[00:00:03.340 --> 00:00:09.180]  今天我們開始看大衛進入人生的另一個階段
[00:00:09.180 --> 00:00:14.460]  因為上次我們看到蘇羅和約拿丹戰死沙場
[00:00:14.460 --> 00:00:17.460]  大衛應該可以做王
[00:00:17.460 --> 00:00:22.000]  如果你留意到由薩姆爾高立大衛
[00:00:22.000 --> 00:00:24.000]  到他能夠做王
[00:00:24.000 --> 00:00:26.440]  其實是經過很長的時間
[00:00:26.440 --> 00:00:31.080]  神的應許原來不是一下子可以對現到的
[00:00:31.080 --> 00:00:33.080]  有時候我們要耐心等候
[00:00:33.080 --> 00:00:35.720]  在這個過程上其實也不是沒有意思
[00:00:35.720 --> 00:00:38.120]  是給我們有很多的機會去學習
[00:00:38.120 --> 00:00:40.120]  所以在困難當中
[00:00:40.120 --> 00:00:42.120]  在得到神的應許底下
[00:00:42.120 --> 00:00:43.640]  我們要等候是不容易的
[00:00:43.640 --> 00:00:45.240]  但是要學習
[00:00:45.240 --> 00:00:50.280]  今天我們會開始看大衛來作王
[00:00:50.280 --> 00:00:53.080]  所以題目叫做《成王之道》
[00:00:53.080 --> 00:00:55.080]  上一次我們看到
[00:00:55.080 --> 00:00:58.600]  蘇羅和約拿丹戰死沙場
[00:00:58.600 --> 00:01:02.360]  很多人很自然的想著大衛會登基作王
[00:01:02.360 --> 00:01:04.840]  但這只是一半的事實
[00:01:04.840 --> 00:01:08.280]  因為原來蘇羅還有一個兒子
[00:01:08.280 --> 00:01:14.760]  後來蘇羅的元帥厄尼爾協天子以令諸侯
[00:01:14.760 --> 00:01:19.960]  所以分開南邊由大衛作王
[00:01:19.960 --> 00:01:23.160]  北邊仍然由蘇羅的兒子作王
[00:01:23.160 --> 00:01:26.040]  這是稍後我們會再看的
[00:01:26.040 --> 00:01:29.560]  我想作為基督徒我們對大衛的認識有多少呢?
[00:01:29.560 --> 00:01:33.400]  我想最多人熟悉的就是大衛殺死哥利亞
[00:01:33.400 --> 00:01:35.800]  但記住不是用石頭打死哥利亞
[00:01:35.800 --> 00:01:37.800]  是用刀殺死哥利亞
[00:01:37.800 --> 00:01:41.160]  然後他又怎樣忍辱負重
[00:01:41.160 --> 00:01:43.160]  被蘇羅追殺
[00:01:43.160 --> 00:01:45.160]  但是他不斷地逃亡
[00:01:45.160 --> 00:01:47.560]  終於大衛作王了
[00:01:47.560 --> 00:01:49.560]  基督徒更加熟悉的是什麼呢?
[00:01:49.560 --> 00:01:53.320]  就是大衛後來犯奸淫被神懲罰
[00:01:53.320 --> 00:01:55.320]  他的兒子背叛他
[00:01:55.320 --> 00:02:00.040]  這些事情我想我們很多人都會有一定的了解
[00:02:00.040 --> 00:02:04.440]  但是其他大衛生平裡面的一些片段
[00:02:04.440 --> 00:02:05.960]  有時候我們輕忽了
[00:02:05.960 --> 00:02:08.600]  就如我們曾經看過大衛因為要保護自己
[00:02:08.600 --> 00:02:11.080]  說謊去騙祭司
[00:02:11.080 --> 00:02:13.560]  害死幾百個祭司和他的家人
[00:02:13.560 --> 00:02:17.880]  但是我想說這些片段似乎很零碎
[00:02:17.880 --> 00:02:21.480]  表面沒有什麼很大的屬靈裡面的教導
[00:02:21.480 --> 00:02:23.480]  但是我仍然很相信
[00:02:23.480 --> 00:02:26.280]  神的話語一定有它自己的作用
[00:02:26.280 --> 00:02:28.280]  給我們有很多的提醒
[00:02:28.280 --> 00:02:30.280]  所以我們要好一點研讀
[00:02:30.280 --> 00:02:31.720]  我們絕對不能夠分量
[00:02:31.720 --> 00:02:33.240]  我個人來說
[00:02:33.240 --> 00:02:35.240]  我寧願徹徹底底跳到去說
[00:02:35.240 --> 00:02:37.240]  大衛怎樣犯奸淫
[00:02:37.240 --> 00:02:39.240]  怎樣被兒子李大衛去追殺
[00:02:39.240 --> 00:02:41.240]  但是我仍然有一個原則
[00:02:41.240 --> 00:02:44.760]  希望大家完整地去了解大衛
[00:02:44.760 --> 00:02:48.120]  所以我們會繼續去看下去
[00:02:48.120 --> 00:02:51.400]  這次我們就會看大衛能夠做王的時候
[00:02:51.400 --> 00:02:54.360]  他有什麼成功的因素呢
[00:02:54.360 --> 00:02:57.880]  第一點就是他會尋求指引
[00:02:57.880 --> 00:02:59.880]  當數羅被殺之後
[00:02:59.880 --> 00:03:03.320]  大衛的危機立刻解除
[00:03:03.320 --> 00:03:05.320]  不會再有人來追殺他
[00:03:05.320 --> 00:03:08.360]  他可以過一個很安穩的生活
[00:03:08.360 --> 00:03:11.880]  也可以進一步建立自己的王朝
[00:03:11.880 --> 00:03:13.880]  但是大衛是一個很精明的人
[00:03:13.880 --> 00:03:15.880]  數羅死了
[00:03:15.880 --> 00:03:19.240]  如果仍然留在菲律師地
[00:03:19.240 --> 00:03:23.000]  記住菲律師和希伯來民族
[00:03:23.000 --> 00:03:25.000]  不斷地有戰爭
[00:03:25.000 --> 00:03:27.000]  他一頭靠敵人
[00:03:27.000 --> 00:03:30.200]  如果繼續留在菲律師地的時候
[00:03:30.200 --> 00:03:32.680]  對他日後要做王
[00:03:32.680 --> 00:03:34.680]  是非常非常不利的
[00:03:34.680 --> 00:03:37.880]  因為肯定會被人質疑
[00:03:37.880 --> 00:03:39.880]  勾結外國勢力
[00:03:39.880 --> 00:03:42.680]  所以他就打算回歸
[00:03:42.680 --> 00:03:44.680]  當他要回歸的時候
[00:03:44.680 --> 00:03:46.680]  他先做一件事是什麼呢
[00:03:46.680 --> 00:03:48.680]  他是先去求問神
[00:03:48.680 --> 00:03:51.720]  他也有一個很特定的範圍
[00:03:51.720 --> 00:03:53.720]  求神來指引他
[00:03:53.720 --> 00:03:55.720]  神我給你一個大的範圍
[00:03:55.720 --> 00:03:57.720]  那你可不可以清晰一點
[00:03:57.720 --> 00:03:59.720]  讓我看到我應該去哪裏呢
[00:03:59.720 --> 00:04:01.720]  我們看看撒布爾記下
[00:04:01.720 --> 00:04:03.720]  第二章的第一節
[00:04:03.720 --> 00:04:06.680]  此後大衛問耶和華說
[00:04:06.680 --> 00:04:09.480]  我想由大這一個城去可以嗎
[00:04:09.480 --> 00:04:11.480]  耶和華說可以
[00:04:11.480 --> 00:04:13.480]  耶和華說我想哪一個城去
[00:04:13.480 --> 00:04:15.480]  耶和華說想希伯倫去
[00:04:15.480 --> 00:04:17.480]  你有沒有來到大衛問神
[00:04:17.480 --> 00:04:19.480]  我可不可以上郵帶
[00:04:19.480 --> 00:04:21.480]  郵帶一個較大的地方
[00:04:21.480 --> 00:04:23.480]  其中一個城在哪裏呢
[00:04:23.480 --> 00:04:25.480]  我去英國
[00:04:25.480 --> 00:04:27.480]  那究竟我是去波斯馬克
[00:04:27.480 --> 00:04:29.480]  還是去伯明翰
[00:04:29.480 --> 00:04:31.480]  還是去愛丁堡
[00:04:31.480 --> 00:04:33.480]  英國很大
[00:04:33.480 --> 00:04:35.480]  但是我想去哪一個城市呢
[00:04:35.480 --> 00:04:37.480]  他就問我可不可以先去英國
[00:04:37.480 --> 00:04:39.480]  我可不可以上郵帶一個城
[00:04:39.480 --> 00:04:41.480]  我說可以 你可以去吧
[00:04:41.480 --> 00:04:43.480]  那為何他要這樣問呢
[00:04:43.480 --> 00:04:45.480]  因為記不記得
[00:04:45.480 --> 00:04:47.480]  我們有看到大衛
[00:04:47.480 --> 00:04:49.480]  很擅長的政治手腕
[00:04:49.480 --> 00:04:51.480]  他已經和郵帶的長老
[00:04:51.480 --> 00:04:53.480]  有很好的關係
[00:04:53.480 --> 00:04:55.480]  記不記得
[00:04:55.480 --> 00:04:57.480]  我們看逆戰的時候
[00:04:57.480 --> 00:04:59.480]  大衛殺了很多
[00:04:59.480 --> 00:05:01.480]  一些菲律師的好友
[00:05:01.480 --> 00:05:03.480]  但他竟然要趕盡殺絕
[00:05:03.480 --> 00:05:05.480]  將那些男女老幼
[00:05:05.480 --> 00:05:07.480]  全部殺光
[00:05:07.480 --> 00:05:09.480]  不留一個活口
[00:05:09.480 --> 00:05:11.480]  然後他拿了一些禮物
[00:05:11.480 --> 00:05:13.480]  去給郵帶的長老
[00:05:13.480 --> 00:05:15.480]  所以他一定
[00:05:15.480 --> 00:05:17.480]  已經建立好那個人際關係
[00:05:17.480 --> 00:05:19.480]  還有不要忘記
[00:05:19.480 --> 00:05:21.480]  郵帶是什麼呢
[00:05:21.480 --> 00:05:23.480]  是他自己出生的地方
