
[00:00:00.000 --> 00:00:02.520]  好 今天我會繼續跟各位來講
[00:00:02.520 --> 00:00:06.000]  我上個月在如果你們還記得的話
[00:00:06.000 --> 00:00:08.880]  我們用了以色亞書的四十三章
[00:00:08.880 --> 00:00:12.640]  我的題目就是我真懂得專精神嗎
[00:00:12.640 --> 00:00:15.200]  上次我講到其中一個的一部分
[00:00:15.200 --> 00:00:18.440]  今天盼望能夠跟各位再繼續
[00:00:18.440 --> 00:00:21.080]  在以色亞書的四十三章裡面
[00:00:21.080 --> 00:00:26.440]  我們來反思我們自己是不是一個懂得專精神的人
[00:00:26.440 --> 00:00:28.960]  特別我們是從神的選民
[00:00:28.960 --> 00:00:30.600]  以色列人是神的選民
[00:00:30.600 --> 00:00:32.160]  他們作為神的子民
[00:00:32.160 --> 00:00:38.640]  他們到底是一個怎麼樣對神有多少的專精
[00:00:38.640 --> 00:00:40.800]  所以我們今天盼望繼續從
[00:00:40.800 --> 00:00:44.840]  以色亞書四十三章裡面來看
[00:00:44.840 --> 00:00:47.400]  我很快跟各位來複習一下
[00:00:47.400 --> 00:00:52.280]  這段的經文在當中
[00:00:52.280 --> 00:00:55.240]  好
[00:00:55.240 --> 00:00:57.840]  這個是我們的經文
[00:00:57.840 --> 00:01:01.120]  大概是講到耶和華
[00:01:01.120 --> 00:01:02.920]  我其中有幾個重點
[00:01:02.920 --> 00:01:11.400]  我想跟各位來看一下
[00:01:11.400 --> 00:01:14.760]  先知在宣告的時候有兩個場景
[00:01:14.760 --> 00:01:16.440]  我不曉得你還記得多少
[00:01:16.440 --> 00:01:22.120]  第一個是講到耶和華神是一位怎麼樣的神
[00:01:22.120 --> 00:01:28.520]  祂是我們的創造主跟我們的救贖主
[00:01:28.520 --> 00:01:31.080]  這也是我們在上次有講到的
[00:01:31.080 --> 00:01:33.720]  這是兩個場景當中的第一個場景
[00:01:33.720 --> 00:01:35.880]  我們要記得以色亞先知
[00:01:35.880 --> 00:01:39.640]  祂常常在以色亞書裡面所講到的
[00:01:39.640 --> 00:01:41.400]  是提醒一些的人
[00:01:41.400 --> 00:01:45.880]  他們要記得神是我們的創造主
[00:01:45.880 --> 00:01:48.240]  神也是我們的救贖主
[00:01:48.240 --> 00:01:52.600]  所以這個是以色亞書裡面四十三章再講
[00:01:52.600 --> 00:01:56.200]  其實從整卷的以色亞書裡面是講到
[00:01:56.200 --> 00:01:59.520]  神就是創造主救贖主
[00:01:59.520 --> 00:02:02.160]  所以我們要記得的
[00:02:02.160 --> 00:02:04.120]  所以這個就是我們上次有講到的
[00:02:04.120 --> 00:02:07.200]  另外第二個場景就是講到
[00:02:07.200 --> 00:02:10.440]  以色列人他們對神那種態度
[00:02:10.440 --> 00:02:14.400]  所以神要他們記得到最後的時候
[00:02:14.400 --> 00:02:15.920]  有點像我們說
[00:02:15.920 --> 00:02:18.840]  你看電影也好看電視劇也好
[00:02:18.840 --> 00:02:21.920]  就是很喜歡講到一句法庭界
[00:02:21.920 --> 00:02:23.920]  就是那個事情解決不了了
[00:02:23.920 --> 00:02:28.040]  那我們就在法庭找律師來
[00:02:28.040 --> 00:02:33.000]  大家在公堂上來在辯論
[00:02:33.000 --> 00:02:38.720]  所以在以色亞先知警告這群的以色列人的時候
[00:02:38.720 --> 00:02:40.560]  他真的是用很嚴厲的
[00:02:40.560 --> 00:02:42.640]  就是說如果到最後的時候
[00:02:42.640 --> 00:02:45.000]  你可以好像到法庭裡面
[00:02:45.000 --> 00:02:48.240]  來跟神做一個申訴
[00:02:48.240 --> 00:02:52.000]  你覺得你好像有道理的話
[00:02:52.000 --> 00:02:54.400]  你來我們來做一個辯論
[00:02:54.400 --> 00:02:55.160]  做一個見證
[00:02:55.160 --> 00:02:57.760]  這其實是法庭上的用詞
[00:02:57.760 --> 00:03:00.040]  這個無論是辯論見證的時候
[00:03:00.040 --> 00:03:03.120]  都是講到法庭上那個用詞
[00:03:03.120 --> 00:03:07.400]  所以這個是神可以讓每一個人來到祂的面前
[00:03:07.400 --> 00:03:09.200]  如果你覺得不服氣的話
[00:03:09.200 --> 00:03:11.800]  好像是神有點冤枉你
[00:03:11.800 --> 00:03:15.960]  還是對你的那個不講道理的話
[00:03:15.960 --> 00:03:17.600]  那神就說我們在法庭間
[00:03:17.600 --> 00:03:20.840]  我們來看看誰是更有理
[00:03:20.840 --> 00:03:27.240]  誰才是那個真的是在正確的那一方
[00:03:27.240 --> 00:03:29.520]  所以神是邀請人來
[00:03:29.520 --> 00:03:31.200]  所以這是兩個場景
[00:03:31.200 --> 00:03:36.800]  就是說我們要記得神就是那位創造主跟救贖主
[00:03:36.800 --> 00:03:39.680]  如果我們真的覺得不服氣的話
[00:03:39.680 --> 00:03:40.960]  神就說你來
[00:03:40.960 --> 00:03:44.080]  我們其實在法庭間
[00:03:44.080 --> 00:03:45.880]  我不曉得你回家以後
[00:03:45.880 --> 00:03:47.160]  上個月講完以後
[00:03:47.160 --> 00:03:49.840]  你覺得你真懂得專精神嗎
[00:03:49.840 --> 00:03:52.720]  你有問過你自己這個問題嗎
[00:03:52.720 --> 00:03:54.080]  這個不用舉手了
[00:03:54.080 --> 00:04:00.160]  我們還是會希望記得我們的神是創造主救贖主
[00:04:00.160 --> 00:04:04.120]  更是我們要知道我們每一個基督徒
[00:04:04.120 --> 00:04:06.160]  以前是以色列人猶太人
[00:04:06.160 --> 00:04:08.160]  他們都是神的選民
[00:04:08.160 --> 00:04:12.280]  我們都應該就是一個認識神的選民
[00:04:12.280 --> 00:04:17.960]  這是我們應該有的一個知道我們的認識
[00:04:17.960 --> 00:04:21.680]  但這些選民的那個狀態是怎麼樣的
[00:04:21.680 --> 00:04:23.200]  這個是很特別的
[00:04:23.200 --> 00:04:25.680]  我們上次說以色列人說
[00:04:25.680 --> 00:04:32.240]  如果我們問我到底是不是一個專精神的人
[00:04:32.240 --> 00:04:39.040]  但我們就會問誰比人更懂得專精神
[00:04:39.040 --> 00:04:42.760]  以色列說四三章二十到二十三節就說
[00:04:42.760 --> 00:04:50.000]  野地的九獸、野狗、鴕鳥比他們懂得專精神
[00:04:50.000 --> 00:04:52.400]  但反而是什麼
[00:04:52.400 --> 00:04:55.000]  是神的選民、神的子民
[00:04:55.000 --> 00:05:02.800]  他們沒有野獸他們更懂得專精神
[00:05:02.800 --> 00:05:04.120]  他們不會
[00:05:04.120 --> 00:05:05.800]  他們也是不會
[00:05:05.800 --> 00:05:06.960]  他們不懂
[00:05:06.960 --> 00:05:08.840]  他們也沒有做
[00:05:08.840 --> 00:05:11.560]  他們本來應該是認識神的選民
[00:05:11.560 --> 00:05:14.760]  但他們拒絕認識神
[00:05:14.760 --> 00:05:17.200]  到一個毫不專精神
[00:05:17.200 --> 00:05:20.160]  反而是說我們說野獸他們是怎麼樣
[00:05:20.160 --> 00:05:23.200]  他們得到水喝的時候
[00:05:23.200 --> 00:05:26.160]  其實這個水不是為野獸來準備的
[00:05:26.160 --> 00:05:27.520]  是為誰
[00:05:27.520 --> 00:05:28.640]  是為神的選民
[00:05:28.640 --> 00:05:31.000]  這裡講的是為神的選民喝
