
[00:00:00.000 --> 00:00:02.400]  在基督教的傳統裏面
[00:00:02.400 --> 00:00:05.700]  兩邊的傳統
[00:00:05.700 --> 00:00:07.580]  上上頂頂是很掙扎的
[00:00:07.580 --> 00:00:08.700]  一邊的傳統
[00:00:08.700 --> 00:00:11.140]  就要講到我們生命很刻苦的
[00:00:11.140 --> 00:00:12.220]  很刻己的
[00:00:12.220 --> 00:00:13.620]  於是會引用很多不同的聖經
[00:00:13.620 --> 00:00:15.100]  攻克己身 以身伏我
[00:00:15.100 --> 00:00:17.180]  於是最重要的是骯髒亂七八糟
[00:00:17.180 --> 00:00:18.440]  不骯髒亂七八糟
[00:00:18.440 --> 00:00:20.400]  不過就想起了信耶穌
[00:00:20.400 --> 00:00:24.000]  又穿得又夠老土又夠奪
[00:00:24.000 --> 00:00:25.980]  又沒有光彩
[00:00:25.980 --> 00:00:27.840]  很苦纔好像是信耶穌
[00:00:27.840 --> 00:00:29.980]  有一段時間有這些傳統
[00:00:29.980 --> 00:00:31.760]  特別顯眼的
[00:00:31.760 --> 00:00:33.440]  也有時有另一邊的傳統
[00:00:33.440 --> 00:00:35.680]  真的
[00:00:35.680 --> 00:00:36.980]  也被人詬病的
[00:00:36.980 --> 00:00:38.720]  只是講到信耶穌有豐盛
[00:00:38.720 --> 00:00:40.280]  豐盛不是講生命內裏的
[00:00:40.280 --> 00:00:41.960]  是講到怎麼升職
[00:00:41.960 --> 00:00:42.680]  怎麼發達
[00:00:42.680 --> 00:00:43.460]  怎麼有錢
[00:00:43.460 --> 00:00:44.700]  怎麼身光頸靚
[00:00:44.700 --> 00:00:46.300]  好像反過來兩邊
[00:00:46.300 --> 00:00:48.700]  都不知道哪一邊纔是信耶穌
[00:00:48.700 --> 00:00:49.440]  你明白嗎
[00:00:49.440 --> 00:00:50.420]  好像很掙扎的
[00:00:50.420 --> 00:00:51.880]  但反過來一樣東西
[00:00:51.880 --> 00:00:54.380]  讓我們去留意
[00:00:54.380 --> 00:00:57.360]  神似百物各樣做出來
[00:00:57.360 --> 00:00:58.700]  各按其事也好
[00:00:58.700 --> 00:00:59.960]  各樣百物也好
[00:00:59.960 --> 00:01:02.520]  都讓我們去管理
[00:01:02.520 --> 00:01:05.340]  創造的目的是讓我們好好管理
[00:01:05.340 --> 00:01:06.580]  在地上的生活裏面
[00:01:06.580 --> 00:01:07.760]  有勞苦的
[00:01:07.760 --> 00:01:09.140]  有開心的
[00:01:09.140 --> 00:01:11.480]  按照我們看全道村的教導裏面
[00:01:11.480 --> 00:01:12.880]  在各按其事裏面
[00:01:12.880 --> 00:01:13.500]  人在其中
[00:01:13.500 --> 00:01:14.300]  我們要學得
[00:01:14.300 --> 00:01:15.140]  一
[00:01:15.140 --> 00:01:16.140]  有老公的
[00:01:16.140 --> 00:01:17.740]  懂得與妻子一同快活
[00:01:17.740 --> 00:01:19.220]  重視你家裏
