
[00:00:00.000 --> 00:00:05.860]  今天我們的題目是耶穌是生命的泉水
[00:00:05.860 --> 00:00:11.460]  所以如果大家在教會上有些日子
[00:00:11.460 --> 00:00:14.140]  對這個題目是應該不陌生的
[00:00:14.140 --> 00:00:16.800]  有沒有新朋友其實是沒有聽過這個故事的
[00:00:16.800 --> 00:00:17.840]  先握握手
[00:00:17.840 --> 00:00:19.040]  沒有的話我就放心了
[00:00:19.040 --> 00:00:21.600]  跟教友說請你綁好安全帶
[00:00:21.600 --> 00:00:23.380]  我就直接去了
[00:00:23.380 --> 00:00:25.200]  大家很熟的 為什麼很熟呢
[00:00:25.200 --> 00:00:28.720]  因為你看到大部份如果我們講敬拜的
[00:00:28.720 --> 00:00:30.720]  這段經文是常常會用的
[00:00:30.720 --> 00:00:33.000]  因為很出色的金句是什麼
[00:00:33.000 --> 00:00:36.520]  我們敬拜父的是要用心靈和誠實
[00:00:36.520 --> 00:00:38.080]  都是來自這段經文的
[00:00:38.080 --> 00:00:44.700]  第二 因為耶穌活生生釘滿了傳福音的過程
[00:00:44.700 --> 00:00:46.260]  非常成功
[00:00:46.260 --> 00:00:48.820]  所以我們很多時候都會用這段經文
[00:00:48.820 --> 00:00:51.920]  來教導我們怎樣去傳福音
[00:00:51.920 --> 00:00:55.020]  今天在認識基督的題目裏面
[00:00:55.020 --> 00:00:57.900]  反而我想從另一個角度去看這段經文
[00:00:57.900 --> 00:01:00.740]  就是說究竟我們看看這個女人
[00:01:00.740 --> 00:01:03.240]  究竟她是經歷過什麼心路歷程
[00:01:03.240 --> 00:01:09.040]  以致她願意來開放自己來認識耶穌
[00:01:09.040 --> 00:01:10.160]  為什麼這樣說呢
[00:01:10.160 --> 00:01:13.320]  因為事實上撒瑪利亞人信主
[00:01:13.320 --> 00:01:15.500]  是一件不是那麼簡單的事
[00:01:15.500 --> 00:01:19.400]  我們經常以為說耶穌信主就很正常
[00:01:19.400 --> 00:01:22.400]  這個是當時以色列的地圖
[00:01:22.400 --> 00:01:26.720]  其實以色列是在羅馬的統治裏面
[00:01:26.720 --> 00:01:28.700]  而撒瑪利亞這個地方
[00:01:28.700 --> 00:01:33.200]  只是羅馬將以色列分了不同的省份來管理
[00:01:33.200 --> 00:01:34.520]  其中一個
[00:01:34.520 --> 00:01:37.580]  你見到其實總共總共是有六個的
[00:01:37.580 --> 00:01:38.660]  那就有個關子了
[00:01:38.660 --> 00:01:41.240]  知道這些事一定要讀基督修行
[00:01:41.240 --> 00:01:43.680]  而撒瑪利亞人是什麼人來的呢
[00:01:43.680 --> 00:01:48.080]  為什麼約翰那麼刻意將這段經文記載下來
[00:01:48.080 --> 00:01:50.020]  對我們有什麼提醒呢
[00:01:50.020 --> 00:01:54.460]  撒瑪利亞人如果用現在的說話操作那些感覺
[00:01:54.460 --> 00:01:57.580]  我們叫他們做是習種的
[00:01:57.580 --> 00:01:58.620]  你明白我的意思嗎
[00:01:58.620 --> 00:02:01.020]  以前的年代就不同現在的
[00:02:01.020 --> 00:02:02.680]  現在我們說mixed(混合)
[00:02:02.680 --> 00:02:03.380]  是什麽呢
[00:02:03.380 --> 00:02:04.900]  嘩 很漂亮 是不是
[00:02:04.900 --> 00:02:08.360]  嘩 中國人和印度人這樣結婚
[00:02:08.360 --> 00:02:09.860]  生了小朋友都是
[00:02:09.860 --> 00:02:11.760]  輪廓都是怎樣
[00:02:11.760 --> 00:02:13.760]  漂亮一點 鼻又高一點
[00:02:13.760 --> 00:02:15.140]  我們現在會這樣看
[00:02:15.140 --> 00:02:17.980]  但是其實在我很小的時候都不是這樣看的
[00:02:17.980 --> 00:02:20.180]  他們覺得是純種
[00:02:20.180 --> 00:02:22.660]  才是怎樣的 重要的
[00:02:22.660 --> 00:02:24.760]  所以特別是在猶太人來講
[00:02:24.760 --> 00:02:26.200]  是更加的嚴重
[00:02:26.200 --> 00:02:29.000]  因為猶太民族一直自居是什麽
[00:02:29.000 --> 00:02:30.740]  上帝的選民
[00:02:30.740 --> 00:02:35.460]  所以他們純血統是很重要的
[00:02:35.460 --> 00:02:38.020]  而撒瑪利亞這群是什麼人來的呢
[00:02:38.020 --> 00:02:40.800]  這群人就是當時在北國
[00:02:40.800 --> 00:02:42.960]  意思是分了南北國的時代
[00:02:42.960 --> 00:02:44.200]  昨天如果有來聽
[00:02:44.200 --> 00:02:45.720]  高明謙博士就知道了
[00:02:45.720 --> 00:02:47.240]  他們是被擄
[00:02:47.240 --> 00:02:50.220]  於是好像澹爾利我們聽的那些故事
[00:02:50.220 --> 00:02:53.000]  很聰明的那一群人就被擄去亞述國了
[00:02:53.000 --> 00:02:55.700]  但是同時也因為這樣的緣故
[00:02:55.700 --> 00:03:01.500]  將一些外邦的人也擺在這個地區居住
[00:03:01.500 --> 00:03:07.040]  因此留下來的猶太人就開始出現了Mixer
[00:03:07.040 --> 00:03:09.740]  就和一些外邦的人結婚
[00:03:09.740 --> 00:03:14.400]  就生了這些所謂的雜種的下一代了
[00:03:14.400 --> 00:03:19.100]  而這一群人 猶太人是很鄙視的
[00:03:19.100 --> 00:03:23.940]  他們完全不會接受他們是叫做猶太人的
[00:03:23.940 --> 00:03:27.660]  也因為有這樣的民族性的敵視
[00:03:27.660 --> 00:03:30.240]  本身是撒瑪利亞人的時候
[00:03:30.240 --> 00:03:33.340]  他們的心裡都是不好受的
[00:03:33.340 --> 00:03:36.120]  都會知道他們是被摒棄的
[00:03:36.120 --> 00:03:38.180]  所以一直在他們內部來說他們是不理的
[00:03:38.180 --> 00:03:40.900]  他們都自稱自己是什麼人
[00:03:40.900 --> 00:03:42.160]  是上帝的子民來的
[00:03:42.160 --> 00:03:44.900]  他們都很堅持去守律法
[00:03:44.900 --> 00:03:49.440]  他們沒有被歡迎到耶路撒冷去敬拜主教的時候
[00:03:49.440 --> 00:03:52.420]  他們就自己建立一個敬拜的中心
[00:03:52.420 --> 00:03:57.160]  所以在當時耶穌和撒瑪利亞的女人談到
[00:03:57.160 --> 00:03:59.000]  是一件不尋常的事
[00:03:59.000 --> 00:04:00.420]  甚至我們知道
[00:04:00.420 --> 00:04:03.680]  如果我們說猶太地在下面這個省份
[00:04:03.680 --> 00:04:06.080]  我們要去到上面的加利利
[00:04:06.080 --> 00:04:09.820]  大部分的猶太人是會走這條曲線的地方的
[00:04:09.820 --> 00:04:12.880]  就是說他們寧願繞路
[00:04:12.880 --> 00:04:17.120]  他們都不會踩去這個撒瑪利亞的地區的
[00:04:17.120 --> 00:04:20.920]  因為他們覺得那裡是一個不潔的地方來的
[00:04:20.920 --> 00:04:23.200]  也都不會和那些人交談的
[00:04:23.200 --> 00:04:24.480]  因此你就發現
[00:04:24.480 --> 00:04:30.700]  耶穌這次無端端竟然採取一條猶太人不會走的路
[00:04:30.700 --> 00:04:34.900]  而且走到這個省份的中心的地方叫敘迦
[00:04:34.900 --> 00:04:38.080]  才和這個女人去相遇
