
[00:00:00.000 --> 00:00:02.820]  今日同大家分享嘅一個題目就係
[00:00:02.820 --> 00:00:05.680]  喺金錢世界中嘅真富足
[00:00:05.680 --> 00:00:10.260]  喺金錢世界中嘅真富足
[00:00:10.260 --> 00:00:12.560]  喺我哋每天嘅生活度裏面
[00:00:12.560 --> 00:00:14.120]  我哋都感受到
[00:00:14.120 --> 00:00:17.240]  數字喺我哋面前跳嚟跳去
[00:00:17.240 --> 00:00:20.760]  喺我哋瞓醒覺打開電視機
[00:00:20.760 --> 00:00:22.540]  咁我哋就會聽到
[00:00:22.540 --> 00:00:25.600]  今日嗰個嘅財經走勢係點樣啦
[00:00:25.600 --> 00:00:29.420]  同埋呢就係我哋未瞓醒覺
[00:00:29.420 --> 00:00:32.960]  喺睡夢中好夢正陷嘅時候
[00:00:32.960 --> 00:00:37.980]  都有人同我哋睇住整個嘅經濟嘅走勢
[00:00:37.980 --> 00:00:40.440]  幫我哋賺幾多錢
[00:00:40.440 --> 00:00:43.020]  或者係不幸地蝕幾多錢
[00:00:43.020 --> 00:00:46.000]  我哋心裏面心大心細
[00:00:46.000 --> 00:00:48.240]  可能我哋半夜都要走起嚟
[00:00:48.240 --> 00:00:50.680]  打開電腦打開電視機嚟去睇
[00:00:50.680 --> 00:00:52.680]  或者我哋收到電話
[00:00:52.680 --> 00:00:54.680]  先生小姐
[00:00:54.680 --> 00:00:57.020]  你係我哋特選嘅客戶嚟㗎
[00:00:57.020 --> 00:01:01.820]  咁我哋好喜歡你去為你提供備用金
[00:01:01.820 --> 00:01:04.360]  好購物或者好投資
[00:01:04.360 --> 00:01:05.880]  咁我收到電話就係
[00:01:05.880 --> 00:01:08.960]  先生你係我哋特別選嘅客戶
[00:01:08.960 --> 00:01:12.340]  可以提供你20萬畀你做備用金
[00:01:12.340 --> 00:01:13.680]  咁我諗就係
[00:01:13.680 --> 00:01:15.020]  我係牧師嚟㗎
[00:01:15.020 --> 00:01:17.020]  你咁都信得我嗰20萬咁樣
[00:01:17.020 --> 00:01:19.020]  有冇得還呢
[00:01:19.020 --> 00:01:20.780]  但係個世界就係咁樣
[00:01:20.780 --> 00:01:22.780]  我哋香港嘅情況就係咁樣
[00:01:22.780 --> 00:01:25.520]  或者我哋熟悉嘅一句說話
[00:01:25.520 --> 00:01:27.520]  就係
[00:01:27.520 --> 00:01:29.520]  金錢唔係萬能嘅
[00:01:29.520 --> 00:01:32.260]  但係冇錢就萬萬不能
[00:01:32.260 --> 00:01:34.260]  有新版本啦
[00:01:34.260 --> 00:01:36.260]  有咩新版本啦
[00:01:36.260 --> 00:01:38.260]  個新版本係咁嘅嘅
[00:01:38.260 --> 00:01:41.520]  金錢唔能夠為你達成理想嘅
[00:01:41.520 --> 00:01:45.520]  但係金錢有助你達成理想
[00:01:45.520 --> 00:01:47.520]  明唔明嘅意思呀
[00:01:47.520 --> 00:01:50.520]  即使話你都係要錢㗎其實
[00:01:50.520 --> 00:01:53.520]  你都係一樣係要錢
[00:01:53.520 --> 00:01:56.520]  越多越好因為幫助你嘅生活
[00:01:56.520 --> 00:01:58.520]  達成你嘅理想尤其是
[00:01:58.520 --> 00:02:00.520]  小朋友走曬我見到有一兩個
[00:02:00.520 --> 00:02:02.520]  父母咁樣
[00:02:02.520 --> 00:02:04.520]  你都會為佢諗下
[00:02:04.520 --> 00:02:06.520]  多賺金錢多積蓄金錢
[00:02:06.520 --> 00:02:09.520]  等佢能夠係有理想
[00:02:09.520 --> 00:02:11.520]  但係呢度
[00:02:11.520 --> 00:02:13.520]  我哋細想一下
[00:02:13.520 --> 00:02:15.520]  金錢
[00:02:15.520 --> 00:02:19.520]  富足
[00:02:19.520 --> 00:02:21.520]  聖經點樣提醒我哋呢
[00:02:23.520 --> 00:02:26.520]  係金錢世界中嘅真富足
[00:02:26.520 --> 00:02:28.520]  而我哋讀經文
[00:02:28.520 --> 00:02:32.520]  記載係雅各書第五章一至六節
[00:02:32.520 --> 00:02:34.520]  我哋一齊讀預備請
[00:02:34.520 --> 00:02:35.520]  開
[00:02:35.520 --> 00:02:37.520]  你們這些富足人呀
[00:02:37.520 --> 00:02:40.520]  應當哭泣浩濤
[00:02:40.520 --> 00:02:43.520]  因為將有苦難淋到你們身上
[00:02:43.520 --> 00:02:45.520]  你們的財物壞了
[00:02:45.520 --> 00:02:48.520]  衣服也被蟲子咬了
[00:02:48.520 --> 00:02:50.520]  你們的金銀都漲了售
[00:02:50.520 --> 00:02:53.520]  那售要證明你們的骨仕
[00:02:53.520 --> 00:02:55.520]  又要吃你們的肉
[00:02:55.520 --> 00:02:56.520]  如同火燒
[00:02:56.520 --> 00:02:58.520]  你們在這末世
[00:02:58.520 --> 00:03:00.520]  只知積賺錢財
[00:03:00.520 --> 00:03:03.520]  工人給你們收割莊稼
[00:03:03.520 --> 00:03:06.520]  你們虧欠他們的工錢
[00:03:06.520 --> 00:03:08.520]  這工錢有聲音呼叫
[00:03:08.520 --> 00:03:11.520]  並且那收割之人的冤性
[00:03:11.520 --> 00:03:14.520]  已經入了萬軍之主的意料
[00:03:14.520 --> 00:03:17.520]  你們在世上響美風
[00:03:17.520 --> 00:03:20.520]  浩然樂當宰殺的日子
[00:03:20.520 --> 00:03:22.520]  竟驕養你們的心
[00:03:22.520 --> 00:03:24.520]  你們定了二人的罪
[00:03:24.520 --> 00:03:26.520]  把他殺害
[00:03:26.520 --> 00:03:28.520]  也不抵擋你們
[00:03:28.520 --> 00:03:31.520]  第四節最後那句
[00:03:31.520 --> 00:03:35.520]  已經入了萬軍之主的意料
[00:03:35.520 --> 00:03:37.520]  萬軍之主
[00:03:37.520 --> 00:03:39.520]  萬軍之謠話
[00:03:39.520 --> 00:03:42.520]  依據的稱呼在舊聖經裏
[00:03:42.520 --> 00:03:45.520]  常常用來審判
[00:03:45.520 --> 00:03:48.520]  當時以色列的國民
[00:03:48.520 --> 00:03:51.520]  常常用來審判當時的君王
[00:03:51.520 --> 00:03:53.520]  今日這句說話
[00:03:53.520 --> 00:03:57.520]  雅各用來提醒弟兄姊妹
[00:03:57.520 --> 00:03:59.520]  你們所做的
[00:03:59.520 --> 00:04:04.520]  已經是入了萬軍之主的意料
[00:04:04.520 --> 00:04:06.520]  先知的警號
[00:04:06.520 --> 00:04:09.520]  我們說先知的警號
[00:04:09.520 --> 00:04:11.520]  今日響起了
[00:04:11.520 --> 00:04:13.520]  當我們看到這個符號的時候
[00:04:13.520 --> 00:04:15.520]  或者這幅圖畫
[00:04:15.520 --> 00:04:16.520]  我們很熟悉的
[00:04:16.520 --> 00:04:19.520]  因為每一天都有上有落的
[00:04:19.520 --> 00:04:25.520]  都是關乎我們生活的每一個細節
