
[00:00:00.000 --> 00:00:02.000]  頂子妹,主佑平安!
[00:00:02.000 --> 00:00:06.500]  我曾經聽過一個小小的故事,想和大家分享
[00:00:06.500 --> 00:00:11.300]  有一個農夫,他是靠賣禽畜來維生
[00:00:11.300 --> 00:00:14.800]  但是有一段日子,他的生意都不是很好
[00:00:14.800 --> 00:00:16.800]  都不是很賣得出他的禽畜
[00:00:16.800 --> 00:00:21.600]  無論他減價也好,或者他轉換一些擺賣的地方也好
[00:00:21.600 --> 00:00:23.100]  都沒有什麼起色
[00:00:23.100 --> 00:00:25.800]  於是乎呢,他就來到神的面前
[00:00:25.800 --> 00:00:27.800]  向神祈禱,他這樣說
[00:00:27.800 --> 00:00:32.300]  他說如果我能夠將我的雞和我的牛都賣得出的時候
[00:00:32.300 --> 00:00:37.800]  我就將賣牛的金錢,全部來奉獻給神的家
[00:00:37.800 --> 00:00:42.300]  於是他就到街市裡面去擺賣
[00:00:42.300 --> 00:00:44.800]  他的標價就很特別
[00:00:44.800 --> 00:00:48.300]  他的標價,雞是200元一隻
[00:00:48.300 --> 00:00:50.300]  牛是1元一隻
[00:00:50.300 --> 00:00:53.800]  條件是要雞和牛一起來賣
[00:00:53.800 --> 00:00:55.800]  有一個客人經過的時候就覺得很奇怪
[00:00:55.800 --> 00:00:57.300]  為什麼這樣標價呢?
[00:00:57.300 --> 00:01:03.300]  不過都覺得201元能夠買到一隻牛加一隻雞都很便宜
[00:01:03.300 --> 00:01:05.800]  於是乎他就去買了下來
[00:01:05.800 --> 00:01:09.300]  之後農夫就去履行他的承諾
[00:01:09.300 --> 00:01:13.300]  將賣牛的金錢來奉獻給神的家
[00:01:13.300 --> 00:01:15.300]  結果他奉獻了多少錢呢?
[00:01:15.300 --> 00:01:20.800]  一個小小的令人會心微笑的故事
[00:01:20.800 --> 00:01:22.300]  有時候都提醒我們
[00:01:22.300 --> 00:01:27.300]  或者我們都值得去檢視一下我們奉獻的時候
[00:01:27.300 --> 00:01:30.300]  究竟我們的心態是怎樣的呢?
[00:01:30.300 --> 00:01:35.800]  今天我們繼續來到一同去思想生命記的訊息
[00:01:35.800 --> 00:01:37.800]  今天我們來到第十四章
[00:01:37.800 --> 00:01:42.800]  我們會一起去思想一下奉獻這個題目
[00:01:42.800 --> 00:01:48.800]  究竟摩西在奉獻這個題目上面對神的子民有什麼的叮嚀
[00:01:48.800 --> 00:01:51.800]  究竟奉獻的意義是什麼呢?
[00:01:51.800 --> 00:01:56.800]  究竟神的子民應該在自己奉獻的操練上面
[00:01:56.800 --> 00:01:59.300]  期望自己有什麼的長進呢?
[00:01:59.300 --> 00:02:02.300]  首先請聽我去讀出今天的經文
[00:02:02.300 --> 00:02:06.800]  在生命記十四章二十二至二十九節
[00:02:22.300 --> 00:02:25.800]  就是祂選擇要立為他名的居所
[00:02:25.800 --> 00:02:30.300]  這樣你可以時常敬畏耶和華你的神
[00:02:30.300 --> 00:02:33.800]  當耶和華你神賜福與你的時候
[00:02:33.800 --> 00:02:37.300]  耶和華你神所選擇要立為他名的地方
[00:02:37.300 --> 00:02:40.300]  若離你太遠那路也太長
[00:02:40.300 --> 00:02:43.300]  使你不能把這物帶到那裡去
[00:02:43.300 --> 00:02:46.300]  你就可以換成銀紙
[00:02:46.300 --> 00:02:49.300]  將銀紙包起來拿在手中
[00:02:49.300 --> 00:02:53.300]  往耶和華你神所要選擇的地方去
[00:02:53.300 --> 00:02:55.800]  你用這銀紙隨心所欲
[00:02:55.800 --> 00:02:58.800]  或買牛羊或買清酒、龍酒
[00:02:58.800 --> 00:03:01.300]  凡你心所想的都可以買
[00:03:01.300 --> 00:03:06.800]  你和你的家屬在耶和華你神的面前吃喝快樂
[00:03:06.800 --> 00:03:08.800]  住在你城裡的利美人
[00:03:08.800 --> 00:03:10.300]  你不可丟棄她
[00:03:10.300 --> 00:03:13.800]  因為她在你們中間無分無異
[00:03:13.800 --> 00:03:15.800]  每逢三年的末一年
[00:03:15.800 --> 00:03:19.800]  你要將本年的土產十分之一都取出來
[00:03:19.800 --> 00:03:21.800]  即存在你的城中
[00:03:21.800 --> 00:03:24.800]  在你城裡無分無異的利美人
[00:03:24.800 --> 00:03:26.800]  和你城裡寄居的
[00:03:26.800 --> 00:03:30.300]  並孤兒寡婦都可以來吃得飽足
[00:03:30.300 --> 00:03:35.800]  這樣耶和華你神必在你手裡所辦的一切事上
[00:03:35.800 --> 00:03:37.800]  賜福與你
[00:03:37.800 --> 00:03:39.800]  《新命紀》第十四章
[00:03:39.800 --> 00:03:42.800]  是承接一個很重要的信息脈絡
[00:03:42.800 --> 00:03:45.800]  神的子民是要分別為聖的
[00:03:45.800 --> 00:03:49.800]  是要與他們將要進入迦南所見到的外邦人
[00:03:49.800 --> 00:03:51.300]  來分別出來
[00:03:51.300 --> 00:03:53.800]  他們要持守忠於神
[00:03:53.800 --> 00:03:55.800]  順服神的生命
[00:03:55.800 --> 00:03:58.300]  《尚文》第十二第十三章
[00:03:58.300 --> 00:03:59.800]  摩西提醒百姓
[00:03:59.800 --> 00:04:04.300]  千萬不要去敬拜外邦的偶像
[00:04:04.300 --> 00:04:05.800]  也要小心
[00:04:05.800 --> 00:04:06.800]  小心一些假先知
[00:04:06.800 --> 00:04:08.800]  他們會用一些伎倆
[00:04:08.800 --> 00:04:13.300]  來勾引耶和華的百姓離開神
[00:04:13.300 --> 00:04:15.800]  來到第十四章
[00:04:15.800 --> 00:04:19.800]  摩西就在生活的層面上作出提醒
[00:04:19.800 --> 00:04:22.300]  在上半章特別提到
[00:04:22.300 --> 00:04:25.300]  有些動物是潔淨的
[00:04:25.300 --> 00:04:26.300]  你可以吃的
[00:04:26.300 --> 00:04:28.300]  有些動物是不潔淨的
[00:04:28.300 --> 00:04:30.300]  是你不可以吃的
[00:04:30.300 --> 00:04:32.300]  當中最主要的目的
[00:04:32.300 --> 00:04:34.800]  是希望神的子民盡量避免
[00:04:34.800 --> 00:04:40.300]  不知不覺地沾染了一些外邦信仰相關的事情
[00:04:40.300 --> 00:04:42.800]  第十四章的下半章
[00:04:42.800 --> 00:04:44.800]  就是剛才我們所讀今天的經文
[00:04:44.800 --> 00:04:48.300]  就提到金錢奉獻的生活
[00:04:48.300 --> 00:04:49.800]  究竟神的子民
[00:04:49.800 --> 00:04:53.300]  在當中應該如何操練自己的生命
[00:04:53.300 --> 00:04:56.800]  以致自己能夠分別為聖呢?
[00:04:56.800 --> 00:04:58.800]  首先我們很值得留意的是
[00:04:58.800 --> 00:05:00.300]  在第十四章
[00:05:00.300 --> 00:05:03.800]  摩西有一個很重要的引言
[00:05:03.800 --> 00:05:05.800]  在第十四章的第一第二節
[00:05:05.800 --> 00:05:07.300]  摩西這樣說
[00:05:07.300 --> 00:05:10.300]  「你們是耶和華你們神的兒女
[00:05:10.300 --> 00:05:11.800]  因為你們歸耶和華
[00:05:11.800 --> 00:05:13.800]  你神為聖潔的民
[00:05:13.800 --> 00:05:17.300]  耶和華從地上的萬民中揀選你
[00:05:17.300 --> 00:05:19.800]  特作自己的子民」
[00:05:19.800 --> 00:05:21.800]  摩西在他要提出一系列
[00:05:21.800 --> 00:05:23.800]  生活上的守則之前
[00:05:23.800 --> 00:05:25.800]  他首先再一次提醒百姓
[00:05:25.800 --> 00:05:27.800]  一個很重要的事情
[00:05:27.800 --> 00:05:29.300]  就是究竟你們是誰?
[00:05:29.300 --> 00:05:31.800]  你們究竟是什麼身份?
[00:05:31.800 --> 00:05:33.800]  你們是神的兒女
[00:05:33.800 --> 00:05:35.800]  你們是神所揀選
[00:05:35.800 --> 00:05:36.800]  所尊貴
[00:05:36.800 --> 00:05:39.300]  你們是有獨特的身份
[00:05:39.300 --> 00:05:42.800]  這個前提是非常重要的
[00:05:42.800 --> 00:05:45.800]  既然神的子民是屬於神的時候
[00:05:45.800 --> 00:05:50.800]  他們就應該和外邦人有不同的地方
