
[00:00:00.000 --> 00:00:03.680]  我今天想和大家分享一個題目
[00:00:03.680 --> 00:00:07.280]  就是「驚工程能做就做」
[00:00:07.280 --> 00:00:16.160]  這就是我們「逆流決擇」系列的一個題目
[00:00:16.160 --> 00:00:18.360]  基本上我們在這個題目裏
[00:00:18.360 --> 00:00:24.040]  就是想用我們今年是馬丁路德改革500年
[00:00:24.040 --> 00:00:33.440]  那個時候的聖經核心思想對我們現在所面對的議題有什麼關係
[00:00:33.440 --> 00:00:37.440]  在這幾個星期已經提到關於政治
[00:00:37.440 --> 00:00:42.600]  今天何牧師會講到關於女性的地位等等
[00:00:42.600 --> 00:00:47.640]  今天就想和大家分享一個議題叫「驚工程」
[00:00:47.640 --> 00:00:49.680]  為什麼會講這個題目呢
[00:00:49.680 --> 00:00:55.480]  其實我很感恩 我自己本身以前是做科研的
[00:00:55.480 --> 00:01:01.240]  也曾經用過驚工程來做過一些藥理的研究
[00:01:01.240 --> 00:01:07.680]  可以將蛋白的基因和殺絕螞蟻老鼠裏面的基因去改變
[00:01:07.680 --> 00:01:10.960]  也很感謝林牧師給我這個機會
[00:01:10.960 --> 00:01:22.760]  將我整合我以前最深的科研和現在聖經的領袖和大家一起分享
[00:01:22.760 --> 00:01:28.960]  我今天要用的經文是羅馬書八章十三到十六節
[00:01:28.960 --> 00:01:30.200]  我們一起讀
[00:01:30.200 --> 00:01:34.160]  「你們若順從肉體活著必要死
[00:01:34.160 --> 00:01:38.880]  若靠著聖靈治死的身體惡行必要活著
[00:01:38.880 --> 00:01:43.440]  因為凡被神的靈引導的都是神的兒子
[00:01:43.440 --> 00:01:46.440]  你們所受的不是奴婢的心
[00:01:46.440 --> 00:01:50.240]  而是害怕所受的乃是兒子的心
[00:01:50.240 --> 00:01:53.080]  因此我們呼叫阿爸 父
[00:01:53.080 --> 00:01:57.720]  聖靈與我們同心 澄清我們是神的兒女」
[00:01:57.720 --> 00:02:01.320]  這段經文的核心信息我們今天想和大家分享
[00:02:01.320 --> 00:02:03.600]  就是我們是神的兒女
[00:02:03.600 --> 00:02:09.560]  我們希望大家和旁邊的大姐姐們說一說我們是神的兒女
[00:02:09.560 --> 00:02:15.840]  我們一起做個禱告
[00:02:15.840 --> 00:02:18.280]  「聖潔公義任本有憐憫的父親
[00:02:18.280 --> 00:02:20.280]  感謝祢賜下祢的話語
[00:02:20.280 --> 00:02:23.120]  讓我們有機會去明白祢的心意
[00:02:23.120 --> 00:02:27.880]  祢知道孩子不配也沒有能力去宣講祢的道
[00:02:27.880 --> 00:02:31.240]  求祢潔淨孩子的口 孩子的心
[00:02:31.240 --> 00:02:33.840]  在宣講的時候祢只有一個目的
[00:02:33.840 --> 00:02:36.240]  就是歸榮耀給你
[00:02:36.240 --> 00:02:38.800]  求祢垂聽孩子的禱告
[00:02:38.800 --> 00:02:44.480]  禱告是祢奉我們主耶穌基督寶貴的名詞 阿們」
[00:02:44.480 --> 00:02:51.920]  今天訊息的題目是「基因工程 能做就做?」
[00:02:51.920 --> 00:02:55.080]  這個題目就是問
[00:02:55.080 --> 00:02:58.720]  基因工程現在的科技所能做到的
[00:02:58.720 --> 00:03:01.120]  是不是真的可以做?
[00:03:01.120 --> 00:03:03.960]  我們會從三方面去看這個問題
