
[00:00:00.000 --> 00:00:02.000]  領志會平安
[00:00:02.000 --> 00:00:04.000]  讓我們先低頭再一次祈禱
[00:00:04.000 --> 00:00:10.000]  愛我們的天父
[00:00:10.000 --> 00:00:12.000]  我們獻上感恩
[00:00:12.000 --> 00:00:15.000]  當今天有這麼美好的清晨
[00:00:15.000 --> 00:00:16.000]  這麼好的天氣
[00:00:16.000 --> 00:00:18.000]  這麼美的陽光
[00:00:18.000 --> 00:00:20.000]  我們又回到你的殿
[00:00:20.000 --> 00:00:21.000]  這麼美的殿裡面
[00:00:21.000 --> 00:00:23.000]  去敬拜福士你
[00:00:23.000 --> 00:00:25.000]  求你去恩待
[00:00:25.000 --> 00:00:26.000]  賜恩
[00:00:26.000 --> 00:00:27.000]  開我們的耳朵
[00:00:27.000 --> 00:00:29.000]  以致我們能夠留心聆聽你的話語
[00:00:29.000 --> 00:00:30.000]  開我們的眼睛
[00:00:30.000 --> 00:00:32.000]  以致我們能夠看到你的榮美
[00:00:32.000 --> 00:00:34.000]  更能夠用我們的手腳
[00:00:34.000 --> 00:00:36.000]  去回應你所教導的
[00:00:36.000 --> 00:00:38.000]  由願僕人口中的言語
[00:00:38.000 --> 00:00:39.000]  弟兄姊妹只是心思意念
[00:00:39.000 --> 00:00:40.000]  蒙聖靈的啟迪
[00:00:40.000 --> 00:00:41.000]  蒙主的月立
[00:00:41.000 --> 00:00:43.000]  禱告是奉耶穌基督的名求
[00:00:43.000 --> 00:00:48.000]  各位在信仰路上追隨的朋友
[00:00:48.000 --> 00:00:49.000]  各位弟兄姊妹
[00:00:49.000 --> 00:00:51.000]  今天有一個問題想問你
[00:00:51.000 --> 00:00:54.000]  你覺得自己離上帝的國
[00:00:54.000 --> 00:00:56.000]  有多遠呢
[00:00:56.000 --> 00:00:58.000]  你覺得自己
[00:00:58.000 --> 00:01:01.000]  距離上帝的國有多遠呢
[00:01:01.000 --> 00:01:05.000]  剛剛聽到《福音書》的內容裡面提到
[00:01:05.000 --> 00:01:08.000]  耶穌和一個民事的對話
[00:01:08.000 --> 00:01:12.000]  這個對話的完結的位置
[00:01:12.000 --> 00:01:15.000]  就是耶穌對這位民事有一個描述
[00:01:15.000 --> 00:01:19.000]  你離上帝的國不遠了
[00:01:19.000 --> 00:01:24.000]  我們今天在這段經文當中
[00:01:24.000 --> 00:01:28.000]  嘗試去進入一下當時的狀況
[00:01:28.000 --> 00:01:30.000]  更去思想一下
[00:01:30.000 --> 00:01:34.000]  我們今天到底的狀況是如何呢
[00:01:34.000 --> 00:01:36.000]  《福音書》裡面提到這位是一個民事
[00:01:36.000 --> 00:01:40.000]  民事是一個很特別的職位崗位
[00:01:40.000 --> 00:01:43.000]  也是一個社會地位的角色
[00:01:43.000 --> 00:01:44.000]  由舊日時代開始
[00:01:44.000 --> 00:01:47.000]  民事是做很多抄寫的工作
[00:01:47.000 --> 00:01:49.000]  漸漸地這些抄寫工作的人員
[00:01:49.000 --> 00:01:51.000]  慢慢學會多起來
[00:01:51.000 --> 00:01:54.000]  可能就會幫一些皇室、貴族
[00:01:54.000 --> 00:01:56.000]  做一些記錄等等
[00:01:56.000 --> 00:01:59.000]  當然不少的在宗教上面會抄寫聖經
[00:01:59.000 --> 00:02:02.000]  或者抄寫一些律法律例
