
[00:00:00.000 --> 00:00:01.760]  今天我們要講的是
[00:00:01.760 --> 00:00:05.360]  「我要立一個忠心的祭司」
[00:00:05.360 --> 00:00:08.160]  生命樹和大家看聖經人、聖經事
[00:00:08.160 --> 00:00:10.960]  就是認識聖經的上帝
[00:00:10.960 --> 00:00:15.560]  這個「我」字就是我們想要認識聖經裡面的上帝
[00:00:15.560 --> 00:00:18.560]  「我要立一個忠心的祭司」
[00:00:18.560 --> 00:00:20.360]  神話,我自己神話
[00:00:20.360 --> 00:00:24.160]  我耶和華說要立一個忠心的祭司
[00:00:24.160 --> 00:00:25.760]  你看到有條件的
[00:00:25.760 --> 00:00:27.960]  不是一個祭司,是忠心的祭司
[00:00:27.960 --> 00:00:30.160]  3號耳機上
[00:00:30.160 --> 00:00:33.160]  35節接續著神話說
[00:00:33.160 --> 00:00:36.360]  你那兩個兒子會同日死
[00:00:36.360 --> 00:00:38.560]  然後神人繼續說
[00:00:38.560 --> 00:00:44.360]  我耶和華說要為自己立一個忠心的祭司
[00:00:44.360 --> 00:00:47.360]  祂必照我的心意而行
[00:00:47.360 --> 00:00:51.360]  我要為祂建立堅固的家
[00:00:51.360 --> 00:00:55.960]  祂必永遠行在我的受高者面前
[00:00:55.960 --> 00:00:57.560]  讀多一次
[00:00:57.560 --> 00:01:01.360]  「我要為自己立一個忠心的祭司」
[00:01:01.360 --> 00:01:04.760]  「祂必照我的心意而行」
[00:01:04.760 --> 00:01:08.560]  「我要為祂建立堅固的家」
[00:01:08.560 --> 00:01:11.160]  「祂必永遠行在我的面前」
[00:01:11.160 --> 00:01:14.160]  「我的受高者面前」
[00:01:14.160 --> 00:01:16.560]  留意有幾個字
[00:01:16.560 --> 00:01:19.160]  第一點就是「一」字
[00:01:19.160 --> 00:01:21.560]  螢光藍色紅色
[00:01:21.560 --> 00:01:25.160]  「我要為自己」
[00:01:25.160 --> 00:01:28.760]  神也為自己嗎?當然神是為自己的
[00:01:28.760 --> 00:01:31.760]  因為有個性,跟你一樣
[00:01:31.760 --> 00:01:35.560]  我是喜歡這樣的,我歡喜這樣的
[00:01:35.560 --> 00:01:38.360]  而我有權力,於是我便會這樣
[00:01:38.360 --> 00:01:43.360]  於是「好,我覺得這裡不夠漂亮」
[00:01:43.360 --> 00:01:45.160]  「這個顏色不夠好」
[00:01:45.160 --> 00:01:49.160]  「我要為自己游過這些牆壁」
[00:01:49.160 --> 00:01:52.160]  「為自己,我歡喜」
[00:01:52.160 --> 00:01:55.160]  「我有能力,這個電視不夠好,買個大一點」
[00:01:55.160 --> 00:01:57.160]  「買個漂亮一點,可以」
[00:01:57.160 --> 00:01:59.160]  「為自己」
[00:01:59.160 --> 00:02:02.160]  「神歡喜」
[00:02:02.160 --> 00:02:09.160]  「神說我要為自己的名引導我走而路」
[00:02:09.160 --> 00:02:12.160]  「神為祂的名引導我走而路」
[00:02:12.160 --> 00:02:17.160]  不是為我,是神說我要為自己的名引導我走而路
[00:02:17.160 --> 00:02:20.160]  這個「自己的名」就是神的名
[00:02:20.160 --> 00:02:25.160]  祂會引導我,是因為祂想引導我
[00:02:25.160 --> 00:02:27.160]  「為自己的名」
[00:02:27.160 --> 00:02:31.160]  我也想我的學生好一點
[00:02:31.160 --> 00:02:33.160]  我也想大家認識聖經多一點
[00:02:33.160 --> 00:02:38.160]  所以我想為到我的心意,想大家認識聖經多一點
[00:02:38.160 --> 00:02:40.160]  我天天都說
[00:02:40.160 --> 00:02:41.160]  「為自己」
[00:02:41.160 --> 00:02:45.160]  這個「為自己」並不是自私,而是為了對方好
[00:02:45.160 --> 00:02:49.160]  為自己立一個忠心的祭司
[00:02:49.160 --> 00:02:52.160]  要求這個祭司是甚麼呢?
[00:02:52.160 --> 00:02:53.160]  忠心
[00:02:53.160 --> 00:02:56.160]  祭司就是祭司的字,即是站在神人中間
[00:02:56.160 --> 00:03:00.160]  拉丁文的祭司就是搭橋者,捉橋者
[00:03:00.160 --> 00:03:02.160]  連繫兩邊
