
[00:00:00.000 --> 00:00:02.400]  今天是復活節主日
[00:00:02.400 --> 00:00:04.400]  其實復活節主日是甚麼意思呢?
[00:00:04.400 --> 00:00:06.400]  就是我們紀念耶穌基督
[00:00:06.400 --> 00:00:09.040]  被釘在十字架上受苦
[00:00:09.040 --> 00:00:11.040]  死,他星期五死
[00:00:11.040 --> 00:00:14.080]  第三日,星期日,復活
[00:00:14.080 --> 00:00:16.080]  我們是特別,即是每一次
[00:00:16.080 --> 00:00:18.080]  其實每一個星期日回來崇拜聚會的時候
[00:00:18.080 --> 00:00:20.080]  我們都是一個慶祝
[00:00:20.080 --> 00:00:22.080]  Celebration,因為耶穌基督
[00:00:22.080 --> 00:00:24.080]  已經復活了
[00:00:24.080 --> 00:00:29.120]  Sorry,剛才那句
[00:00:30.120 --> 00:00:32.120]  這一句呢
[00:00:32.120 --> 00:00:34.120]  在我們基督教會呢
[00:00:34.120 --> 00:00:36.120]  是一直有個傳統
[00:00:36.120 --> 00:00:38.120]  就是在復活節主日我們會一起
[00:00:38.120 --> 00:00:40.120]  讀這一句說話
[00:00:40.120 --> 00:00:42.120]  我們一同站立吧
[00:00:42.120 --> 00:00:50.120]  我們試試一起讀吧
[00:00:50.120 --> 00:00:52.120]  預備,1,2,3
[00:00:52.120 --> 00:00:54.120]  耶穌真的復活了
[00:00:54.120 --> 00:00:56.120]  第二次再讀的時候
[00:00:56.120 --> 00:00:58.120]  我們試試,肯定一點,大聲一點讀
[00:00:58.120 --> 00:01:00.120]  1,2,3
[00:01:00.120 --> 00:01:02.120]  耶穌真的復活了
[00:01:02.120 --> 00:01:04.120]  第三次我們試試
[00:01:04.120 --> 00:01:06.120]  看一下旁邊,開心一點
[00:01:06.120 --> 00:01:08.120]  跟旁邊說一下,開心的喔
[00:01:08.120 --> 00:01:10.120]  預備,1,2,3
[00:01:10.120 --> 00:01:12.120]  耶穌真的復活了
[00:01:12.120 --> 00:01:14.120]  OK,請坐
[00:01:14.120 --> 00:01:20.120]  不是開玩笑,真的
[00:01:20.120 --> 00:01:22.120]  很多基督教的傳統裡面呢
[00:01:22.120 --> 00:01:24.120]  是連續讀三次
[00:01:24.120 --> 00:01:26.120]  提醒我們,我們信的耶穌基督
[00:01:26.120 --> 00:01:28.120]  已經復活了
[00:01:28.120 --> 00:01:30.120]  耶穌基督已經復活了
[00:01:30.120 --> 00:01:32.120]  在當時
[00:01:32.120 --> 00:01:34.120]  我們那段聖經裡面
[00:01:34.120 --> 00:01:36.120]  說到
[00:01:36.120 --> 00:01:38.120]  當時聖經裡面說到
[00:01:38.120 --> 00:01:40.120]  耶穌在猶太人
[00:01:40.120 --> 00:01:42.120]  安息日,星期五那天
[00:01:42.120 --> 00:01:44.120]  被釘在十字架上死了
[00:01:44.120 --> 00:01:46.120]  他的屍體
[00:01:46.120 --> 00:01:48.120]  被拿下來安葬
[00:01:48.120 --> 00:01:50.120]  在一個墓穴裡面
