
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹們午安
[00:00:02.000 --> 00:00:07.000]  寶貴卿再次能夠在當中跟大家分享寶貴的聖經話語
[00:00:07.000 --> 00:00:12.000]  今日跟大家分享的是《羅馬書》第十一章二十五至三十六節
[00:00:12.000 --> 00:00:16.000]  這個段落是整個《羅馬書》的結束部分
[00:00:16.000 --> 00:00:21.000]  同樣這個也是由九章至十一章裏面
[00:00:21.000 --> 00:00:25.000]  小圖保羅在《羅馬書》裏面討論關於
[00:00:25.000 --> 00:00:29.000]  以色列人全家得救的論述裏面的結束部分
[00:00:29.000 --> 00:00:35.000]  今日我會透過論證上帝沒有放棄以色列人這個大題目
[00:00:35.000 --> 00:00:37.000]  作為一個前題
[00:00:37.000 --> 00:00:43.000]  我們來看看如何透過耶穌基督帶給人類的希望
[00:00:43.000 --> 00:00:47.000]  而我們得到一個心底裏面的反應
[00:00:47.000 --> 00:00:50.000]  一個很美麗的結束句
[00:00:50.000 --> 00:00:57.000]  就是在整個《羅馬書》第十一章三十五至三十六節的重站裏面
[00:00:57.000 --> 00:00:59.000]  在進入這個重站之前
[00:00:59.000 --> 00:01:03.000]  我們先看看整個鋪排的進路
[00:01:03.000 --> 00:01:08.000]  這位小圖保羅如何再次展現出
[00:01:08.000 --> 00:01:13.000]  他對心底裏面這位上帝的佩服和重站
[00:01:13.000 --> 00:01:17.000]  在我預備整個講道的過程裏面
[00:01:17.000 --> 00:01:21.000]  我想到一個很有意思的圖畫
[00:01:21.000 --> 00:01:28.000]  這個圖畫是我在這個視頻裏面所帶來的一個記憶
[00:01:28.000 --> 00:01:32.000]  在這個記憶裏面是有一位消防員
[00:01:32.000 --> 00:01:34.000]  一個專業的消防員
[00:01:34.000 --> 00:01:39.000]  他是自死那一刻仍然來到他緊緊抱著一位小女孩
[00:01:39.000 --> 00:01:42.000]  他守護著她的生命
[00:01:42.000 --> 00:01:47.000]  他這個堅持帶給我很深深的感動
[00:01:47.000 --> 00:01:54.000]  這個「一個也不能少」的心態感動了我
[00:01:54.000 --> 00:01:56.000]  而這個「一個也不能少」的心態
[00:01:56.000 --> 00:02:01.000]  我想也經常出現在我們周圍裏面
[00:02:01.000 --> 00:02:04.000]  特別是在教會群體裏面
[00:02:04.000 --> 00:02:10.000]  我們作為傳道益士的這個「一個也不能少」的責任感
[00:02:10.000 --> 00:02:15.000]  也充斥著我們侍奉的日子裏面
[00:02:15.000 --> 00:02:21.000]  有時候這個「一個也不能少」的責任感會是一個壓力
[00:02:21.000 --> 00:02:24.000]  但更加多的時候是一份動力
[00:02:24.000 --> 00:02:32.000]  推動著我們堅持、努力不懈地去履行這份即時的責任
[00:02:32.000 --> 00:02:35.000]  我在預備這份講章的時候
[00:02:35.000 --> 00:02:40.000]  也深深體會到不單止保羅對同胞的得救的著緊
[00:02:40.000 --> 00:02:46.000]  也同樣我們看到上帝對世人得著福音的那份著緊
[00:02:46.000 --> 00:02:48.000]  他如何著緊呢?
[00:02:48.000 --> 00:02:53.000]  如果我問你,上帝如何著緊世人的得救呢?
[00:02:53.000 --> 00:03:00.000]  你想起哪一節的經文呢?
[00:03:00.000 --> 00:03:03.000]  《約翰福音》三章十六節
[00:03:03.000 --> 00:03:06.000]  好好文謙,正正是我所想的這句話
[00:03:06.000 --> 00:03:07.000]  我們一起背吧
[00:03:07.000 --> 00:03:14.000]  「神愛世人,甚至將他的獨生子賜給他們
[00:03:14.000 --> 00:03:20.000]  叫一切順他的,不致滅亡,反得永生。」
[00:03:20.000 --> 00:03:27.000]  這就是上帝的心情,上帝的著緊
[00:03:27.000 --> 00:03:32.000]  保羅沒有放棄向同胞傳福音的熱切期盼
[00:03:32.000 --> 00:03:37.000]  上帝也沒有放棄以色列人得救的期盼
[00:03:37.000 --> 00:03:41.000]  而這個段落第十一章是結束部分
[00:03:41.000 --> 00:03:46.000]  也是整個以色列全家得救論述的結束
[00:03:46.000 --> 00:03:50.000]  從宏觀來看,這個段落對以色列全家得救
[00:03:50.000 --> 00:03:53.000]  是以恩順清義為得救的核心
[00:03:53.000 --> 00:03:58.000]  顯明了上帝對以色列人的信實和憐憫
[00:03:58.000 --> 00:04:03.000]  在納若之上,恩順清義納若
[00:04:03.000 --> 00:04:06.000]  而透過外邦人和以色列人
[00:04:06.000 --> 00:04:09.000]  同樣都被歸入上帝的救贖裡面
[00:04:09.000 --> 00:04:11.000]  彰顯出主權
[00:04:11.000 --> 00:04:14.000]  外邦人都能夠歸主
[00:04:14.000 --> 00:04:19.000]  對於以色列人來說是一個想像不到的事實
[00:04:19.000 --> 00:04:22.000]  這三個上帝救贖世人的心意
[00:04:22.000 --> 00:04:25.000]  是保羅作為勸勉以色列人
[00:04:25.000 --> 00:04:29.000]  也提醒外邦信徒不要貶抑
[00:04:29.000 --> 00:04:33.000]  低估了以色列人在上帝心裡面的地位
[00:04:33.000 --> 00:04:35.000]  恩順清義
[00:04:35.000 --> 00:04:37.000]  上帝的憐愛
[00:04:37.000 --> 00:04:39.000]  上帝的主權
[00:04:39.000 --> 00:04:41.000]  這三個元素
[00:04:41.000 --> 00:04:45.000]  正正是這個段落裡一個重要的基礎
[00:04:45.000 --> 00:04:49.000]  在進入經文內容分享前
[00:04:49.000 --> 00:04:51.000]  我們同心討局
[00:04:51.000 --> 00:04:56.000]  就求祢的聖靈進入我們的心裡
[00:04:56.000 --> 00:05:00.000]  特別進入這個不配的僕人的口裡
[00:05:00.000 --> 00:05:03.000]  傳講祢的信息
[00:05:03.000 --> 00:05:07.000]  用聖經的華語激勵我們眾弟兄姊妹
[00:05:07.000 --> 00:05:11.000]  更好的體察到上帝的著緊
[00:05:11.000 --> 00:05:13.000]  讓我們心被激動
[00:05:13.000 --> 00:05:15.000]  求主祢讓我們同在
[00:05:15.000 --> 00:05:17.000]  帶領我們以下時間
[00:05:17.000 --> 00:05:19.000]  祈禱奉耶穌基督的聖名祈求
[00:05:19.000 --> 00:05:21.000]  阿門
[00:05:21.000 --> 00:05:27.000]  我們先來看這個段落的25-27節
[00:05:27.000 --> 00:05:31.000]  或者讓我們一起同心去誦讀這幾個聖經
[00:05:31.000 --> 00:05:33.000]  打開我們的程序頁
[00:05:33.000 --> 00:05:35.000]  1、2、3
[00:05:35.000 --> 00:05:39.000]  弟兄們,我不願意你們不知道這奧秘
[00:05:39.000 --> 00:05:42.000]  恐怕你們自以為聰明
