
[00:00:00.000 --> 00:00:05.200]  各位親愛的弟兄姐妹,還有網絡上的弟兄姐妹,祝你平安。
[00:00:05.200 --> 00:00:08.320]  我們每一個人都需要被鼓勵。
[00:00:08.320 --> 00:00:13.400]  一句鼓勵和讚賞的話,可以提升我們的心。
[00:00:13.400 --> 00:00:18.640]  本來是很艱難的工作,也會變得沒有那麼辛苦。
[00:00:18.640 --> 00:00:21.440]  所以保羅在《復所述第四章》29節告訴我們說:
[00:00:21.440 --> 00:00:23.720]  "誤會的言語一句都不可出口,
[00:00:23.720 --> 00:00:30.080]  總要說造就人的好話,叫聽的人得益處。"
[00:00:30.080 --> 00:00:35.720]  往往我們就忽略了要鼓勵和讚賞我們親愛的家人,
[00:00:35.720 --> 00:00:38.400]  特別是我們的爸爸。
[00:00:38.400 --> 00:00:43.920]  記得嗎?兩個禮拜前是父親節。
[00:00:43.920 --> 00:00:49.400]  老王的兒子小明,往往只記得母親節。
[00:00:49.400 --> 00:00:54.440]  每逢母親節,總是寫卡片,又送花,又送禮物。
[00:00:54.440 --> 00:00:57.080]  他總是忘記父親節。
[00:00:57.080 --> 00:00:59.800]  所以兩個禮拜前父親節那一天,
[00:00:59.800 --> 00:01:02.640]  他們全家在一起喫早餐。
[00:01:02.640 --> 00:01:07.160]  小明走到冰箱前打開門,回過頭來問爸爸說:
[00:01:07.160 --> 00:01:10.440]  "爸爸,今天是幾號,你知道嗎?"
[00:01:10.440 --> 00:01:17.080]  老王聽了以後一陣驚喜,眼眶帶着眼淚,對他說:
[00:01:17.080 --> 00:01:20.960]  "今天是8號,8月8號耶!"
[00:01:20.960 --> 00:01:26.320]  沒想到小明有一點失望,拿了一瓶牛奶說:
[00:01:26.320 --> 00:01:30.960]  "哎呀,又過期了!"
[00:01:30.960 --> 00:01:36.120]  他從旁邊的人說:"你需要被鼓勵!"
[00:01:36.120 --> 00:01:39.840]  所以我們大家都需要被鼓勵。
[00:01:39.840 --> 00:01:45.720]  好,我們能夠多說造就人的好話,叫聽的人能夠得益處。
[00:01:45.720 --> 00:01:50.600]  接着我們一起來思想在小雅西亞的第二間教會,
[00:01:50.600 --> 00:01:57.840]  耶穌基督如何鼓勵也來讚賞這間在士美那的一間教會。
[00:01:57.840 --> 00:02:01.400]  爲什麼耶穌在這裏會鼓勵和讚賞他們呢?
[00:02:01.400 --> 00:02:07.040]  因爲他們在許多的患難逼迫當中仍然能夠爲主而忠心。
[00:02:07.040 --> 00:02:09.600]  我們一起來看《啓示錄》第二章,
[00:02:09.600 --> 00:02:13.080]  我們從第八節先看到第十一節。
[00:02:13.080 --> 00:02:18.200]  《啓示錄》第二章,第八節到十一節說,你要寫信給士美那教會的使者說,
[00:02:18.200 --> 00:02:22.280]  那首先的、莫後的、死過又活的說:
[00:02:22.280 --> 00:02:27.160]  "我知道你的患難,你的貧窮,你卻是富足的。"
[00:02:27.160 --> 00:02:30.840]  也知道那自稱是猶太人所說的毀謗話,
[00:02:30.840 --> 00:02:35.480]  其實他們不是猶太人,乃是撒旦一會的人。
[00:02:35.480 --> 00:02:39.480]  第十節說,你將要受的苦,你不用怕。
[00:02:39.480 --> 00:02:44.200]  魔鬼要把你們中間幾個人下在監獄,叫你們被撕裂,
[00:02:44.200 --> 00:02:47.200]  你們必受患難十日。
[00:02:47.200 --> 00:02:52.680]  你勿要致死忠心,我就喫給你那生命的冠冕。
[00:02:52.680 --> 00:02:58.800]  聖靈向衆教會所說的話,凡有惡的就應當聽得勝的,
[00:02:58.800 --> 00:03:03.000]  必不受第二次死的害。
[00:03:03.000 --> 00:03:06.720]  這乃是耶穌基督透過使徒約翰,
[00:03:06.720 --> 00:03:09.680]  當他被放牧在巴摩師島的時候,
[00:03:09.680 --> 00:03:16.080]  能夠向當地在小雅西亞一帶的七間教會來說話。
[00:03:16.080 --> 00:03:18.360]  上一次我們看了以弗所第一間教會,
[00:03:18.360 --> 00:03:22.440]  今天我們來看第二間教會,就是士美納的教會。
[00:03:22.440 --> 00:03:26.600]  我們先來了解一下這個教會所在的城市士美納的背景。
[00:03:26.600 --> 00:03:28.800]  我們先看看這個圖畫。
[00:03:28.800 --> 00:03:35.640]  士美納我們知道是在以弗所以北三十五里的一個港口城市。
[00:03:35.640 --> 00:03:40.120]  這個港口城市可以說是當時羅馬的城市,
[00:03:40.120 --> 00:03:42.640]  而且是第二大的一個港口。
[00:03:42.640 --> 00:03:48.560]  裏面有很多到內陸所有的運輸品都要透過士美納這個港口而進去的。
[00:03:48.560 --> 00:03:53.480]  這個港口我們看看,它其實有很多的劇院,
[00:03:53.480 --> 00:03:58.960]  很多的圖書館,還有體育館。
[00:03:58.960 --> 00:04:05.760]  所以這是當時的一個,目前是一個廢墟,很大的一個圖書館或者體育館。
[00:04:05.760 --> 00:04:08.000]  我們看看下一張圖畫。
