
[00:00:00.000 --> 00:00:08.000]  頂尖妹,早安!大家好!
[00:00:08.000 --> 00:00:20.000]  在大概兩年前,雪梨有好幾位退休華人牧師
[00:00:20.000 --> 00:00:31.000]  大家聚在一起,成立一個團契
[00:00:31.000 --> 00:00:37.000]  成立這個團契是有目的的,是有什麼目的呢?
[00:00:37.000 --> 00:00:44.000]  就是盼望透過這個團契,大家彼此鼓勵
[00:00:44.000 --> 00:00:56.000]  效法保羅那樣,能夠Finish well
[00:00:56.000 --> 00:01:04.000]  保羅在提摩提後書第四章七節
[00:01:04.000 --> 00:01:14.000]  他講到他自己,美好的仗他已經打過
[00:01:14.000 --> 00:01:24.000]  當跑的路已經跑盡,所信的道已經守住了
[00:01:24.000 --> 00:01:30.000]  他的人生是一個Finish well的人生
[00:01:30.000 --> 00:01:37.000]  我們一班退休牧師就想效法他
[00:01:37.000 --> 00:01:46.000]  希望彼此鼓勵,能夠像他這樣Finish well
[00:01:46.000 --> 00:01:51.000]  但是怎樣Finish well呢?
[00:01:51.000 --> 00:01:55.000]  就是效法保羅那樣
[00:01:55.000 --> 00:02:02.000]  打完這個美好的仗,跑完當跑的路,守住所信的道
[00:02:02.000 --> 00:02:11.000]  但問題是,打完美好的仗,這是什麼樣的仗呢?
[00:02:11.000 --> 00:02:15.000]  走的路又是什麼樣的路呢?
[00:02:15.000 --> 00:02:22.000]  守住的道又是什麼樣的道呢?
[00:02:22.000 --> 00:02:26.000]  我們思想了一輪之後
[00:02:26.000 --> 00:02:32.000]  我們相信這個答案可以在保羅所寫的
[00:02:32.000 --> 00:02:38.000]  哥倫多後書三章六節那裡找得到
[00:02:38.000 --> 00:02:42.000]  在哥倫多後書三章六節那裡
[00:02:42.000 --> 00:02:51.000]  保羅講到他所承當的一個新約的執事
[00:02:51.000 --> 00:02:57.000]  進入我們今早的講題
[00:02:57.000 --> 00:03:00.000]  我們從這方面
[00:03:00.000 --> 00:03:09.000]  我們相信可以找得到以上所問的問題
[00:03:09.000 --> 00:03:15.000]  但是什麼叫做新約的執事呢?
[00:03:15.000 --> 00:03:21.000]  新約我們知道是主耶穌在最後晚餐的時候
[00:03:21.000 --> 00:03:25.000]  與門徒設立的
[00:03:25.000 --> 00:03:32.000]  主耶穌說:這個杯是用我的血所立的新約
[00:03:32.000 --> 00:03:35.000]  為多人流出來的
[00:03:35.000 --> 00:03:38.000]  使罪得赦
[00:03:38.000 --> 00:03:48.000]  在路加福音二十二章二十節和馬塔福音二十六章二十八節看到
[00:03:48.000 --> 00:03:52.000]  所以這個新約的執事
[00:03:52.000 --> 00:04:00.000]  其實就是將這個福音傳揚出去
[00:04:00.000 --> 00:04:06.000]  這個赦罪的福音能夠傳揚出去
[00:04:06.000 --> 00:04:12.000]  這個執事是滿有榮光的
[00:04:12.000 --> 00:04:21.000]  因為這個執事能夠將世界死在罪惡過份中的人
[00:04:21.000 --> 00:04:26.000]  所最需要的恩典帶給他們
[00:04:26.000 --> 00:04:29.000]  他們所最需要的恩典是什麼呢?
[00:04:29.000 --> 00:04:32.000]  就是這個新約裡面所講的
[00:04:32.000 --> 00:04:35.000]  赦罪及清義
[00:04:35.000 --> 00:04:38.000]  領受聖靈
[00:04:38.000 --> 00:04:42.000]  而聖靈是生命的靈
[00:04:42.000 --> 00:04:44.000]  它又是能力的靈
