
[00:00:00.000 --> 00:00:05.000]  感恩可以在這裡跟大家分享神的話語
[00:00:05.000 --> 00:00:07.500]  在我們講到之前我們一起低頭祈禱
[00:00:07.500 --> 00:00:09.000]  慈悲天父我們感恩
[00:00:09.000 --> 00:00:12.500]  主祢自己的話語使人有智慧
[00:00:12.500 --> 00:00:14.000]  求主祢幫助我們
[00:00:14.000 --> 00:00:17.500]  祢只是靈在我們當中去教導提醒
[00:00:17.500 --> 00:00:20.000]  讓我們真的遠離愚昧
[00:00:20.000 --> 00:00:22.000]  從祢的話語當中
[00:00:22.000 --> 00:00:24.500]  能夠可以活一個智慧的人生
[00:00:24.500 --> 00:00:28.000]  我們這樣祈禱奉耶穌基督特性的名求
[00:00:28.000 --> 00:00:30.500]  我想問問大家在座有多少人
[00:00:30.500 --> 00:00:32.500]  是沒有試過兩條線的
[00:00:32.500 --> 00:00:34.500]  可不可以舉手
[00:00:34.500 --> 00:00:36.500]  快速測試
[00:00:36.500 --> 00:00:38.500]  嘩 厲害
[00:00:38.500 --> 00:00:42.500]  我想可能只有一至兩個百分比
[00:00:42.500 --> 00:00:43.500]  快速測試
[00:00:43.500 --> 00:00:49.500]  那就是沒有試過快速測試呈陽性
[00:00:49.500 --> 00:00:51.500]  那如果我們快速測試
[00:00:51.500 --> 00:00:53.500]  我不知道大家大部份人
[00:00:53.500 --> 00:00:54.500]  你快速測試的時候
[00:00:54.500 --> 00:00:57.500]  你陽性你的反應是什麼
[00:00:57.500 --> 00:01:00.500]  你最早期的時候是否很害怕
[00:01:00.500 --> 00:01:02.000]  大英姊妹很害怕
[00:01:02.000 --> 00:01:07.500]  你是要上報還是要準備執行你去隔離
[00:01:07.500 --> 00:01:11.500]  還是你要尋求退燒藥
[00:01:11.500 --> 00:01:13.500]  大英姊妹
[00:01:13.500 --> 00:01:15.500]  如果我們把這個快速測試
[00:01:15.500 --> 00:01:18.500]  是用一個愚昧人的測試
[00:01:18.500 --> 00:01:21.500]  那我們的測試結果是怎樣
[00:01:21.500 --> 00:01:27.500]  今天想和大家做三個測試
[00:01:27.500 --> 00:01:29.500]  三個測試是怎樣呢
[00:01:29.500 --> 00:01:30.500]  為什麼要做這三個測試呢
[00:01:30.500 --> 00:01:31.500]  第一個測試是
[00:01:31.500 --> 00:01:35.500]  你是驕傲至此還是敬畏神
[00:01:35.500 --> 00:01:36.500]  第二個測試是
[00:01:36.500 --> 00:01:40.500]  你是輕易發怒還是能夠忍受羞辱呢
[00:01:40.500 --> 00:01:41.500]  第三個測試
[00:01:41.500 --> 00:01:44.500]  你是不願意聽教導
[00:01:44.500 --> 00:01:47.500]  還是喜歡尋求知識呢
[00:01:47.500 --> 00:01:51.500]  這三個測試不是隨意在謙言裡面選出來
[00:01:51.500 --> 00:01:54.500]  而這三個測試是我讀了這麼多年謙言
[00:01:54.500 --> 00:01:59.500]  在謙言裡面說愚昧人有三個很重要的特性
[00:01:59.500 --> 00:02:01.500]  就是這三個特性
