
[00:00:00.000 --> 00:00:03.900]  今天很想和你們分享愛
[00:00:03.900 --> 00:00:08.780]  愛這個題目,我想在教會是走不開的
[00:00:08.780 --> 00:00:12.920]  我們今年的季題
[00:00:12.920 --> 00:00:15.920]  這頭三個月的季題是講漢德建的愛
[00:00:15.920 --> 00:00:19.580]  可能你聽過不少,或者你上了教會很久
[00:00:19.580 --> 00:00:21.480]  你對這個題目已經很熟悉了
[00:00:21.480 --> 00:00:24.840]  你說愛經常都講的,還有什麼沒聽過
[00:00:24.840 --> 00:00:27.220]  我想沒什麼你沒聽過
[00:00:27.220 --> 00:00:30.400]  但是有很多事情我們還沒做到
[00:00:30.400 --> 00:00:32.540]  所以我們仍然要講這個題目
[00:00:32.540 --> 00:00:37.860]  聖經說有些什麼叫人認得我們是基督徒
[00:00:37.860 --> 00:00:40.020]  彼此相愛
[00:00:40.020 --> 00:00:42.740]  我不知道你聽這句話有什麼感覺
[00:00:42.740 --> 00:00:45.740]  我覺得很特別,因為你想想很多基督徒
[00:00:45.740 --> 00:00:51.100]  我們見到基督徒就是他會回教會,他會奉獻
[00:00:51.100 --> 00:00:53.380]  有很多神學的辯論,各樣東西
[00:00:53.380 --> 00:00:58.100]  但是聖經說,當人認得出這群是神的門徒,是憑什麼
[00:00:58.100 --> 00:01:03.020]  不是憑他的知識,不是憑他可以說什麼,或者他辯論有多厲害
[00:01:03.020 --> 00:01:06.300]  是憑這群人能不能彼此相愛
[00:01:06.300 --> 00:01:10.020]  如果他說這裡的人能夠彼此相愛
[00:01:10.020 --> 00:01:13.940]  那些人就認出他是我的門徒
[00:01:13.940 --> 00:01:18.660]  所以今天很想和你們分享的題目叫這樣的愛
[00:01:18.660 --> 00:01:20.940]  因為回應師也選了這首
[00:01:20.940 --> 00:01:26.940]  所以愛是,特別這次會講的是人和人
[00:01:26.940 --> 00:01:30.420]  即是論社之間,弟兄姊妹之間的愛
[00:01:30.420 --> 00:01:35.460]  當然你延伸下去,其實男女朋友拍拖那份感情
[00:01:35.460 --> 00:01:37.940]  其實都大同小異的
[00:01:37.940 --> 00:01:41.380]  曾幾何時有一個人問耶穌
[00:01:41.380 --> 00:01:45.100]  他說老師,律法上的誡命哪一條最大
[00:01:45.100 --> 00:01:46.100]  懂不懂得回答
[00:01:46.100 --> 00:01:48.660]  不懂
[00:01:49.660 --> 00:01:52.500]  對了,不如一起讀,預備,1,2,3
[00:01:52.500 --> 00:02:12.260]  他說這兩條誡命很厲害
[00:02:12.260 --> 00:02:16.620]  厲害到這兩條誡命加起來就已經等於
[00:02:16.620 --> 00:02:20.180]  《律法》和《先知書》的總結
[00:02:20.180 --> 00:02:23.380]  今天我們不會講第一條
[00:02:23.380 --> 00:02:25.060]  我們講第二條
[00:02:25.060 --> 00:02:28.740]  但我不知道你對誡命有什麼認識
[00:02:28.740 --> 00:02:31.260]  或者你對愛有什麼認識
[00:02:31.260 --> 00:02:34.100]  前幾天我自己有一個小組
[00:02:34.100 --> 00:02:37.540]  就講了一個叫做愛的語言
[00:02:37.540 --> 00:02:39.460]  有沒有聽過,Love Language
[00:02:39.460 --> 00:02:41.900]  譬如說人和人相處
[00:02:41.900 --> 00:02:44.820]  你想表達愛有五個方法
[00:02:44.820 --> 00:02:46.540]  有肯定的言語
[00:02:46.540 --> 00:02:48.980]  譬如你在說話中肯定他
[00:02:48.980 --> 00:02:51.940]  譬如真誠地稱讚他
[00:02:51.940 --> 00:02:54.220]  不是擦鞋子般稱讚他
[00:02:54.220 --> 00:02:56.740]  譬如你可以送一些小禮物給他
[00:02:56.740 --> 00:03:00.460]  當然可以是車、房子也可以
[00:03:00.460 --> 00:03:03.300]  我想更加重要或者對於我們來說
[00:03:03.300 --> 00:03:04.740]  是Quality Time
[00:03:04.740 --> 00:03:06.020]  就是你很想
[00:03:06.020 --> 00:03:10.580]  怎樣讓身邊的人感覺到你愛他
[00:03:10.580 --> 00:03:14.220]  我老婆經常用這個term叫Togetherness
[00:03:14.220 --> 00:03:15.380]  其實沒什麼的
[00:03:15.380 --> 00:03:18.020]  一起,總之一起
