
[00:00:00.000 --> 00:00:02.000]  各位靈智媒平安
[00:00:02.000 --> 00:00:06.000]  感謝神我們再有機會一起回到神的家中
[00:00:06.000 --> 00:00:08.000]  一起來敬拜祂
[00:00:08.000 --> 00:00:10.000]  每一次每一次都是恩典
[00:00:10.000 --> 00:00:14.000]  我們為了這次的恩典再次感謝上帝
[00:00:14.000 --> 00:00:16.000]  在訊息之前大家跟我在一起祈禱
[00:00:16.000 --> 00:00:18.000]  我們同心仰望著
[00:00:18.000 --> 00:00:23.000]  主我們感謝祢
[00:00:23.000 --> 00:00:26.000]  我們可以有健康
[00:00:26.000 --> 00:00:28.000]  我們可以有平安
[00:00:28.000 --> 00:00:30.000]  回到祢的面前敬拜祢
[00:00:30.000 --> 00:00:32.000]  我們更加感謝祢
[00:00:32.000 --> 00:00:34.000]  我們到祢面前的時候
[00:00:34.000 --> 00:00:36.000]  我們不需要面對祢的震怒
[00:00:36.000 --> 00:00:38.000]  因為主耶穌祢的保血
[00:00:38.000 --> 00:00:40.000]  已經赦免我們的罪
[00:00:40.000 --> 00:00:44.000]  我們可以坦然來到見我們的神
[00:00:44.000 --> 00:00:46.000]  可以稱我們的神為我們的父
[00:00:46.000 --> 00:00:48.000]  我們天上的父
[00:00:48.000 --> 00:00:50.000]  我們感謝祢
[00:00:50.000 --> 00:00:52.000]  我們很願意我們在這個時刻
[00:00:52.000 --> 00:00:54.000]  我們心靈我們的身體
[00:00:54.000 --> 00:00:58.000]  我們整個人全心全意地敬拜祢
[00:00:58.000 --> 00:01:01.000]  也很盼望當我們離開這個地方的時候
[00:01:01.000 --> 00:01:05.000]  我們仍然在我們的生活行為當中敬拜祢
[00:01:05.000 --> 00:01:08.000]  主耶願祢圓壓我們的敬拜
[00:01:08.000 --> 00:01:10.000]  也願我們敬拜祢的時候
[00:01:10.000 --> 00:01:13.000]  主耶祢讓我們能夠聽見祢的微聲
[00:01:13.000 --> 00:01:15.000]  與祢相遇
[00:01:15.000 --> 00:01:18.000]  我們心靈領受祢給我們的教導
[00:01:18.000 --> 00:01:20.000]  提醒引導
[00:01:20.000 --> 00:01:24.000]  讓我們每一天每一天行在祢自己公義的路上
[00:01:24.000 --> 00:01:28.000]  天父願祢施恩賜福願斷的時間
[00:01:28.000 --> 00:01:32.000]  我們仰望祈禱奉主耶穌聖名祈求
[00:01:32.000 --> 00:01:34.000]  阿們
[00:01:34.000 --> 00:01:38.000]  我們今天繼續來欣賞詩篇的經文
[00:01:38.000 --> 00:01:40.000]  我們今天來到詩篇的48篇
[00:01:40.000 --> 00:01:45.000]  題目是我們在我們神的城中
[00:01:45.000 --> 00:01:47.000]  我想大家都會體會
[00:01:47.000 --> 00:01:49.000]  當我們領受了耶穌基督的福音的時候
[00:01:49.000 --> 00:01:53.000]  會體會到裡面有很奇妙
[00:01:53.000 --> 00:01:56.000]  或者說最奇妙的應許
[00:01:56.000 --> 00:02:01.000]  這個應許不單是說到神賜給我們救贖
[00:02:01.000 --> 00:02:06.000]  更加是救贖主住在我們的生命中
[00:02:06.000 --> 00:02:09.000]  與我們永遠同在
