
[00:00:00.000 --> 00:00:04.000]  請大家翻開路加坊的第一章
[00:00:04.000 --> 00:00:06.000]  剛才讀那段聖經
[00:00:06.000 --> 00:00:10.000]  這段經文我相信大家都很熟悉
[00:00:10.000 --> 00:00:13.000]  因為很多時候我們在聖誕節期間
[00:00:13.000 --> 00:00:15.000]  都會讀到經文
[00:00:15.000 --> 00:00:20.000]  關乎到天使能夠八百年
[00:00:20.000 --> 00:00:24.000]  去到報這個訊息
[00:00:24.000 --> 00:00:28.000]  首先是向撒加利亞顯現
[00:00:28.000 --> 00:00:32.000]  告訴你太太1月3日會懷孕
[00:00:32.000 --> 00:00:36.000]  將來的兒子施浸若寒
[00:00:36.000 --> 00:00:39.000]  這件事開始六個月
[00:00:39.000 --> 00:00:42.000]  加百年再一次出現
[00:00:42.000 --> 00:00:47.000]  出現向一個少女
[00:00:47.000 --> 00:00:49.000]  這個少女叫瑪利亞
[00:00:49.000 --> 00:00:51.000]  一個童女顯現
[00:00:51.000 --> 00:00:57.000]  一般當時說是十五六歲的少女
[00:00:57.000 --> 00:01:03.000]  瑪利亞當時已經許配了一個名叫約瑟的人
[00:01:03.000 --> 00:01:06.000]  當時猶太人的情況是
[00:01:06.000 --> 00:01:10.000]  許配是一個很嚴謹的事情
[00:01:10.000 --> 00:01:14.000]  比起現在的訂婚更加嚴謹
[00:01:14.000 --> 00:01:16.000]  差不多就是結婚了
[00:01:16.000 --> 00:01:20.000]  不過許配在一年內就會結婚
[00:01:20.000 --> 00:01:23.000]  所以是一個婚姻過程的開始
[00:01:23.000 --> 00:01:27.000]  但是在這裡的事情就發生了
[00:01:27.000 --> 00:01:32.000]  加百年竟然說一些特別的任務
[00:01:32.000 --> 00:01:35.000]  要給瑪利亞去完成
[00:01:35.000 --> 00:01:36.000]  對瑪利亞來說
[00:01:36.000 --> 00:01:42.000]  一個女孩子是很難去接受任務的
[00:01:42.000 --> 00:01:45.000]  所以看到她有很多驚惶
[00:01:45.000 --> 00:01:50.000]  看到她沒辦法去理解這件事情
[00:01:50.000 --> 00:01:53.000]  但是和瑪利亞最後的回應
[00:01:53.000 --> 00:01:54.000]  能夠去接受
[00:01:54.000 --> 00:01:56.000]  我們又體會到
[00:01:56.000 --> 00:01:58.000]  學習到瑪利亞這位
[00:01:58.000 --> 00:02:01.000]  背負基督的
[00:02:01.000 --> 00:02:03.000]  她能夠背負的責任
[00:02:03.000 --> 00:02:06.000]  一方面能夠幫助我們看到
