
[00:00:00.000 --> 00:00:03.720]  因為今天我們開始一個系列是講到敬拜的
[00:00:03.720 --> 00:00:05.020]  講到敬拜
[00:00:05.020 --> 00:00:06.720]  可能你第一次來教會
[00:00:06.720 --> 00:00:09.500]  或者你來了教會已經很多年了
[00:00:09.500 --> 00:00:11.700]  你是那些老差骨
[00:00:11.700 --> 00:00:15.040]  已經習慣了教會發生了什麼事
[00:00:15.040 --> 00:00:16.480]  你瞭如指掌
[00:00:16.480 --> 00:00:17.820]  那些老差骨
[00:00:17.820 --> 00:00:20.180]  都是需要知道什麼叫做敬拜的
[00:00:20.180 --> 00:00:23.000]  我們進來這裡吃完東西
[00:00:23.000 --> 00:00:24.020]  喝完咖啡
[00:00:24.020 --> 00:00:25.700]  然後我們唱幾首歌
[00:00:25.700 --> 00:00:26.580]  祈禱
[00:00:26.580 --> 00:00:27.660]  讀一下聖經
[00:00:27.660 --> 00:00:29.000]  聽道等等
[00:00:29.000 --> 00:00:30.460]  我們就說這個是敬拜
[00:00:30.460 --> 00:00:32.700]  敬拜是一回什麼事呢
[00:00:32.700 --> 00:00:35.400]  我希望在這個系列裡面
[00:00:35.400 --> 00:00:36.860]  跟大家思想一下
[00:00:36.860 --> 00:00:40.700]  因為之前幾年的疫情
[00:00:40.700 --> 00:00:43.400]  已經令到我們的敬拜生活
[00:00:43.400 --> 00:00:45.200]  是大受打擊了
[00:00:45.200 --> 00:00:45.880]  是不是
[00:00:45.880 --> 00:00:47.220]  我們墮落到一個地步
[00:00:47.220 --> 00:00:49.480]  躺在床上拿著手機
[00:00:49.480 --> 00:00:51.080]  我懷疑你了
[00:00:51.080 --> 00:00:52.380]  每個人都是這樣的
[00:00:52.380 --> 00:00:52.980]  拿著手機
[00:00:52.980 --> 00:00:53.600]  眼眸眸
[00:00:53.600 --> 00:00:54.240]  眼眉擦
[00:00:54.240 --> 00:00:56.320]  然後說你敬拜了
[00:00:56.320 --> 00:00:56.860]  是不是
[00:00:56.860 --> 00:00:58.760]  我們墮落到這樣的程度
[00:00:58.760 --> 00:00:59.820]  怎麼搞的
[00:00:59.820 --> 00:01:04.840]  我們不明白實體現場的重要位置
[00:01:04.840 --> 00:01:07.560]  昨晚我和我太太去了西加哥劇院
[00:01:07.560 --> 00:01:12.000]  我們看一個 stand up comedian
[00:01:12.000 --> 00:01:14.460]  那些 talk show
[00:01:14.460 --> 00:01:16.660]  幾千人在那裡
[00:01:16.660 --> 00:01:19.180]  和你 YouTube 看差多遠
