
[00:00:00.000 --> 00:00:03.220]  所以我們感謝神的恩典
[00:00:03.220 --> 00:00:05.220]  我們一起相聚 一起同行
[00:00:05.220 --> 00:00:07.280]  今天牧師為何不講《爾賽亞書》
[00:00:07.280 --> 00:00:08.380]  因為是延伸來的
[00:00:08.380 --> 00:00:12.980]  上一次我講的時候是約《爾賽亞書》第49章第6節
[00:00:12.980 --> 00:00:16.980]  我不知為何我很想講完這裡去做一個對應
[00:00:16.980 --> 00:00:19.140]  第49章講到什麼呢?
[00:00:19.140 --> 00:00:21.260]  講到今天沒有誣陷你《愛本聖經》
[00:00:21.260 --> 00:00:22.660]  因為我客行遲了回來
[00:00:22.660 --> 00:00:24.580]  沒有誣陷你《愛本聖經》
[00:00:24.580 --> 00:00:26.060]  第49章如果你讀的話
[00:00:26.060 --> 00:00:32.740]  亞國眾支派復興 使以色列中得保存的可以歸回
[00:00:32.740 --> 00:00:33.740]  是什麼呢?
[00:00:33.740 --> 00:00:36.180]  尚為小事
[00:00:36.180 --> 00:00:37.280]  什麼是大件事呢?
[00:00:37.280 --> 00:00:38.060]  大件事是
[00:00:38.060 --> 00:00:40.600]  我還要使你作外邦人的光
[00:00:40.600 --> 00:00:42.260]  叫你施行我的救恩
[00:00:42.260 --> 00:00:43.860]  直到地極
[00:00:43.860 --> 00:00:45.060]  施行救恩直到地極
[00:00:45.060 --> 00:00:46.580]  這些才是大件事
[00:00:46.580 --> 00:00:47.940]  其實是小事
[00:00:47.940 --> 00:00:49.940]  我們大小不分
[00:00:49.940 --> 00:00:53.020]  於是乎很多苦惱在生命當中
[00:00:53.020 --> 00:00:54.060]  不知你有沒有這個感覺
[00:00:54.060 --> 00:00:57.500]  多數是大事不著重
[00:00:57.500 --> 00:00:59.500]  小事經常針對著
[00:00:59.500 --> 00:01:01.300]  家裡經常爭吵
[00:01:01.300 --> 00:01:02.060]  如是
[00:01:02.060 --> 00:01:03.340]  或者我們自己生命都是
[00:01:03.340 --> 00:01:04.660]  樣樣都要
[00:01:04.660 --> 00:01:09.660]  你又想男朋友又帥又有錢又疼愛你
[00:01:09.660 --> 00:01:11.660]  韓劇才有這些東西
[00:01:11.660 --> 00:01:13.340]  平時在街上很少見
[00:01:13.340 --> 00:01:14.740]  但你樣樣都要
[00:01:14.740 --> 00:01:16.740]  你都要分哪樣是最重要
[00:01:16.740 --> 00:01:17.340]  哪些呢?
[00:01:17.340 --> 00:01:18.220]  有就好了
[00:01:18.220 --> 00:01:19.020]  有都是好的
[00:01:19.020 --> 00:01:19.820]  不是說不好
[00:01:19.820 --> 00:01:20.540]  沒有的話
[00:01:20.540 --> 00:01:21.900]  那就沒有了
[00:01:21.900 --> 00:01:23.420]  在這裡又講回頭
[00:01:23.420 --> 00:01:25.420]  牧師我接下來
[00:01:25.420 --> 00:01:26.540]  報告都有寫了
[00:01:26.540 --> 00:01:27.540]  今晚我走了
[00:01:27.540 --> 00:01:29.260]  今晚我就放假
[00:01:29.260 --> 00:01:31.020]  直到六月中才回來
[00:01:31.020 --> 00:01:33.340]  那麼大
[00:01:33.340 --> 00:01:34.700]  那麼激動
[00:01:34.700 --> 00:01:35.980]  喂
[00:01:35.980 --> 00:01:37.460]  我很少放假
