
[00:00:00.000 --> 00:00:03.000]  我們回到《馬太福音》第十六章
[00:00:03.000 --> 00:00:07.000]  我們一起思想這段經文今天向我們說什麼的話
[00:00:07.000 --> 00:00:10.000]  上星期音樂師帶我們去思想
[00:00:10.000 --> 00:00:14.000]  彼得認信耶穌是尼塞亞的一段經文
[00:00:14.000 --> 00:00:18.000]  這段經文是整卷《馬太福音》的高潮
[00:00:18.000 --> 00:00:22.000]  彼得在蓋薩利亞肥納比認信耶穌就是基督
[00:00:22.000 --> 00:00:26.000]  是尼塞亞,是永生神的兒子
[00:00:26.000 --> 00:00:32.000]  這個認信是一個分水嶺,也可以說是一個高峰
[00:00:32.000 --> 00:00:38.000]  這個認信令到耶穌在眾人面前稱讚彼得
[00:00:38.000 --> 00:00:43.000]  能夠說出神的啟示,好像昔日的先知一樣
[00:00:43.000 --> 00:00:46.000]  甚至被神的兒子親自稱讚
[00:00:46.000 --> 00:00:49.000]  成為天國的紮士人
[00:00:49.000 --> 00:00:51.000]  彼得在那一刻看到耶穌
[00:00:51.000 --> 00:00:57.000]  實在威度盡,不過前一分鐘的威度盡
[00:00:57.000 --> 00:01:01.000]  在下一分鐘就彈一聲掉到谷底
[00:01:01.000 --> 00:01:04.000]  本來是教會的盤石
[00:01:04.000 --> 00:01:06.000]  一下子成為了一個絆腳石
[00:01:06.000 --> 00:01:10.000]  甚至被耶穌罵他是撒旦,是魔鬼
[00:01:10.000 --> 00:01:15.000]  我們不知道彼得認信耶穌是基督這件事
[00:01:15.000 --> 00:01:18.000]  和耶穌是基督
[00:01:18.000 --> 00:01:23.000]  和耶穌預言自己受難相隔多久的時間
[00:01:23.000 --> 00:01:25.000]  不過福音書的作者
[00:01:25.000 --> 00:01:29.000]  似乎很刻意地將這兩件事放得很近
[00:01:29.000 --> 00:01:32.000]  做成一個很大的對比
[00:01:32.000 --> 00:01:35.000]  引子想,聖經記載的事情
[00:01:35.000 --> 00:01:38.000]  通常都很反映人性
[00:01:38.000 --> 00:01:42.000]  針研說,狂傲在跌倒之前
[00:01:42.000 --> 00:01:44.000]  彼得在這裡的經驗
[00:01:44.000 --> 00:01:47.000]  其實對我們今天都有很大的影響
[00:01:47.000 --> 00:01:50.000]  我們覺得在信仰上
[00:01:50.000 --> 00:01:53.000]  彷彿聽到神跟我們說話
[00:01:53.000 --> 00:01:56.000]  或者我們去完一些課程,一些特會
[00:01:56.000 --> 00:01:58.000]  我們覺得靈命很高漲
[00:01:58.000 --> 00:02:00.000]  甚至在侍奉上做了一些事
[00:02:00.000 --> 00:02:03.000]  被人讚到捧上天
[00:02:03.000 --> 00:02:05.000]  頂子妹我們要小心
[00:02:05.000 --> 00:02:10.000]  要警醒,不要飄飄然
[00:02:10.000 --> 00:02:12.000]  經文在第21節說
[00:02:12.000 --> 00:02:17.000]  從那時起,耶穌開始向門徒表明
[00:02:17.000 --> 00:02:19.000]  祂必須上耶路撒冷去
[00:02:19.000 --> 00:02:23.000]  在長老,祭司長和,律法教師的手下
[00:02:23.000 --> 00:02:25.000]  受很多的苦
[00:02:25.000 --> 00:02:28.000]  並且被殺害,第三天復活
[00:02:28.000 --> 00:02:34.000]  在這裡,耶穌提到一些聽起來好像很嚴重的事
[00:02:34.000 --> 00:02:37.000]  祂提到死,祂提到復活
[00:02:37.000 --> 00:02:42.000]  似乎這個死是有目的的死
[00:02:42.000 --> 00:02:44.000]  耶穌很清楚說明
[00:02:44.000 --> 00:02:48.000]  受苦和死是祂召命裡面的一部分
[00:02:48.000 --> 00:02:51.000]  經文接著說
[00:02:51.000 --> 00:02:53.000]  他說彼得聽到之後
[00:02:53.000 --> 00:02:55.000]  他將耶穌拉到一旁
[00:02:55.000 --> 00:02:57.000]  他責備耶穌
[00:02:57.000 --> 00:03:00.000]  他說主啊,絕對不能夠這樣
[00:03:00.000 --> 00:03:04.000]  這個事絕對不能夠臨到你身上
[00:03:04.000 --> 00:03:08.000]  說完這句話,耶穌就罵彼得
[00:03:08.000 --> 00:03:12.000]  撒旦,退我後面去吧
[00:03:12.000 --> 00:03:17.000]  如果用廣東話重新去演繹這句話
[00:03:17.000 --> 00:03:20.000]  其實就是,你給我滾開
[00:03:20.000 --> 00:03:23.000]  甚至乎再盡一點就是,你給我死開
[00:03:23.000 --> 00:03:25.000]  有那麼遠,死那麼遠
[00:03:25.000 --> 00:03:30.000]  曾經一道被耶穌稱為教會的盤石
[00:03:30.000 --> 00:03:33.000]  現在變為一個絆腳石
[00:03:33.000 --> 00:03:36.000]  因為彼得不思想神的事
[00:03:36.000 --> 00:03:40.000]  只是思想人的事
[00:03:40.000 --> 00:03:43.000]  我們就會想,為何神的兒子
[00:03:43.000 --> 00:03:45.000]  會用這麼嚴厲的字眼
[00:03:45.000 --> 00:03:50.000]  去罵一個跟從了自己兩年多的門徒
[00:03:50.000 --> 00:03:52.000]  我們記得,沒多久前
[00:03:52.000 --> 00:03:54.000]  耶穌稱讚彼得飛了上天
[00:03:54.000 --> 00:03:56.000]  我們知道罵人做撒旦
[00:03:56.000 --> 00:04:00.000]  罵人做魔鬼是很嚴重的事
[00:04:00.000 --> 00:04:03.000]  很多時候我們說,這個人是大魔頭
[00:04:03.000 --> 00:04:04.000]  是撒旦
[00:04:04.000 --> 00:04:06.000]  那個人一定是做了很多
[00:04:06.000 --> 00:04:08.000]  殺人如麻,傷天害理的事
[00:04:08.000 --> 00:04:10.000]  譬如我們想起的希特勒
[00:04:10.000 --> 00:04:13.000]  又或者是赤柬那兩個魔頭
[00:04:13.000 --> 00:04:15.000]  他做的事好像魔鬼一樣
[00:04:15.000 --> 00:04:17.000]  才會被人稱為撒旦
[00:04:17.000 --> 00:04:22.000]  說人是撒旦,是一件很嚴重的事
[00:04:22.000 --> 00:04:24.000]  彼得做了甚麼
[00:04:24.000 --> 00:04:28.000]  以至於要耶穌罵他是撒旦
[00:04:28.000 --> 00:04:30.000]  他的身體
[00:04:30.000 --> 00:04:33.000]  彼得只不過說了一句話
[00:04:33.000 --> 00:04:36.000]  意思就是叫耶穌你不要去死
[00:04:36.000 --> 00:04:37.000]  你不要去耶路撒冷死
[00:04:37.000 --> 00:04:41.000]  因為這件事實在太苦
[00:04:41.000 --> 00:04:42.000]  《四福音》記載
[00:04:42.000 --> 00:04:45.000]  耶穌曾經多次預言自己會死
[00:04:45.000 --> 00:04:47.000]  而來到《馬太福音》第十六章
[00:04:47.000 --> 00:04:49.000]  在這裡記載
[00:04:49.000 --> 00:04:51.000]  耶穌這次是明明白白地
[00:04:51.000 --> 00:04:55.000]  說出他使命其中的一個終局
[00:04:55.000 --> 00:04:57.000]  一個高峰
[00:04:57.000 --> 00:04:58.000]  《四福音》記載
[00:04:58.000 --> 00:05:00.000]  耶穌的事蹟
[00:05:00.000 --> 00:05:05.000]  全部都是聚焦在耶穌的死這一點上
[00:05:05.000 --> 00:05:10.000]  死是耶穌被召的一部分
[00:05:10.000 --> 00:05:12.000]  我們又想想
[00:05:12.000 --> 00:05:15.000]  如果我背負一個這樣的使命
[00:05:15.000 --> 00:05:18.000]  一生人只是為著這個使命
[00:05:18.000 --> 00:05:22.000]  一生人只是為著十字架這一點
[00:05:22.000 --> 00:05:25.000]  而這一刻來完成這個使命很近
[00:05:25.000 --> 00:05:28.000]  可以說是埋悶一腳
[00:05:28.000 --> 00:05:29.000]  但在這個時候
[00:05:29.000 --> 00:05:32.000]  一個跟自己很親近的門徒
[00:05:32.000 --> 00:05:33.000]  一個同路人
[00:05:33.000 --> 00:05:36.000]  竟然叫自己不要做
[00:05:36.000 --> 00:05:38.000]  耶穌的語氣這麼重
[00:05:38.000 --> 00:05:41.000]  其實反映他要做的這件事情
[00:05:41.000 --> 00:05:43.000]  是非常重要
[00:05:43.000 --> 00:05:47.000]  為什麼死對耶穌這麼重要
[00:05:47.000 --> 00:05:48.000]  耶穌的死
[00:05:48.000 --> 00:05:50.000]  是要為所有人捨己
[00:05:50.000 --> 00:05:51.000]  去背十架
[00:05:51.000 --> 00:05:57.000]  令所有原本都要死的人可以不用死
[00:05:57.000 --> 00:05:58.000]  我們就要問
[00:05:58.000 --> 00:06:02.000]  為什麼所有人都要死呢
[00:06:02.000 --> 00:06:03.000]  近日
[00:06:03.000 --> 00:06:05.000]  我跟良善區一班弟兄姊妹
[00:06:05.000 --> 00:06:07.000]  上次洪執事的課
[00:06:07.000 --> 00:06:09.000]  裡面提醒我們一件事
[00:06:09.000 --> 00:06:12.000]  他說要明白一個人的內心世界
[00:06:12.000 --> 00:06:14.000]  我們最好要多些了解
[00:06:14.000 --> 00:06:16.000]  他的原生家庭
[00:06:16.000 --> 00:06:18.000]  他的成長經歷
[00:06:18.000 --> 00:06:21.000]  今天我們要了解
[00:06:21.000 --> 00:06:24.000]  死為什麼對神的兒子耶穌這麼重要
[00:06:24.000 --> 00:06:29.000]  我們一定要回到聖經大故事的起源
[00:06:29.000 --> 00:06:31.000]  就是創世紀
