
[00:00:00.000 --> 00:00:02.000]  (主席)Hello,大家好
[00:00:02.000 --> 00:00:04.000]  其實每年來一次
[00:00:04.000 --> 00:00:12.000]  其實我是12年前就參加了東涌開東涌堂
[00:00:12.000 --> 00:00:20.000]  接下來就不是很多機會再在銅鑼灣堂那邊跟弟兄姊妹分享
[00:00:20.000 --> 00:00:24.000]  所以很多東西都已經忘記得七七八八了
[00:00:24.000 --> 00:00:26.000]  現在很多東西都忘記了
[00:00:26.000 --> 00:00:31.000]  但是每次來到都很歡喜,為什麼呢?
[00:00:31.000 --> 00:00:36.000]  因為我仍然可以用上帝的話語去服侍大家
[00:00:36.000 --> 00:00:40.000]  今天會和大家繼續看《生命記》
[00:00:40.000 --> 00:00:50.000]  頭四個題目都是在說上帝在上一代怎樣去下一代傳達他的心
[00:00:50.000 --> 00:00:57.000]  我想起我去年2025年我自己做了一件最大的project
[00:00:57.000 --> 00:01:00.000]  就是看了一本七八頁的書
[00:01:00.000 --> 00:01:04.000]  由年頭買了之後看到年尾,終於看完了
[00:01:04.000 --> 00:01:07.000]  不是中間太難看,我丟下了
[00:01:07.000 --> 00:01:11.000]  因為每一章的段落我覺得都很精彩
[00:01:11.000 --> 00:01:12.000]  是一本什麼書呢?
[00:01:12.000 --> 00:01:14.000]  這本書是說香港的
[00:01:14.000 --> 00:01:17.000]  叫做《香港村樂與鄉鎮,墜落與歷史》
[00:01:17.000 --> 00:01:21.000]  大家可能沒有興趣,你覺得是這樣的東西都看
[00:01:21.000 --> 00:01:24.000]  但是我很喜歡看這樣的作品
[00:01:24.000 --> 00:01:31.000]  說香港原來自己土生土長的地方原來有這樣的歷史出現
[00:01:31.000 --> 00:01:37.000]  那個作者叫做夏思怡,Patrick Hayes
[00:01:37.000 --> 00:01:42.000]  他本身是一個官
[00:01:42.000 --> 00:01:48.000]  1972年他就派來香港做李文輔的官員
[00:01:48.000 --> 00:01:57.000]  任內他做的事情就是去不同的新界的鄉村和那裡的居民聊天
[00:01:57.000 --> 00:01:58.000]  了解他們的需要
[00:01:58.000 --> 00:02:02.000]  然後到政府要推行任何政策的時候
[00:02:02.000 --> 00:02:04.000]  然後就給一些意見
[00:02:04.000 --> 00:02:07.000]  知道村民大致上是怎麼想的
[00:02:07.000 --> 00:02:12.000]  因為他本身就是一個歷史系出身的學者
[00:02:12.000 --> 00:02:17.000]  所以他就很能夠將這些情況表達出來
[00:02:17.000 --> 00:02:26.000]  也都很容易把這些檔案文件成為了他研究的材料
[00:02:26.000 --> 00:02:28.000]  我很佩服的
[00:02:28.000 --> 00:02:32.000]  因為他不只是工作的時候留在香港
[00:02:32.000 --> 00:02:34.000]  他退休之後都留在香港
[00:02:34.000 --> 00:02:39.000]  他的書是在香港寫成的
[00:02:39.000 --> 00:02:43.000]  他還是一口流利的語言
[00:02:43.000 --> 00:02:45.000]  如果大家在上網看那些影片
[00:02:45.000 --> 00:02:49.000]  他很多時候都會用廣東話去說
[00:02:49.000 --> 00:02:50.000]  看完之後我覺得
[00:02:50.000 --> 00:02:52.000]  長知識之餘
[00:02:52.000 --> 00:02:54.000]  不僅覺得自愧不如
[00:02:54.000 --> 00:02:58.000]  為什麼自己地方這麼多東西我都不懂
[00:02:58.000 --> 00:03:00.000]  這麼多東西都不知道
[00:03:00.000 --> 00:03:04.000]  近到我以前小時候住的深水埗
[00:03:04.000 --> 00:03:07.000]  原來深水埗有發生過這樣的事
[00:03:07.000 --> 00:03:10.000]  怎麼來的我都完全不知道
[00:03:10.000 --> 00:03:15.000]  我對選擇去香港
[00:03:15.000 --> 00:03:20.000]  在香港入鄉隨俗的外國人我是特別尊敬的
[00:03:20.000 --> 00:03:23.000]  尤其是這幾十年來的話
[00:03:23.000 --> 00:03:26.000]  如果你是這幾十年才來香港的話
[00:03:26.000 --> 00:03:31.000]  其實懂得選擇的話就應該不會選擇留在香港
[00:03:31.000 --> 00:03:34.000]  市場你要找的職位
[00:03:34.000 --> 00:03:36.000]  你要找的工作等等
[00:03:36.000 --> 00:03:38.000]  應該不會選擇留在香港
[00:03:38.000 --> 00:03:42.000]  選擇內地應該好很多
[00:03:42.000 --> 00:03:45.000]  就好像這位夏思怡
[00:03:45.000 --> 00:03:49.000]  其實如果她要申請研究經費
[00:03:49.000 --> 00:03:51.000]  其實現在在大學裏面
[00:03:51.000 --> 00:03:55.000]  要申請關於香港題目的經費
[00:03:55.000 --> 00:03:57.000]  我想都不是這麼容易可以拿到
[00:03:57.000 --> 00:04:00.000]  香港生活又這麼貴
[00:04:00.000 --> 00:04:03.000]  廣東話又這麼難學
[00:04:03.000 --> 00:04:05.000]  大家知不知道廣東話很難學
[00:04:05.000 --> 00:04:07.000]  我問那些人
[00:04:07.000 --> 00:04:10.000]  原來他們覺得是一件很困難的事
[00:04:10.000 --> 00:04:14.000]  所以有時候見到YouTube
[00:04:14.000 --> 00:04:17.000]  彈很多懂得講廣東話的外國人
[00:04:17.000 --> 00:04:19.000]  我覺得又是特別的尊敬
[00:04:19.000 --> 00:04:21.000]  這麼厲害的
[00:04:21.000 --> 00:04:23.000]  願意肯落腳之餘
[00:04:23.000 --> 00:04:26.000]  還入鄉隨俗學我們那些話
[00:04:26.000 --> 00:04:28.000]  我覺得真是特別的尊敬
[00:04:28.000 --> 00:04:33.000]  所以我說入鄉隨俗其實是一件很受尊敬的事
[00:04:33.000 --> 00:04:38.000]  我想我們身邊有些外地的朋友來到香港
[00:04:38.000 --> 00:04:39.000]  落腳起爐的話
[00:04:39.000 --> 00:04:43.000]  我們都會對他們的選擇感到很佩服
[00:04:43.000 --> 00:04:46.000]  但是連結到今天我說的這段經文
[00:04:46.000 --> 00:04:49.000]  反而就是在《生命記》裏面
[00:04:49.000 --> 00:04:52.000]  他就要警告一班以色列民
[00:04:52.000 --> 00:04:54.000]  千萬不要入鄉隨俗
[00:04:54.000 --> 00:04:58.000]  不要跟隨之餘
[00:04:58.000 --> 00:05:02.000]  就是要除滅當地的風俗
[00:05:02.000 --> 00:05:05.000]  入鄉隨俗
[00:05:05.000 --> 00:05:08.000]  我們接著的經文
[00:05:08.000 --> 00:05:14.000]  我選了在《生命記》第四章第十五到三十節
[00:05:14.000 --> 00:05:16.000]  不過我再篩選一下
[00:05:16.000 --> 00:05:20.000]  有些相關的我們才拿出來看
[00:05:20.000 --> 00:05:23.000]  經文都好幾版
[00:05:23.000 --> 00:05:26.000]  不如我讀一版的經文
[00:05:26.000 --> 00:05:30.000]  各位弟兄姊妹你幫我讀一版一版
[00:05:30.000 --> 00:05:31.000]  我先讀
[00:05:31.000 --> 00:05:32.000]  大家跟著
[00:05:32.000 --> 00:05:34.000]  我們先來讀第一版
[00:05:34.000 --> 00:05:36.000]  第十五節開始
[00:05:36.000 --> 00:05:39.000]  因為上主在河列
[00:05:39.000 --> 00:05:42.000]  從火中對你們說話的那天
[00:05:42.000 --> 00:05:44.000]  你們並沒有看見任何形象
[00:05:44.000 --> 00:05:48.000]  所以你們要竭力保守自己的心靈
[00:05:48.000 --> 00:05:50.000]  免得你們敗壞自己
[00:05:50.000 --> 00:05:53.000]  為自己做各樣形象的偶像
[00:05:53.000 --> 00:05:56.000]  就像是男人女人的模樣
