
[00:00:00.000 --> 00:00:02.000]  大英姐妹,早晨!
[00:00:02.000 --> 00:00:04.000]  這邊也有
[00:00:04.000 --> 00:00:06.000]  很開心
[00:00:06.000 --> 00:00:08.000]  第三課
[00:00:08.000 --> 00:00:10.000]  來到大家當中
[00:00:10.000 --> 00:00:12.000]  今天我知道你們是感恩主日
[00:00:12.000 --> 00:00:14.000]  所以我選擇了這節經文
[00:00:14.000 --> 00:00:16.000]  讓我一生中
[00:00:16.000 --> 00:00:18.000]  都是充滿感恩的一節經文
[00:00:18.000 --> 00:00:22.000]  話說1975年
[00:00:22.000 --> 00:00:24.000]  我信耶穌
[00:00:24.000 --> 00:00:26.000]  當時
[00:00:26.000 --> 00:00:28.000]  我是因為跟爸爸有一個很大的衝突
[00:00:28.000 --> 00:00:30.000]  我爸爸是個精神病患者
[00:00:30.000 --> 00:00:34.000]  衝突大到一個地步
[00:00:34.000 --> 00:00:36.000]  爸爸不認我做女兒
[00:00:36.000 --> 00:00:38.000]  因為他看了我寫的日記
[00:00:38.000 --> 00:00:40.000]  你知道我喜歡寫東西
[00:00:40.000 --> 00:00:42.000]  我就說,我很想他死
[00:00:42.000 --> 00:00:44.000]  因為我接受不到一個這樣的爸爸
[00:00:44.000 --> 00:00:46.000]  爸爸看完之後
[00:00:46.000 --> 00:00:48.000]  當晚就跟我說
[00:00:48.000 --> 00:00:50.000]  女兒,你不要再叫我做爸爸
[00:00:50.000 --> 00:00:52.000]  我不認你做女兒
[00:00:52.000 --> 00:00:54.000]  當時我跪下
[00:00:54.000 --> 00:00:56.000]  我說,爸爸
[00:00:56.000 --> 00:00:58.000]  對不起,我不是故意的
[00:00:58.000 --> 00:01:00.000]  他說,你整行在寫
[00:01:00.000 --> 00:01:02.000]  I want my daddy to die
[00:01:02.000 --> 00:01:04.000]  即是我寫英文
[00:01:04.000 --> 00:01:06.000]  他說,白紙黑字
[00:01:06.000 --> 00:01:08.000]  你不可以說你沒有心
[00:01:08.000 --> 00:01:10.000]  你出去,你不要再叫我爸爸
[00:01:10.000 --> 00:01:12.000]  當晚
[00:01:12.000 --> 00:01:14.000]  我去了
[00:01:14.000 --> 00:01:16.000]  洗手間
[00:01:16.000 --> 00:01:18.000]  我媽媽說,你進洗手間
