
[00:00:00.000 --> 00:00:02.660]  我很喜歡聖誕節
[00:00:02.660 --> 00:00:05.800]  記得小時候在香港收到一些聖誕卡
[00:00:05.800 --> 00:00:07.500]  那時候的聖誕卡是用紙做的
[00:00:07.500 --> 00:00:09.500]  不是電腦彈出來的
[00:00:09.500 --> 00:00:17.600]  很多時候見到平安夜的寧靜的夜景
[00:00:17.600 --> 00:00:20.000]  在雪地當中有間屋
[00:00:20.000 --> 00:00:24.000]  屋裏面就散發出黃色的溫暖的燈光
[00:00:24.000 --> 00:00:27.000]  中學畢業後去加拿大讀書
[00:00:27.000 --> 00:00:28.300]  就真的見到這樣的情景
[00:00:28.300 --> 00:00:30.300]  不過是凍到飛起
[00:00:30.300 --> 00:00:32.000]  那時候收到聖誕卡
[00:00:32.000 --> 00:00:38.700]  就是香港維多利亞海港的燈光璀璨的夜景
[00:00:38.700 --> 00:00:40.500]  最後回到香港
[00:00:40.500 --> 00:00:43.800]  其實最開心就是和大家一起度聖誕
[00:00:43.800 --> 00:00:46.000]  今年是第七個聖誕節
[00:00:46.000 --> 00:00:48.000]  我在香港度過
[00:00:48.000 --> 00:00:50.500]  有同學說七就代表完
[00:00:50.500 --> 00:00:53.200]  完就是完美不是完結
[00:00:53.200 --> 00:00:54.400]  感謝神
[00:00:54.400 --> 00:00:57.400]  其實最開心是和大家一起
[00:00:57.400 --> 00:00:59.400]  你們的笑語歌聲
[00:00:59.400 --> 00:01:02.400]  是溝通我的心緣
[00:01:02.400 --> 00:01:05.400]  不過聖誕節最能夠溝通我們的心緣的
[00:01:05.400 --> 00:01:07.400]  是耶穌基督
[00:01:07.400 --> 00:01:09.400]  但我留意到
[00:01:09.400 --> 00:01:13.000]  聖經裏面很多時候提到耶穌基督神的兒子降生
[00:01:13.000 --> 00:01:18.400]  不過聚述到基督小時候
[00:01:18.400 --> 00:01:22.900]  就是頭一年兩年的地方就很少
[00:01:22.900 --> 00:01:28.400]  很少地方記載耶穌基督幼年時代
[00:01:28.400 --> 00:01:31.400]  我們看若翰福音
[00:01:31.400 --> 00:01:35.400]  馬可福音就沒有記載耶穌基督小時候
[00:01:35.400 --> 00:01:41.400]  馬太福音就記載到博士來朝
[00:01:41.400 --> 00:01:43.400]  剛才主席和我們讀的
[00:01:43.400 --> 00:01:48.400]  路加福音就記載到牧人來探訪耶穌基督
[00:01:48.400 --> 00:01:51.400]  不如我現在考大家一個問題
[00:01:51.400 --> 00:01:55.400]  究竟是博士先到耶穌基督那裏
[00:01:55.400 --> 00:01:57.400]  還是牧人先到那裏?
[00:01:57.400 --> 00:02:00.400]  你有三個答案給你選擇
[00:02:00.400 --> 00:02:04.400]  第一是博士先到
[00:02:04.400 --> 00:02:07.400]  因為那幅畫都畫成這樣
[00:02:07.400 --> 00:02:10.400]  第二是牧人先到
[00:02:10.400 --> 00:02:13.400]  第三是兩個人一起到
[00:02:13.400 --> 00:02:15.400]  因為那顆星就帶了他們來
[00:02:15.400 --> 00:02:17.400]  如果你想好了
[00:02:17.400 --> 00:02:21.400]  博士先到請你舉手
[00:02:21.400 --> 00:02:22.400]  有
[00:02:22.400 --> 00:02:24.400]  牧人先到
[00:02:24.400 --> 00:02:26.400]  都有
[00:02:26.400 --> 00:02:28.400]  兩個人一起到
[00:02:28.400 --> 00:02:31.400]  這個都不少
[00:02:31.400 --> 00:02:36.400]  正確答案應該是牧人先到
[00:02:36.400 --> 00:02:38.400]  因為如果你看路加福音
