
[00:00:00.000 --> 00:00:02.280]  鼎志媒主內平安
[00:00:02.280 --> 00:00:05.600]  如果你看到
[00:00:05.600 --> 00:00:09.200]  蛻變的時候,你會想到什麼呢?
[00:00:09.200 --> 00:00:13.560]  蛻變呢,如果我翻查字典呢
[00:00:13.560 --> 00:00:15.300]  怎麼去形容蛻變呢?
[00:00:15.300 --> 00:00:17.660]  它是由一種的狀態
[00:00:17.660 --> 00:00:19.960]  轉到另外一種狀態
[00:00:19.960 --> 00:00:22.640]  而這兩個狀態之間呢
[00:00:22.640 --> 00:00:25.040]  是有很明顯的不同的
[00:00:25.040 --> 00:00:27.960]  就是說,由第一種狀態轉到第二種狀態
[00:00:27.960 --> 00:00:31.480]  兩種狀態是完全不同的情況來出現的
[00:00:31.480 --> 00:00:34.400]  或者當我們看到蛻變這個字的時候
[00:00:34.400 --> 00:00:36.200]  我們就會想到
[00:00:36.200 --> 00:00:39.080]  蟲變成了蝴蝶,是不是?
[00:00:39.080 --> 00:00:41.800]  大家怕不怕蟲呢?
[00:00:41.800 --> 00:00:43.640]  很大條的蟲,是不是?
[00:00:43.640 --> 00:00:46.200]  蟲
[00:00:46.200 --> 00:00:47.920]  由
[00:00:47.920 --> 00:00:51.220]  它慢慢生長,生長到
[00:00:51.220 --> 00:00:54.000]  它生命的某一天,它停止
[00:00:54.000 --> 00:00:56.760]  再是一條蟲了,然後它開始吐屍
[00:00:56.760 --> 00:00:59.060]  然後將自己捲捲捲捲捲
[00:00:59.060 --> 00:01:03.200]  捲成了一個繭來收藏自己在裡面
[00:01:03.200 --> 00:01:06.120]  跟外界隔絕了
[00:01:06.120 --> 00:01:09.700]  當中發生了什麼事呢?
[00:01:09.700 --> 00:01:12.200]  表面上是看不到的
[00:01:12.200 --> 00:01:14.060]  因為封了在裡面,是不是?
[00:01:14.060 --> 00:01:16.020]  但我相信一定會發生一些事
[00:01:16.020 --> 00:01:17.740]  如果不是,它就不會後來
[00:01:17.740 --> 00:01:20.100]  因為破繭而出的時候
[00:01:20.100 --> 00:01:21.620]  就成為
[00:01:21.620 --> 00:01:24.240]  一隻很漂亮的蝴蝶
[00:01:24.960 --> 00:01:26.860]  蟲,雖然你不怕
[00:01:26.860 --> 00:01:28.900]  但也不會特別喜歡,是不是?
[00:01:28.900 --> 00:01:32.940]  但是蝴蝶,我相信沒多少人會抗拒
[00:01:32.940 --> 00:01:35.740]  很多人就專誠去到某些地方
[00:01:35.740 --> 00:01:37.640]  就去專拍蝴蝶
[00:01:37.640 --> 00:01:39.380]  因為它的姿態
[00:01:39.380 --> 00:01:40.720]  它的顏色
[00:01:40.720 --> 00:01:43.960]  的變化實在是千變萬化
[00:01:43.960 --> 00:01:45.860]  是很討人歡喜的
[00:01:45.860 --> 00:01:48.000]  推邊
[00:01:48.000 --> 00:01:50.900]  如果用剛才那個形容
[00:01:50.900 --> 00:01:52.720]  就是由一種的狀態
[00:01:52.720 --> 00:01:55.780]  轉到另一個完全不同的狀態
[00:01:55.780 --> 00:01:57.400]  我相信推邊
[00:01:57.400 --> 00:02:02.500]  不僅可以在昆蟲的生命裡面看到
[00:02:02.500 --> 00:02:05.940]  我們也可以在人的生命裡面
[00:02:05.940 --> 00:02:07.520]  看到有這樣的推邊
