
[00:00:00.000 --> 00:00:03.440]  我哋仍然喺度睇緊呢個御府旗
[00:00:03.440 --> 00:00:05.120]  呢一個嘅時間
[00:00:05.120 --> 00:00:07.680]  就係受難節之前
[00:00:07.680 --> 00:00:10.800]  復活節之前嗰四十幾日嘅時間
[00:00:10.800 --> 00:00:12.480]  四十日到嘅時間
[00:00:12.480 --> 00:00:15.120]  亦都英文叫呢個叫做Lent
[00:00:15.120 --> 00:00:17.280]  係春天咁嘅意思
[00:00:17.280 --> 00:00:20.960]  呢一個嘅時節呢一個嘅階段
[00:00:20.960 --> 00:00:24.640]  大公教會都係鼓勵弟兄姊妹
[00:00:24.640 --> 00:00:27.120]  係有呢一個嘅刻苦己心
[00:00:27.120 --> 00:00:30.040]  反省同埋行善嘅
[00:00:30.040 --> 00:00:32.040]  一個優秀嘅傳統
[00:00:32.040 --> 00:00:34.880]  喺今日我哋思想呢一個經文呢
[00:00:34.880 --> 00:00:38.480]  其實都係對我哋有一個好重要嘅提醒嘅作用
[00:00:38.480 --> 00:00:42.480]  特別係關乎罪嘅問題
[00:00:42.480 --> 00:00:44.480]  在呢一個嘅世代
[00:00:44.480 --> 00:00:47.040]  人係相當之自負
[00:00:47.040 --> 00:00:49.520]  人係喜歡為所欲為
[00:00:49.520 --> 00:00:54.960]  人係唔鍾意聽見上帝嘅嚴厲
[00:00:54.960 --> 00:00:59.760]  但係我哋無辦法迴避聖經清楚嘅教訓
[00:00:59.760 --> 00:01:02.480]  喺呢一段嘅經文裏面
[00:01:02.480 --> 00:01:05.360]  我哋真係要好好地反省
[00:01:05.360 --> 00:01:08.160]  到底我哋所認識嘅上帝
[00:01:08.160 --> 00:01:11.680]  同埋呢度所講嘅上帝係咪同一位呢
[00:01:11.680 --> 00:01:16.400]  在教會歷史裏面曾經有人覺得
[00:01:16.400 --> 00:01:19.200]  舊約所講嘅呢個上帝
[00:01:19.200 --> 00:01:21.360]  人哋講一個怨言
[00:01:21.360 --> 00:01:24.000]  然後佢就派火蛇去咬死人
[00:01:24.000 --> 00:01:25.920]  啲咩上帝嚟㗎
[00:01:25.920 --> 00:01:28.720]  我淨係要新約嘅耶穌
[00:01:28.720 --> 00:01:31.360]  唔要舊約嘅上帝
[00:01:31.360 --> 00:01:34.640]  到底上帝係咪真係咁可怕
[00:01:34.640 --> 00:01:36.880]  係咪真係一個咁小器
[00:01:36.880 --> 00:01:38.320]  咁小心眼
[00:01:38.320 --> 00:01:42.480]  而且係一個咁控制唔到自己脾氣嘅一位呢
