
[00:00:00.000 --> 00:00:10.000]  我今天跟大家來看的經文在《生命紀》的第六章,第一節到第九節,第一節到第九節。
[00:00:10.000 --> 00:00:17.000]  我希望透過這個經文能夠給大家能夠看到,我們今天作為父親的,我們也都需要被鼓勵,
[00:00:17.000 --> 00:00:28.000]  我們要傳心,要為下一代做出最好的努力,讓下一代能夠承接最美好的禮物。
[00:00:28.000 --> 00:00:35.000]  《生命紀》的第六章,第一到第九節,讓我在這個時候跟大家來念這個經文。
[00:00:35.000 --> 00:00:44.000]  這是耶和華你們的神所吩咐,教訓你們的誡命,律例,典章,
[00:00:44.000 --> 00:00:50.000]  使你們在所要過去得為業的地方遵行,
[00:00:50.000 --> 00:01:01.000]  好讓你跟你的子子孫孫一生敬畏耶和華你的上帝,謹守他的一切律例誡命,
[00:01:01.000 --> 00:01:08.000]  這是我所吩咐你的,使你的日子得以長久。
[00:01:08.000 --> 00:01:15.000]  第三節,以現在你要聽,要謹守遵行,
[00:01:15.000 --> 00:01:22.000]  使你可以在那流來與蜜之地得以享福,人數及其增多,
[00:01:22.000 --> 00:01:26.000]  正如耶和華你列祖的上帝所應許你的。
[00:01:26.000 --> 00:01:33.000]  以現在你要聽,耶和華我們的上帝是獨一的主,
[00:01:33.000 --> 00:01:37.000]  你要盡心盡性盡力愛耶和華你的上帝。
[00:01:37.000 --> 00:01:46.000]  我今天所吩咐你的話,都要記在心上,也要殷勤教訓你的兒女,
[00:01:46.000 --> 00:01:54.000]  無論你坐在家裡,行在路上,躺下,起來,都要坦認,
[00:01:54.000 --> 00:01:59.000]  也要繫在手上為記號,戴在耳上為經文,
[00:01:59.000 --> 00:02:04.000]  要寫在你的房屋的門框上,並你的城門上。
[00:02:04.000 --> 00:02:09.000]  這個經文的背景是摩西在摩鴉平原的裡面,
[00:02:09.000 --> 00:02:14.000]  還沒有帶領以色列的百姓進到應許之地的時候,
[00:02:14.000 --> 00:02:20.000]  特別再次重新來吩咐以色列的百姓,如何遵守上帝的誡命。
[00:02:20.000 --> 00:02:28.000]  他們所需要的是要聽,要聽從,要遵行當中的事節,
[00:02:28.000 --> 00:02:40.000]  好叫他們能夠享受當地為業,並且能夠享受以後幾代往後世世代代的恩福。
[00:02:40.000 --> 00:02:46.000]  今天這個經文裡面特別講到,原來以色列的百姓有這個恩典,
[00:02:46.000 --> 00:02:51.000]  能夠進入應許之地,但是他們的下一代又怎麼樣?
[00:02:51.000 --> 00:02:54.000]  在座的裡面我們都是成年人,
[00:02:54.000 --> 00:02:59.000]  我們也是在我們的生活裡面曾經遇見的主耶穌基督,
[00:02:59.000 --> 00:03:03.000]  生命有盼望,也曉得這位獨一的真神是誰。
[00:03:03.000 --> 00:03:08.000]  但是往往你跟我在生活裡面都遭遇到,
[00:03:08.000 --> 00:03:12.000]  當下一代要跟著我們奔跑信仰的道路的時候,
[00:03:12.000 --> 00:03:19.000]  他們有些時候也都失迷了,也都不知道從何進到這個應許之地。
[00:03:19.000 --> 00:03:23.000]  當小孩子進到大學,你就發覺到你開始憂愁,
[00:03:23.000 --> 00:03:29.000]  當他們進到事業的這個黑暗的範圍裡面,你會擔心他們。
[00:03:29.000 --> 00:03:36.000]  所以今天不僅僅是我們親自看過神蹟,親自經歷過福音的第一代,
[00:03:36.000 --> 00:03:40.000]  我們需要在當中被提醒遵行神的話語,
[00:03:40.000 --> 00:03:45.000]  我們更要在背後的裡面看見我們的下一代又如何。
[00:03:45.000 --> 00:03:56.000]  若是今天在陽光的底下沒有聚焦,我們就沒有辦法產生火。
[00:03:56.000 --> 00:04:03.000]  若是水滴沒有辦法匯到河流裡面,
[00:04:03.000 --> 00:04:07.000]  就沒有辦法成為人積河的泉源。
[00:04:07.000 --> 00:04:17.000]  若是石頭不被收粘起來,就沒有辦法建造城池保護當地的人。
[00:04:17.000 --> 00:04:26.000]  若是年輕人沒有在目標跟真理上有所帶領的話,
[00:04:26.000 --> 00:04:31.000]  他也不能夠成為下一代的橋樑,成為別人的主輔。
[00:04:31.000 --> 00:04:38.000]  若是一個家庭不繼續持續地在真理的當中培養下一代,
[00:04:38.000 --> 00:04:45.000]  照會不以門徒訓練,幫助新來的人來建造生命的話,
[00:04:45.000 --> 00:04:53.000]  我們也沒有辦法在我們的家庭跟社會裡面能夠建立出金錢的帶領群。
[00:04:53.000 --> 00:05:01.000]  所以今天我們如何教訓下一代,帶領下一代進入豐富的應許之地,
[00:05:01.000 --> 00:05:05.000]  這個正是我們做父親需要思考的題目。
[00:05:05.000 --> 00:05:13.000]  我相信在座的裡面,我們知道一點點,但是我們不知道怎麼樣去教導。
[00:05:13.000 --> 00:05:19.000]  好像我們今天藉助摩西對他的白星的吩咐,我們在其中得著一些的幫助。
[00:05:19.000 --> 00:05:26.000]  我們當要如何來教養下一代進入他們的豐富的這一代裡面,
[00:05:26.000 --> 00:05:31.000]  我們如何能夠建造下一代,讓他們能夠得著神的豐富呢?
[00:05:31.000 --> 00:05:37.000]  我相信第一個我們需要詳細地,用心地來考量的地方,
[00:05:37.000 --> 00:05:44.000]  就是我們需要教導我們的下一代,我們用什麼來教導下一代?
[00:05:44.000 --> 00:05:50.000]  我們應該用正確的事來教養下一代。
[00:05:50.000 --> 00:05:59.000]  在聖明紀第六章的第一節,這裡說這是由華你們的上帝所吩咐的,
[00:05:59.000 --> 00:06:06.000]  吩咐些什麼?就講到教導的這個內容,你們要教訓他們什麼?
[00:06:06.000 --> 00:06:15.000]  誡命、律例、典章。原來教導的內容,給教導更重要。
[00:06:15.000 --> 00:06:25.000]  今天在這個經文裡面,摩西不用別的,就只用了這個十誡中的教導,
[00:06:25.000 --> 00:06:33.000]  由太陽生活當中信仰的準則,來幫助我們如何來看,教養下一代。
[00:06:33.000 --> 00:06:40.000]  原來在新約律裡面,耶穌又重複地講到愛神跟愛人的重要。
[00:06:40.000 --> 00:06:46.000]  所以在舟約律裡面,這個十誡是神所給我們信仰的生活當中的準則,
[00:06:46.000 --> 00:06:50.000]  也成為我們今天基督徒生活中的準則。
[00:06:50.000 --> 00:06:54.000]  你知道今天我們為什麼不能夠以十誡來教導下一代?
[00:06:54.000 --> 00:07:00.000]  是因為我們存在著一個的誤解,我們以為今天真理的部分,
[00:07:00.000 --> 00:07:06.000]  是透過最新的科學的期刊,我們可以找出來。
[00:07:06.000 --> 00:07:16.000]  所以我們否定了佛式的,在舟約中,這個十誡當中對我們教養的豐富。
[00:07:16.000 --> 00:07:23.000]  有一些人這樣覺得,十誡嘛,過了十,十誡嘛,是宗教律,跟生活沒有關係。
[00:07:23.000 --> 00:07:33.000]  但是少數清楚地看見十誡,就曉得十誡裡面把我們人類所有的經驗都放在裡面去。
[00:07:33.000 --> 00:07:41.000]  在十誡當中的第一到第四誡,講到我們如何明白神跟與別人的關係。
[00:07:41.000 --> 00:07:47.000]  所以第一誡說,不能有別的神,不能有偶像,
[00:07:47.000 --> 00:07:53.000]  不要忘親爺華的名字,要謹守安十日。
[00:07:53.000 --> 00:07:59.000]  這個是講到我們人當中認識神以後的生命中的最重要的關係。
[00:07:59.000 --> 00:08:07.000]  第五誡講到,如何來尊敬神在家庭生活給我們的傳統,
[00:08:07.000 --> 00:08:10.000]  所以你們要孝敬父母。
[00:08:10.000 --> 00:08:17.000]  第六誡講到,如何尊重生命,所以不能殺人。
[00:08:17.000 --> 00:08:27.000]  第七誡講到,我們不能夠犯奸淫,是讓我們重新看見婚姻的界限跟重要性。
[00:08:27.000 --> 00:08:29.000]  我們不要偷。
[00:08:29.000 --> 00:08:34.000]  第八誡是特別的講到,我們應該對財物有一個正確的了解,
[00:08:34.000 --> 00:08:39.000]  免得我們成為錢財中的奴隸。
[00:08:39.000 --> 00:08:49.000]  第九誡講到,不要做假的見證,是說明真理跟誠實在人生命整體中的關係的重要性。
[00:08:49.000 --> 00:09:00.000]  到最後講到,不要貪婪,是講到我們需要重新面對我們人的動機,凡事物的動機。
[00:09:00.000 --> 00:09:09.000]  所以親愛的弟兄姊妹,若是我們能夠明白這些十誡裡面,是把我們人所有的關係連在一處的話,
[00:09:09.000 --> 00:09:17.000]  你會發覺到今天,我們真的需要從十誡的這個範圍當中,來講論到如何的愛神,如何的愛人。
[00:09:17.000 --> 00:09:22.000]  今天很可惜,這是越來越在我們的生活環境裡面,
[00:09:22.000 --> 00:09:26.000]  我們家裡面沒有十誡,我們的言語中沒有十誡,
[00:09:26.000 --> 00:09:32.000]  我們的言行當中沒有用十誡作為我們的標準,
[00:09:32.000 --> 00:09:41.000]  我們社會當中也不給我們把基督徒這個基本的信仰的條文放在我們裡面。
