
[00:00:00.000 --> 00:00:04.600]  丙姐妹,在八月第一個主日的時候
[00:00:04.600 --> 00:00:08.200]  我有機會用哈伯谷書第一章一至十一節
[00:00:08.200 --> 00:00:11.000]  和大家宣講訊息
[00:00:11.000 --> 00:00:12.200]  很久了吧
[00:00:12.200 --> 00:00:15.800]  當時我的題目仍然是奇妙難測
[00:00:15.800 --> 00:00:17.200]  不過是上集
[00:00:17.200 --> 00:00:22.000]  從先知第一個向上帝發出的疑問
[00:00:22.000 --> 00:00:24.000]  一章二節四節有記載
[00:00:24.000 --> 00:00:28.200]  和神在五章一至十一節對先知的回答
[00:00:28.200 --> 00:00:32.200]  我指出,神之所以奇妙難測
[00:00:32.200 --> 00:00:37.800]  是從神的作爲或容許的事
[00:00:37.800 --> 00:00:41.600]  人未必接納,而且有怨言去看
[00:00:41.600 --> 00:00:46.800]  既然是神,爲何神的作爲或容許的事
[00:00:46.800 --> 00:00:49.800]  人竟然不接納,甚至有怨言呢
[00:00:49.800 --> 00:00:52.600]  因爲他的作爲,他容許的事
[00:00:52.600 --> 00:00:54.600]  真是人意想不到的
[00:00:54.600 --> 00:00:58.400]  另外神的作爲或容許的事
[00:00:58.400 --> 00:01:01.400]  也不是人能夠用邏輯去理解
[00:01:01.400 --> 00:01:03.400]  爲什麼呢
[00:01:03.400 --> 00:01:05.400]  因爲他是上帝,我們是人
[00:01:05.400 --> 00:01:09.400]  很多事情大家不是那麼容易理解
[00:01:09.400 --> 00:01:13.400]  從先知的訊息,我們一起去學習
[00:01:13.400 --> 00:01:16.400]  當我們遇到一些不明白的經歷
[00:01:16.400 --> 00:01:18.400]  我們有三樣必須要留意
[00:01:18.400 --> 00:01:20.400]  和持定的觀念
[00:01:20.400 --> 00:01:24.400]  第一,我們不要隨便放棄
[00:01:24.400 --> 00:01:26.400]  或者放下心水,不管了
[00:01:26.400 --> 00:01:30.400]  我們要留心神接納的作爲
[00:01:30.400 --> 00:01:33.400]  很多時候遇到一些我們不明白的事
[00:01:33.400 --> 00:01:35.400]  或者我們不滿意的事
[00:01:35.400 --> 00:01:37.400]  我們只有一句
