
[00:00:00.000 --> 00:00:02.000]  各位電視機會早上好
[00:00:02.000 --> 00:00:04.200]  很高興見到大家一齊回來教會
[00:00:04.200 --> 00:00:05.480]  我們一齊有崇拜
[00:00:05.480 --> 00:00:08.200]  一齊去聽聽上帝的話語
[00:00:08.200 --> 00:00:12.440]  我們繼續進入五、六月的月題
[00:00:12.440 --> 00:00:14.040]  關愛與團契
[00:00:14.040 --> 00:00:16.040]  今天我也想跟大家思想一下
[00:00:16.040 --> 00:00:17.360]  甚麼是團契
[00:00:17.360 --> 00:00:22.920]  特別我在準備的時候
[00:00:22.920 --> 00:00:24.920]  為我們的團契做一些統計
[00:00:24.920 --> 00:00:27.320]  其實我們教會分了四個年齡目區
[00:00:27.320 --> 00:00:28.520]  兒童區
[00:00:28.520 --> 00:00:29.720]  青少區
[00:00:29.720 --> 00:00:30.560]  兒童區不計了
[00:00:30.560 --> 00:00:31.720]  兒童區有兒童崇拜
[00:00:31.720 --> 00:00:33.040]  也有一個團契
[00:00:33.040 --> 00:00:36.720]  而青少區我們是十三至三十歲
[00:00:36.720 --> 00:00:37.640]  有五個團契
[00:00:37.640 --> 00:00:39.160]  一個主要是培育班
[00:00:39.160 --> 00:00:42.800]  成青區由三十歲到五十五歲
[00:00:42.800 --> 00:00:44.600]  總共有八個團契
[00:00:44.600 --> 00:00:46.600]  也有一個主要是培育班
[00:00:46.600 --> 00:00:48.600]  長青區就五十五歲以上
[00:00:48.600 --> 00:00:49.520]  有三個團契
[00:00:49.520 --> 00:00:50.800]  兩個主要是培育班
[00:00:50.800 --> 00:00:51.960]  很簡單
[00:00:51.960 --> 00:00:53.520]  加起來我們總共有多少個團契呢
[00:00:53.520 --> 00:00:54.760]  如果不計兒童區
[00:00:54.760 --> 00:00:56.440]  總共有十六個團契
[00:00:56.440 --> 00:00:58.160]  主要是培育班我們先不計了
[00:00:58.160 --> 00:01:01.800]  然後當我將團契的人數
[00:01:01.800 --> 00:01:02.680]  怎樣計呢
[00:01:02.680 --> 00:01:03.520]  怎樣知道呢
[00:01:03.520 --> 00:01:05.320]  其實也很難計的
[00:01:05.320 --> 00:01:07.320]  因為如果有團契知道
[00:01:07.320 --> 00:01:10.280]  有些名單團契可能有四十人
[00:01:10.280 --> 00:01:13.000]  但可能穩定回來的團契只有十幾二十個
[00:01:13.000 --> 00:01:17.600]  所以你看到我們每個月都將一些團契數字放在這個表裡面
[00:01:17.600 --> 00:01:21.560]  那我就粗略地將剛才那十六個團契加起來
[00:01:21.560 --> 00:01:24.400]  原來有二百六十人在回團契
[00:01:24.400 --> 00:01:29.760]  當然有時候我發覺如果將最少人數加起來就一百九十
[00:01:29.760 --> 00:01:33.640]  我們的範圍就在一百九十到二百六十之間上落
