
[00:00:00.000 --> 00:00:02.000]  我們繼續來看
[00:00:02.000 --> 00:00:06.000]  哥林多前書十三章
[00:00:06.000 --> 00:00:08.000]  這個愛的詩章
[00:00:08.000 --> 00:00:11.000]  在這個愛的詩章結束的時候
[00:00:11.000 --> 00:00:14.000]  在第十三節的地方
[00:00:14.000 --> 00:00:18.000]  保羅說了一句非常寶貴的話
[00:00:18.000 --> 00:00:22.000]  他說:如今常傳的有信有望有愛
[00:00:22.000 --> 00:00:27.000]  這三樣其中最大的就是愛
[00:00:28.000 --> 00:00:30.000]  上面他講到
[00:00:30.000 --> 00:00:33.000]  哥林多教會的弟兄姊妹
[00:00:33.000 --> 00:00:37.000]  你們很珍惜很多特別的恩賜
[00:00:37.000 --> 00:00:39.000]  這些都是好的
[00:00:39.000 --> 00:00:43.000]  但是你們要珍惜這個愛
[00:00:43.000 --> 00:00:48.000]  因為愛比其他的恩賜更加寶貴
[00:00:48.000 --> 00:00:50.000]  寶貴的地方就是
[00:00:50.000 --> 00:00:53.000]  他好像信望愛這三樣東西
[00:00:53.000 --> 00:00:55.000]  一起都是永恆的
[00:00:55.000 --> 00:00:57.000]  有永恆的價值
[00:00:57.000 --> 00:01:01.000]  你所珍惜的先知廣道之林
[00:01:01.000 --> 00:01:05.000]  你所珍惜的方言的恩賜
[00:01:05.000 --> 00:01:11.000]  你所珍惜的一些知識的恩賜
[00:01:11.000 --> 00:01:13.000]  有一天都會成為過去
[00:01:13.000 --> 00:01:15.000]  都不需要這些
[00:01:15.000 --> 00:01:18.000]  世界上的事物
[00:01:18.000 --> 00:01:23.000]  因為罪因為墮落犯罪的緣故
[00:01:23.000 --> 00:01:26.000]  都變成會腐朽的
[00:01:26.000 --> 00:01:31.000]  會成為過去的
[00:01:31.000 --> 00:01:34.000]  本來我們的生命都可以永恆地活下去
[00:01:34.000 --> 00:01:36.000]  但是因為罪的緣故
[00:01:36.000 --> 00:01:38.000]  在墮落犯罪的情況裏面
[00:01:38.000 --> 00:01:40.000]  人會死
[00:01:40.000 --> 00:01:43.000]  所有物質的東西
[00:01:43.000 --> 00:01:48.000]  包括保羅所講的這些屬靈的恩賜
[00:01:48.000 --> 00:01:52.000]  都會有一個時間成為過去
[00:01:52.000 --> 00:01:55.000]  我們要追求的不是這些暫時的東西
[00:01:55.000 --> 00:01:57.000]  我們要追求的寶貴的東西
[00:01:57.000 --> 00:02:01.000]  是有永恆價值的東西
[00:02:01.000 --> 00:02:02.000]  是什麼呢?
[00:02:02.000 --> 00:02:04.000]  保羅說如今常存的
[00:02:04.000 --> 00:02:06.000]  永遠常存的
[00:02:06.000 --> 00:02:09.000]  有信有望有愛
[00:02:09.000 --> 00:02:12.000]  這三樣之中最大的就是愛
[00:02:12.000 --> 00:02:15.000]  所以我們要追求的是愛
