
[00:00:00.000 --> 00:00:02.480]  各位電影節目早晨,各位來賓早晨
[00:00:02.480 --> 00:00:09.280]  很高興能夠在這個風雨飄搖的日子裏,和大家繼續分享上帝的話語
[00:00:09.280 --> 00:00:12.680]  的確可能今天會造成大家很多的混亂
[00:00:12.680 --> 00:00:17.600]  但是我們都無懼無阻我們去敬拜上主的心
[00:00:17.600 --> 00:00:22.640]  今天我和大家分享的《老家福音》二十章九節十九節
[00:00:22.640 --> 00:00:33.240]  其實它是坐落在二十章裏面整篇關於耶穌的權柄的論述裏面的一個內容的一段
[00:00:33.240 --> 00:00:38.240]  《老家福音》就因為不是我們祖宗堂主題的一個經文
[00:00:38.240 --> 00:00:40.880]  所以我先介紹一下在這個段落裏面
[00:00:40.880 --> 00:00:45.280]  上一次我們的內容裏面看到就是
[00:00:45.280 --> 00:00:52.440]  耶穌的權柄被民事質疑的時候引發出來,接著就是這段的比喻
[00:00:52.440 --> 00:00:56.720]  當時法律賽人就問耶穌,你的權柄在哪裏?
[00:00:56.720 --> 00:01:01.320]  耶穌就問他們,你們知不知道施洗約翰的權柄在哪裏?
[00:01:01.320 --> 00:01:05.240]  他們答不出,於是說,耶穌說,我不告訴你我的權柄
[00:01:05.240 --> 00:01:12.840]  然後就落到這段,這段記載了在聖殿裏面耶穌去教訓人的一個過程
[00:01:12.840 --> 00:01:19.920]  我今天用了這段經文來講,以一個主題就是提到信仰失落的焦點
[00:01:19.920 --> 00:01:24.640]  信仰對於每一個人來講,都有一個很重要的價值
[00:01:24.640 --> 00:01:28.080]  背後是一個行動的理念來的
[00:01:28.080 --> 00:01:31.520]  你有什麼信念,你就會做些什麼?
[00:01:31.520 --> 00:01:36.040]  這個就是我們信仰最根源的、最重要的地方
[00:01:36.040 --> 00:01:41.880]  每個人有不同的信仰,基督徒有信仰裏面的獨特之處
[00:01:41.880 --> 00:01:45.520]  所以,如果我問,從信仰失落的焦點來講
[00:01:45.520 --> 00:01:50.600]  我們應該怎樣定位這個焦點在哪裏呢?
[00:01:50.600 --> 00:01:55.080]  具體來講,作為基督徒的你和我
[00:01:55.080 --> 00:01:58.160]  最大的一個信仰的焦點在哪裏呢?
[00:01:58.160 --> 00:02:00.360]  就是大使命
[00:02:00.360 --> 00:02:05.840]  如果我問你,耶穌的大使命在《馬太福音》第28章裏面
[00:02:05.840 --> 00:02:10.160]  那個大使命是什麼?你會怎樣回答我?
[00:02:10.160 --> 00:02:16.480]  《全福音》,是不是?未夠準確,是使人作門徒
[00:02:16.480 --> 00:02:20.920]  我們看回這28章裏面提到
[00:02:20.920 --> 00:02:24.680]  凡我所吩咐你們的,都要教導他們遵守
[00:02:24.680 --> 00:02:29.800]  你們要去普天下去,使萬民作我的門徒
[00:02:29.800 --> 00:02:36.040]  這個就是前面的要求、使命,作門徒
[00:02:36.040 --> 00:02:41.840]  如果作門徒是我們的信仰的mission and vision的話
[00:02:41.840 --> 00:02:45.440]  就是說我們的使命,我們的目標的話
[00:02:45.440 --> 00:02:51.680]  我們怎樣去有這個重要的建立門徒的一個生命素質呢?
[00:02:51.680 --> 00:02:54.520]  我想給大家兩個思考
[00:02:54.520 --> 00:02:57.160]  第一個是我們要有一個正確的道理
[00:02:57.160 --> 00:03:01.920]  就是說我們要好好辨識聖經真理給我們的教導
[00:03:01.920 --> 00:03:04.560]  我們要承認這個生命之道
[00:03:04.560 --> 00:03:07.120]  然後第二個就是有正確的態度
[00:03:07.120 --> 00:03:09.080]  正確的態度就是忠誠
[00:03:09.080 --> 00:03:13.480]  因為耶穌說,我要吩咐你們的,都要教導他們做
[00:03:13.480 --> 00:03:17.960]  是一代一代傳下去的一個成全的功夫
[00:03:17.960 --> 00:03:23.680]  忠誠是需要降伏,降伏在這位生命之主裏面
[00:03:23.680 --> 00:03:29.160]  辨識是承認這位生命之道是我們一生的主宰
[00:03:29.160 --> 00:03:33.520]  我就想從這個信仰的焦點裏面再次反思
[00:03:33.520 --> 00:03:40.440]  從這個焦點去看,今天我們教會要面對的挑戰是甚麼?
[00:03:40.440 --> 00:03:45.320]  我們教會的角色又面對甚麼的挑戰?
[00:03:45.320 --> 00:03:47.880]  透過這段經文裏面
[00:03:47.880 --> 00:03:52.280]  民事、祭司上這班宗教領袖和耶穌的對話
[00:03:52.280 --> 00:03:55.600]  會不會有些給我們的啟發和提醒呢?
[00:03:55.600 --> 00:04:01.120]  願神來到帶我們,我們一起同心吐告
[00:04:01.120 --> 00:04:04.120]  參賽者,我們要祈求你的聖靈臨在
[00:04:04.120 --> 00:04:09.640]  讓僕人如絕的一口來傳講你的說話,傳講你的信息
[00:04:09.640 --> 00:04:13.360]  讓我們迫激彼此同心的受感動
[00:04:13.360 --> 00:04:19.520]  去迎向你,去跟隨你,去聆聽你的話語
[00:04:19.520 --> 00:04:23.480]  吐告奉耶穌基督聖名祈求,阿們
[00:04:23.480 --> 00:04:27.240]  我們打開這個經文的內頁,我們看回
[00:04:27.240 --> 00:04:32.160]  路加福音第二十章的九節十九節裏面,頭一個段落
[00:04:32.160 --> 00:04:36.800]  由九節至到這個第十六節裏面來說
[00:04:36.800 --> 00:04:41.360]  其實比喻的內容,一點都不難明白
[00:04:41.360 --> 00:04:42.840]  不難理解
[00:04:42.840 --> 00:04:46.920]  整個故事的重心落在原主和原戶之間的衝突
[00:04:46.920 --> 00:04:51.440]  我們由衝突的過程裏面,凸顯了原戶的惡
[00:04:51.440 --> 00:04:54.240]  我們可以將他們這種的行為歸納為一個
[00:04:54.240 --> 00:04:57.760]  叫做殺人掠奪的案件
[00:04:57.760 --> 00:05:01.560]  原戶接二連三地去僭越了自己的本分
[00:05:01.560 --> 00:05:06.240]  違背了承諾,違背了跟原主的納約交租
[00:05:06.240 --> 00:05:08.160]  是原戶之惡
[00:05:08.160 --> 00:05:11.880]  他們甚至為了個人的利益而不惜
[00:05:11.880 --> 00:05:16.960]  除了拒絕納租之外,還打傷了來收租項的僕人
[00:05:16.960 --> 00:05:23.680]  甚至升級去到原主的愛子來收租的時候,都被他們殺害
[00:05:23.680 --> 00:05:25.920]  在整個過程裏面,我們可以看到
[00:05:25.920 --> 00:05:29.760]  在他們的內心裏面的惡是多麼日益猖狂
[00:05:29.760 --> 00:05:35.640]  由不交租項,逐漸升級到殺人掠地,霸佔他人財物
[00:05:35.640 --> 00:05:41.120]  可以稱得上是傷天害理,也可以說是豈有此理
[00:05:41.120 --> 00:05:47.240]  當時耶穌在聖殿裏面教導百姓宣講福音
[00:05:47.240 --> 00:05:49.840]  聽這個比喻的人很多很多
[00:05:49.840 --> 00:05:54.560]  有百姓,同時也有祭司長、民事和長老
[00:05:54.560 --> 00:06:01.400]  在這群猶太人裏面,對於這個法比喻反應最強的將會是哪一群人呢?
[00:06:01.400 --> 00:06:06.560]  我們可以在第十五節下和第十六節中,看到耶穌的反問
[00:06:06.560 --> 00:06:15.120]  引發了這群人急躁的、心急的回應,很強烈的回應
[00:06:15.120 --> 00:06:22.400]  我相信,如果你和我都在其中聽,或者來到這裏當中,你聽這個比喻的時候
[00:06:22.400 --> 00:06:27.080]  你都會懂得去回答耶穌的問題,耶穌的問題是問什麼呢?
[00:06:27.080 --> 00:06:31.240]  耶穌在第十六節、十五節裏面下半節就這樣說了
[00:06:31.240 --> 00:06:37.000]  祂說:這樣,葡萄園主要怎樣處置他們呢?
[00:06:37.000 --> 00:06:48.200]  這群租霸、長期霸佔地方,如果你是業主、戶主的街坊鄰舍,你會怎樣?
[00:06:48.200 --> 00:06:56.040]  當然是趕他們走,打電話,叫警察,很自然的
[00:06:56.040 --> 00:07:01.360]  耶穌提出這個問題,祂說葡萄園主要怎樣處置他們呢?
[00:07:01.360 --> 00:07:09.520]  帶出了祂的建議,祂說:他要來除滅那些園戶,將葡萄園轉給別人
[00:07:09.520 --> 00:07:16.360]  這個問題性的一個問題,這個自問自答的問題,其實都不用你回答
[00:07:16.360 --> 00:07:22.800]  按道理當然是這樣做的,不過換來的就是一群人很強烈的反應
[00:07:22.800 --> 00:07:27.280]  他們的反應是怎樣呢?絕對不可
[00:07:27.280 --> 00:07:33.800]  在這裡我們有一個空間去問,究竟是什麼人,是哪一群人會這樣說話?
[00:07:33.800 --> 00:07:36.240]  或者來到這裡我們停一停
[00:07:36.240 --> 00:07:40.480]  對於這個比喻,我們要有一個加深、進深的認識
[00:07:40.480 --> 00:07:47.840]  究竟耶穌說的葡萄園的比喻有什麼背景呢?
[00:07:47.840 --> 00:07:56.080]  葡萄園所象徵的意思,在猶太人心中,特別是祭司長問事來說是清楚不過的
[00:07:56.080 --> 00:08:02.280]  葡萄園象徵著以色列百姓,象徵著上帝的子民
[00:08:02.280 --> 00:08:08.880]  我們可以在《先知書》、《以塞亞書》第五章裡面看到這個葡萄園之歌
[00:08:08.880 --> 00:08:16.840]  在當中記載了耶和華上帝的心聲,葡萄園象徵著以色列全家,是上帝的子民
[00:08:16.840 --> 00:08:21.280]  在這一章裡面,我們留意到出現了六次的禍災
[00:08:21.280 --> 00:08:27.640]  六次禍災的驚歎詞來傳遞著上帝對引渡以色列人離開上帝
[00:08:27.640 --> 00:08:33.720]  轉向惡事的一班虛假接輩,這班宗教領袖所發出的警告
[00:08:33.720 --> 00:08:39.600]  你們有禍了,你們有禍了,連續講了六次
[00:08:39.600 --> 00:08:50.400]  認為這班人應該忠誠地來按照上帝的律法教導,帶領著百姓跟隨上帝,遠離惡事
[00:08:50.400 --> 00:09:00.080]  然而,這班宗教領袖就藉著從百姓身上去取得利益,卻是違背了上帝的吩咐
[00:09:00.080 --> 00:09:10.360]  所以,《葡萄園之歌》既是上帝發出的審判,同時提醒以色列人要懂得提防這班宗教領袖
[00:09:10.360 --> 00:09:16.000]  時隔,上帝是向這班宗教領袖追討責任
[00:09:16.000 --> 00:09:24.560]  他們這班宗教領袖不僅是失職,更是瀆職,褻瀆上帝給他們的遺憤
[00:09:24.560 --> 00:09:30.680]  因為他們只是懷著個人的利益,而罔顧了上帝的心意
[00:09:30.680 --> 00:09:39.480]  在這樣的背景之下,我們就能夠去明白到聽的人,他們會是怎樣去反應
[00:09:39.480 --> 00:09:44.520]  我們可以看到,昔日的耶和華上帝對著以色列領袖的責難
[00:09:44.520 --> 00:09:53.000]  如今,同樣再次重現於眼前,重現於在耶穌所說的這班人的眼前
[00:09:53.000 --> 00:10:01.520]  到底聽在心裡又能夠有這麼快去反應說絕對不可的人,是誰呢?
[00:10:01.520 --> 00:10:09.560]  就是這種對號入座的方法,讓我們看到這班宗教領袖的失落之處
[00:10:09.560 --> 00:10:16.320]  在他們心中有愧之餘,更加是怒不可歇,很憤怒,很急
[00:10:16.320 --> 00:10:22.960]  所以也控制不了大聲喊「絕對不可」這個訊息
[00:10:22.960 --> 00:10:31.560]  或者,我們再次去深究一下,祭司、蔣民視和蔣路這班宗教領袖
[00:10:31.560 --> 00:10:40.960]  他們的信仰失落的焦點在哪裡?是知識的問題,還是經驗上、經歷上的不足?
[00:10:40.960 --> 00:10:47.240]  如果你熟悉聖經的文化裡面,我們可以很容易去回答這個問題
[00:10:47.240 --> 00:10:52.960]  絕對不是對上帝的認識不足,不是頭腦上的問題
[00:10:52.960 --> 00:11:00.720]  他們都是有識之士,用今天的學歷來說,他們是博士級的人馬
[00:11:00.720 --> 00:11:08.760]  我相信,關鍵是他們對上帝認識,是經歷上的認識的層次
[00:11:08.760 --> 00:11:17.520]  經歷上帝是他們的死穴,因為經歷上帝的意思就是要認真、專心地去跟隨律法的吩咐,行事為人
[00:11:17.520 --> 00:11:23.280]  我們可以想一想,跟隨的訊息,你照做的訊息,很簡單的
[00:11:23.280 --> 00:11:29.200]  你只要放下自己其他的考慮,譬如火燭了,你會怎麼做?
[00:11:29.200 --> 00:11:34.440]  走,你不會再想怎麼走,總之見路就走
[00:11:34.440 --> 00:11:39.000]  不會再想是不是真是假,跟隨就有這個意味,你跟隨吧
[00:11:39.000 --> 00:11:44.280]  跟隨這個權威的上帝去做就可以了,不要擺太多的思考
