
[00:00:00.000 --> 00:00:07.000]  今天各位,第一篇的詩篇就是詩篇27篇
[00:00:07.000 --> 00:00:11.000]  詩篇當中,我自己就寫了幾篇的詩篇
[00:00:11.000 --> 00:00:16.000]  就是《空心中泉》、《空心中泉》、《空心中泉》
[00:00:16.000 --> 00:00:19.000]  《空心中泉》,第一篇的詩篇就是
[00:00:19.000 --> 00:00:22.000]  《空心中泉》,第二篇就是《空心中泉》
[00:00:22.000 --> 00:00:24.000]  《空心中泉》,第三篇就是《空心中泉》
[00:00:24.000 --> 00:00:27.000]  《空心中泉》,第四篇就是《空心中泉》
[00:00:27.000 --> 00:00:30.000]  這篇詩是所有人都寫的一篇詩
[00:00:30.000 --> 00:00:33.000]  這篇詩是《上行之詩》
[00:00:33.000 --> 00:00:36.000]  《空心中泉》,《空心中泉》,第五篇就是
[00:00:36.000 --> 00:00:39.000]  《空心中泉》,第六篇就是《空心中泉》
[00:00:39.000 --> 00:00:41.000]  《空心中泉》,第六篇就是《空心中泉》
[00:00:41.000 --> 00:00:46.000]  我們對上行之詩,以及我們對下行之詩,都很貼心
[00:00:46.000 --> 00:00:50.000]  上行之詩就是當時人們可以上行之詩
[00:00:50.000 --> 00:00:53.000]  就是看著詩篇,聽著詩篇
[00:00:53.000 --> 00:00:57.000]  然後就去看上行之詩
[00:00:57.000 --> 00:01:01.000]  當你去看上行之詩的時候
[00:01:01.000 --> 00:01:05.000]  在你問上行之詩,大家就會看著詩篇
[00:01:05.000 --> 00:01:09.000]  聽著詩篇,然後就看著詩篇,然後就看著詩篇
[00:01:09.000 --> 00:01:13.000]  這些詩就給你看過時的形象
[00:01:13.000 --> 00:01:17.000]  所以這首詩就是給你的心情
[00:01:17.000 --> 00:01:19.000]  去看著詩篇
[00:01:19.000 --> 00:01:22.000]  我們來看看這首詩怎樣
[00:01:22.000 --> 00:01:25.000]  它就說,若不使用見到常屋
[00:01:25.000 --> 00:01:28.000]  見到的人就往意而去
[00:01:28.000 --> 00:01:31.000]  若不使用看守常識
[00:01:31.000 --> 00:01:34.000]  看守的人就往意而去
[00:01:34.000 --> 00:01:38.000]  所以這首詩就告訴你
[00:01:38.000 --> 00:01:41.000]  神是很關心我們見到常屋
[00:01:41.000 --> 00:01:45.000]  也很關心我們看守常識
[00:01:45.000 --> 00:01:49.000]  即是神是覺得你這個體制是好人
[00:01:49.000 --> 00:01:52.000]  那就不需要這首詩變了
[00:01:52.000 --> 00:01:55.000]  就連詩都會搞到你的神不見了
[00:01:55.000 --> 00:01:58.000]  連詩都會搞到你的性命是不安全的
[00:01:58.000 --> 00:02:01.000]  因為神關心我們見到常屋
[00:02:01.000 --> 00:02:04.000]  祂都關心我們寫的詩詩的安全
[00:02:04.000 --> 00:02:08.000]  就是因為這首詩變了,根本就有了神
[00:02:08.000 --> 00:02:11.000]  在我們見到常屋,有了他的旨意
[00:02:11.000 --> 00:02:14.000]  有了一些他想帶領的心意
[00:02:14.000 --> 00:02:17.000]  就不需要去思考這件事
[00:02:17.000 --> 00:02:20.000]  也不需要去思考這一個經典的心情
[00:02:20.000 --> 00:02:26.000]  因為他們知道常看守我們見到常屋之前
[00:02:26.000 --> 00:02:29.000]  穆斯的身世不光亮
[00:02:29.000 --> 00:02:32.000]  所以我年輕的時候,長遠就很認知
[00:02:32.000 --> 00:02:35.000]  我都知道自己在灣區坐在旁邊
[00:02:35.000 --> 00:02:39.000]  所以其實我是沒有想過在灣區坐在旁邊
[00:02:39.000 --> 00:02:42.000]  因為我知道穆斯的身世不光亮
[00:02:42.000 --> 00:02:47.000]  所以就不需要去思考這一個經典的心情
[00:02:47.000 --> 00:02:50.000]  所以我年輕的時候,長遠就很認知
[00:02:50.000 --> 00:02:53.000]  我都知道自己在灣區坐在旁邊
[00:02:53.000 --> 00:02:56.000]  所以其實我是沒有想過在灣區坐在旁邊
[00:02:56.000 --> 00:02:59.000]  所以我年輕的時候,長遠就很認知
[00:02:59.000 --> 00:03:02.000]  我都知道自己在灣區坐在旁邊
[00:03:02.000 --> 00:03:05.000]  所以我年輕的時候,長遠就很認知
[00:03:05.000 --> 00:03:08.000]  我都知道自己在灣區坐在旁邊
