
[00:00:00.000 --> 00:00:04.000]  上星期由鄭牧師帶大家去看整個十三章
[00:00:04.000 --> 00:00:08.000]  其實整個十三章由第一節到三十三節
[00:00:08.000 --> 00:00:10.000]  今天我不是和大家這樣看
[00:00:10.000 --> 00:00:12.000]  我們只是看開頭
[00:00:12.000 --> 00:00:14.000]  第一節到第七節
[00:00:14.000 --> 00:00:19.000]  第一節到第七節記載了一段是神和約書亞說的一番說話
[00:00:19.000 --> 00:00:25.000]  因為跟著這番說話開始了有關分地的記載
[00:00:25.000 --> 00:00:31.000]  從約書亞十三章第一節提到很清楚聖經這樣說
[00:00:31.000 --> 00:00:34.000]  約書亞年紀老邁
[00:00:34.000 --> 00:00:37.000]  耶和華對他說你年紀老邁了
[00:00:37.000 --> 00:00:39.000]  還有許多未得之地
[00:00:39.000 --> 00:00:42.000]  說的是約旦河以西的地區
[00:00:42.000 --> 00:00:49.000]  神告訴約書亞你要將這些地分給九個支派和馬來西哥半個支派
[00:00:49.000 --> 00:00:52.000]  到了第六節神更加強調一個重點
[00:00:52.000 --> 00:00:58.000]  神說我必在以色列人面前趕出他們去
[00:00:58.000 --> 00:01:00.000]  神清楚這樣說
[00:01:00.000 --> 00:01:04.000]  他說他必要在以色列人的面前趕出
[00:01:04.000 --> 00:01:06.000]  即是本身那裏有人住
[00:01:06.000 --> 00:01:09.000]  神說他會他做
[00:01:09.000 --> 00:01:10.000]  他趕出那裏的人
[00:01:10.000 --> 00:01:13.000]  神強調的東西就是他說他要做
[00:01:13.000 --> 00:01:14.000]  他會做
[00:01:14.000 --> 00:01:19.000]  不過我要說一個很重要的我們的原則
[00:01:19.000 --> 00:01:24.000]  我們說神會做不代表人不需要做
[00:01:24.000 --> 00:01:25.000]  什麼意思呢
[00:01:25.000 --> 00:01:27.000]  神有他做的部份
[00:01:27.000 --> 00:01:29.000]  人也有人做的部份
[00:01:29.000 --> 00:01:32.000]  這個是整個段落裏面的內容
[00:01:32.000 --> 00:01:38.000]  我們要很清楚很需要掌握的一個重要的真理
[00:01:38.000 --> 00:01:40.000]  很多時候我不知道你在信仰的路上
[00:01:40.000 --> 00:01:44.000]  你有沒有曾經試過有一些這樣的迷思
[00:01:44.000 --> 00:01:49.000]  或者我會說其實那些都是我們一些的誤解
[00:01:49.000 --> 00:01:51.000]  以為如果我們說上帝會做的時候
[00:01:51.000 --> 00:01:52.000]  我們就怎樣
