
[00:00:00.000 --> 00:00:05.380]  以色列書第43章從15到第19節
[00:00:05.380 --> 00:00:06.580]  這裡說我是耶和華
[00:00:06.580 --> 00:00:09.120]  你們的聖者是創造以色列的
[00:00:09.120 --> 00:00:10.660]  是你們的君王
[00:00:10.660 --> 00:00:12.420]  耶和華在滄海中開道
[00:00:12.420 --> 00:00:14.060]  在大水中開路
[00:00:14.060 --> 00:00:17.940]  此車輛馬匹軍兵勇士都出來一同躺下
[00:00:17.940 --> 00:00:19.020]  不再起來
[00:00:19.020 --> 00:00:22.900]  他們面目好像熄滅的燈火
[00:00:22.900 --> 00:00:24.180]  18節耶和華如此說
[00:00:24.180 --> 00:00:26.140]  你們不要紀念從前的事
[00:00:26.140 --> 00:00:28.140]  也不要思想古時的事
[00:00:28.140 --> 00:00:30.140]  看哪我要做一件新事
[00:00:30.140 --> 00:00:32.220]  如今要發現你們豈不知道嗎
[00:00:32.220 --> 00:00:34.300]  我必須在曠野開道路
[00:00:34.300 --> 00:00:36.060]  在沙漠開江河
[00:00:36.060 --> 00:00:37.660]  我們就讀到這裡
[00:00:37.660 --> 00:00:41.580]  現在是今年的最後一個主日
[00:00:41.580 --> 00:00:47.980]  在這裡預先恭祝大家新年很快樂
[00:00:47.980 --> 00:00:49.340]  在年終的時候
[00:00:49.340 --> 00:00:53.020]  特別是在這樣經濟不景氣的時代
[00:00:53.020 --> 00:00:55.260]  我們常常在年終一種感覺
[00:00:55.260 --> 00:00:58.700]  好不容易熬過了這一年
[00:00:58.700 --> 00:01:01.900]  但事實上當我們往前看前面一年的時候
[00:01:01.900 --> 00:01:05.980]  好像前景也未必更加燦爛不是嗎
[00:01:05.980 --> 00:01:09.020]  你無論是現在美國政府在面對的
[00:01:09.020 --> 00:01:12.220]  這Fiscal Cliff財務的懸崖
[00:01:12.220 --> 00:01:13.980]  無論過不過得去
[00:01:13.980 --> 00:01:16.380]  明年的加稅是必然的
[00:01:16.380 --> 00:01:17.500]  真的是這樣
[00:01:17.500 --> 00:01:21.180]  那無論政治人物怎麼給我們保證
[00:01:21.180 --> 00:01:25.820]  我們看見經濟還沒有整個能夠回轉的跡象
[00:01:25.820 --> 00:01:29.420]  面對這些充滿危機的時代
[00:01:29.420 --> 00:01:32.220]  好像我們有一種無力感不是嗎
[00:01:32.220 --> 00:01:36.220]  會覺得沒有一件事情是在我們掌握之中
[00:01:36.220 --> 00:01:40.700]  甚至連我們的信仰也都有一種無力感
[00:01:40.700 --> 00:01:43.660]  我們怎麼樣能夠活得更加活潑呢
[00:01:43.660 --> 00:01:47.260]  我們怎麼樣能夠活得更加有能力呢
[00:01:47.260 --> 00:01:48.620]  面對這新的一年
[00:01:48.620 --> 00:01:52.780]  各位兄弟姐妹你需要一種新的信心
[00:01:52.780 --> 00:01:56.380]  需要一種新的信心來跟隨神
[00:01:56.380 --> 00:01:58.620]  而這種新的信心
[00:01:58.620 --> 00:02:04.860]  就是根基在你對神有一種更新的認識上
[00:02:04.860 --> 00:02:08.060]  所以今天早上我們要從剛才這段經文當中
[00:02:08.060 --> 00:02:09.740]  從五方面
[00:02:09.740 --> 00:02:14.700]  我來提到怎麼樣我們能夠更新我們對神的認識
[00:02:14.700 --> 00:02:21.100]  有讓我們能夠有一個新的信心來面對這新的一年
[00:02:21.100 --> 00:02:24.140]  五方面我們怎麼樣來更新我們對神的認識
[00:02:24.140 --> 00:02:27.500]  第一方面在十五節裡面神自己說
[00:02:27.500 --> 00:02:29.420]  我是耶和華
[00:02:29.420 --> 00:02:32.620]  祂的名字就是耶和華
[00:02:32.620 --> 00:02:34.620]  我們常常提這個字耶和華
[00:02:34.620 --> 00:02:37.180]  但耶和華是什麼意思
[00:02:37.180 --> 00:02:40.220]  事實上在原文裡面耶和華這個字
[00:02:40.220 --> 00:02:45.580]  好像我們英文的B動詞第一人稱的B動詞
