
[00:00:00.000 --> 00:00:03.680]  下星期六就是年初一
[00:00:03.680 --> 00:00:05.160]  是很開心的日子
[00:00:05.160 --> 00:00:07.680]  既是等待新的開始
[00:00:07.680 --> 00:00:12.360]  又好像是另類的結束
[00:00:12.360 --> 00:00:15.120]  即是農曆年的結束
[00:00:15.120 --> 00:00:17.440]  我不知道過去幾個月
[00:00:17.440 --> 00:00:21.040]  很多時評論員都會不停說什麼現象
[00:00:21.040 --> 00:00:22.640]  估計將來會怎樣
[00:00:22.640 --> 00:00:24.760]  很多的揣測
[00:00:24.760 --> 00:00:26.160]  年近歲晚
[00:00:26.160 --> 00:00:29.080]  很多時你會發覺多了很多人出來說話
[00:00:29.080 --> 00:00:30.480]  特別是算命的
[00:00:30.480 --> 00:00:31.800]  看風水的
[00:00:31.800 --> 00:00:34.680]  堪輿家
[00:00:34.680 --> 00:00:36.160]  講將來會怎樣的
[00:00:36.160 --> 00:00:37.760]  講很多的
[00:00:37.760 --> 00:00:40.240]  一般人無論有沒有宗教信仰
[00:00:40.240 --> 00:00:42.240]  都很喜歡預知未來
[00:00:42.240 --> 00:00:44.400]  你是不是
[00:00:44.400 --> 00:00:47.880]  你想不想預知未來
[00:00:47.880 --> 00:00:50.280]  想不想
[00:00:50.280 --> 00:00:54.960]  想是因為好奇
[00:00:54.960 --> 00:00:57.720]  亦都希望可以趨吉避凶
[00:00:57.720 --> 00:00:59.920]  有所防備
[00:00:59.920 --> 00:01:02.480]  《聖經》其實都有一些記載
[00:01:02.480 --> 00:01:07.040]  是講述有關預言未來的事情
[00:01:07.040 --> 00:01:10.440]  今日我跟大家講的題目叫
[00:01:10.440 --> 00:01:14.000]  《鑒欖山上的景時》
[00:01:14.000 --> 00:01:16.400]  經文在《馬可福音》的十三章
[00:01:16.400 --> 00:01:18.240]  其實整個十三章
[00:01:18.240 --> 00:01:21.040]  都是講末世的預言
[00:01:21.040 --> 00:01:24.320]  和一個先知性的宣講
[00:01:24.320 --> 00:01:25.120]  是什麼來的呢
[00:01:25.120 --> 00:01:29.680]  就是耶穌講到將來末世發生的情景是怎樣的
[00:01:29.680 --> 00:01:33.120]  然後對信徒一些提示和警告
[00:01:33.120 --> 00:01:34.560]  這個就是說
[00:01:34.560 --> 00:01:37.640]  在末世裡對信徒有沒有意思呢
[00:01:37.640 --> 00:01:41.680]  今日我們是否正面對末世的景象呢
[00:01:41.680 --> 00:01:43.720]  《馬可福音》的十三章
[00:01:43.720 --> 00:01:45.720]  其實在《馬可福音》裡
[00:01:45.720 --> 00:01:48.240]  耶穌在臨離世之前
[00:01:48.240 --> 00:01:49.320]  最後一番
[00:01:49.320 --> 00:01:51.840]  我們叫做最後的留言
[00:01:51.840 --> 00:01:54.920]  提醒門徒要等候主在來
[00:01:54.920 --> 00:01:58.640]  叫他們在災難裡都要堅持
[00:01:58.640 --> 00:02:00.440]  十三章之後到十四章
[00:02:00.440 --> 00:02:03.120]  耶穌和門徒吃最後晚餐
[00:02:03.120 --> 00:02:05.640]  然後在喀西瑪利園祈禱
[00:02:05.640 --> 00:02:07.440]  之後耶穌就被捕
[00:02:07.440 --> 00:02:09.440]  十五章是講到耶穌受審
[00:02:09.440 --> 00:02:10.760]  然後被釘
[00:02:10.760 --> 00:02:12.800]  十六章是講到耶穌復活
[00:02:12.800 --> 00:02:14.000]  之後向門徒顯現
[00:02:14.000 --> 00:02:15.400]  然後升天
[00:02:15.400 --> 00:02:16.920]  所以在十三章可以記載
[00:02:16.920 --> 00:02:20.480]  就是耶穌在《馬可福音》作者的記載裡
[00:02:20.480 --> 00:02:24.320]  是最後一段跟門徒說話的說話
[00:02:24.320 --> 00:02:28.600]  我略略將它分成四個範圍
[00:02:28.600 --> 00:02:34.400]  第一是耶穌預言的聖殿會被毀
[00:02:34.400 --> 00:02:37.440]  然後將來災難的時候有什麼兆頭
[00:02:37.440 --> 00:02:39.080]  究竟有什麼情景
[00:02:39.080 --> 00:02:41.240]  災難過後會有什麼情況
[00:02:41.240 --> 00:02:42.880]  有什麼盼望
[00:02:42.880 --> 00:02:47.440]  最後耶穌有一個終極的警告和提醒
[00:02:47.440 --> 00:02:50.080]  十三章一開始
[00:02:50.080 --> 00:02:52.840]  是講到耶穌從聖殿出來
[00:02:52.840 --> 00:02:55.280]  其實是從哪裡出來的呢
[00:02:55.280 --> 00:02:59.080]  其實從十一章開始看
[00:02:59.080 --> 00:03:00.360]  十一章二十七節
[00:03:00.360 --> 00:03:03.000]  一開始就說耶穌又去到耶路撒冷了
[00:03:03.000 --> 00:03:05.200]  一去到聖殿的時候
[00:03:05.200 --> 00:03:07.840]  他就由二十七節開始
[00:03:07.840 --> 00:03:10.000]  直到整個十二章
[00:03:10.000 --> 00:03:11.120]  很大的段落
[00:03:11.120 --> 00:03:12.400]  你都會看到耶穌
[00:03:12.400 --> 00:03:15.120]  是跟那些宗教領袖和祭司
[00:03:15.120 --> 00:03:17.320]  跟那些文士和長老
[00:03:17.320 --> 00:03:21.560]  做一些變動
[00:03:21.560 --> 00:03:22.880]  去試探耶穌
[00:03:22.880 --> 00:03:23.920]  耶穌怎麼回答他
[00:03:23.920 --> 00:03:26.080]  是否正確
[00:03:26.080 --> 00:03:28.320]  直到十二章的最後
[00:03:28.320 --> 00:03:29.080]  他說
[00:03:29.080 --> 00:03:32.320]  耶穌就從聖殿的銀庫出來
[00:03:32.320 --> 00:03:33.200]  看著
[00:03:33.200 --> 00:03:36.000]  去賺一個窮寡婦的奉獻
[00:03:36.000 --> 00:03:37.840]  然後十三章一開始
[00:03:37.840 --> 00:03:40.320]  耶穌就從聖殿出來
[00:03:40.320 --> 00:03:42.000]  出來的時候
[00:03:42.000 --> 00:03:44.240]  耶穌從聖殿出來的時候
[00:03:44.240 --> 00:03:47.480]  門徒對著他說
[00:03:47.480 --> 00:03:48.640]  老師你看看
[00:03:48.640 --> 00:03:51.720]  多壯觀多漂亮多了不起的石頭
[00:03:51.720 --> 00:03:52.480]  就是說
[00:03:52.480 --> 00:03:56.320]  這個建築物多厲害
[00:03:56.320 --> 00:04:00.280]  門徒在讚嘆這麼宏偉的建築物
[00:04:00.280 --> 00:04:01.640]  多厲害
[00:04:01.640 --> 00:04:03.920]  很多人去到同福堂敬拜的時候
[00:04:03.920 --> 00:04:05.120]  第一個反應
[00:04:05.120 --> 00:04:08.200]  就是這個牆都不錯
[00:04:08.200 --> 00:04:10.880]  特別是很壯觀很高
[00:04:10.880 --> 00:04:12.720]  我記得我有一次帶一個朋友來
[00:04:12.720 --> 00:04:14.960]  他說最令他覺得
[00:04:14.960 --> 00:04:16.120]  嘩一聲的
[00:04:16.120 --> 00:04:17.440]  是一個很大的螢光幕
[00:04:17.440 --> 00:04:19.320]  看著那些字看得很清楚
[00:04:19.320 --> 00:04:21.320]  敬拜的時候那些字
[00:04:21.320 --> 00:04:24.120]  還有那些背景是會動的
[00:04:24.120 --> 00:04:27.000]  覺得很震撼
[00:04:27.000 --> 00:04:29.000]  究竟有什麼了不起呢這些石頭
