
[00:00:00.000 --> 00:00:03.880]  今天我們繼續利希米記講道系列
[00:00:03.880 --> 00:00:05.880]  看第十一章
[00:00:05.880 --> 00:00:11.080]  以色列和利希米主題是重建聖結
[00:00:11.080 --> 00:00:13.440]  從物質的角度來說
[00:00:13.440 --> 00:00:16.440]  他們是重建聖殿開始
[00:00:16.440 --> 00:00:18.440]  然後延伸到建造城牆
[00:00:18.440 --> 00:00:22.120]  但如果從他們的人民的關係上
[00:00:22.120 --> 00:00:25.640]  是神呼召一些領袖
[00:00:25.640 --> 00:00:30.520]  然後延伸到百姓的宗教改革當中
[00:00:30.520 --> 00:00:35.480]  第十一章其實是為我們描繪了一幅圖畫
[00:00:35.480 --> 00:00:40.840]  見到一群熱心追求聖結的耶路撒冷子民
[00:00:40.840 --> 00:00:42.840]  大家如果記得第一章開始的時候
[00:00:42.840 --> 00:00:45.400]  耶路撒冷的情況是十分可憐的
[00:00:45.400 --> 00:00:48.520]  貧困、受鄰居欺凌
[00:00:48.520 --> 00:00:51.640]  甚至沒有人願意住在耶路撒冷
[00:00:51.640 --> 00:00:55.560]  因為它仍然是一片廢墟
[00:00:55.560 --> 00:00:59.080]  但到了第十一章情況就完全不同了
[00:00:59.080 --> 00:01:01.640]  百姓的領袖住在耶路撒冷
[00:01:01.640 --> 00:01:03.240]  其餘的百姓抽籤
[00:01:03.240 --> 00:01:07.800]  每十人中選一人內住在聖城耶路撒冷
[00:01:07.800 --> 00:01:10.680]  另外九人住在別的城鎮
[00:01:10.680 --> 00:01:15.560]  凡甘心樂意住在耶路撒冷的百姓都為他們祝福
[00:01:15.560 --> 00:01:18.360]  主要的領導人都住在耶路撒冷
[00:01:18.360 --> 00:01:24.760]  包括勇士、長官、做殿內公職的、做族長的
[00:01:24.760 --> 00:01:28.280]  聖城裡的利美人、守門的弟兄
[00:01:28.280 --> 00:01:32.280]  為耶路撒冷盛場行奉獻禮的時候
[00:01:32.280 --> 00:01:35.720]  眾人把各處的利美人召到耶路撒冷
[00:01:35.720 --> 00:01:43.960]  要以清謝歌唱、鼓瑟敲筆、彈琴喜樂地行奉獻禮
[00:01:43.960 --> 00:01:46.760]  那天眾人獻上豐盛的祭物
[00:01:46.760 --> 00:01:47.960]  並且歡樂
[00:01:47.960 --> 00:01:50.200]  因為神使他們大大歡樂
[00:01:50.200 --> 00:01:52.840]  連婦女帶孩童也都歡樂
[00:01:52.840 --> 00:01:58.680]  甚至從遠處的都可以聽到耶路撒冷的歡聲
[00:01:58.680 --> 00:02:04.600]  第四十六節和第四十七節對比當日和古時
[00:02:04.600 --> 00:02:07.800]  不單止可以相提並論
[00:02:07.800 --> 00:02:11.960]  可以說今天的榮耀遠勝古時
[00:02:11.960 --> 00:02:14.360]  古時在大衛和阿薩的日子
[00:02:14.360 --> 00:02:18.840]  有歌唱的領獎並有讚美清謝神的詩歌
[00:02:18.840 --> 00:02:22.200]  但是到了所羅巴伯和利希米的時候
[00:02:22.200 --> 00:02:25.960]  以色列眾人唱歌唱的
[00:02:25.960 --> 00:02:30.360]  將歌唱的、守門的、每日所當得的份
[00:02:30.360 --> 00:02:31.480]  恭給他們
[00:02:31.480 --> 00:02:33.880]  有給利美人當得的份
[00:02:33.880 --> 00:02:38.760]  利美人有給亞倫的子孫當得的份
[00:02:38.760 --> 00:02:39.400]  怎麼說呢
[00:02:39.400 --> 00:02:40.440]  用今天的說法來說
[00:02:40.440 --> 00:02:43.240]  worship team都是on staff的
[00:02:43.240 --> 00:02:47.160]  歌手都得到公平的補償
[00:02:47.160 --> 00:02:50.120]  歌手唱得開心的時候
[00:02:50.120 --> 00:02:52.360]  大家一起唱的時候都開心一點
[00:02:52.360 --> 00:02:54.040]  因為感染
[00:02:54.040 --> 00:02:58.760]  所以這是一個很美麗的圖畫
[00:02:58.760 --> 00:03:03.720]  是一個熱心聖潔的子民的圖畫
[00:03:03.720 --> 00:03:06.760]  令我們想到這麼大的改變
[00:03:06.760 --> 00:03:09.320]  在十一章聖經裡面這麼大的改變
[00:03:09.320 --> 00:03:12.440]  是什麼令到這些人
[00:03:12.440 --> 00:03:18.040]  回到重建聖潔的熱情當中呢
[00:03:18.040 --> 00:03:20.360]  回答這個問題之前
[00:03:20.360 --> 00:03:24.120]  我認為我其實需要回顧一下
[00:03:24.120 --> 00:03:28.440]  解釋聖經敘事文體幾個重要的原則
[00:03:28.440 --> 00:03:32.040]  聖經其實並非只是記載了一些史實
[00:03:32.040 --> 00:03:33.880]  讓我們自由解釋的
[00:03:33.880 --> 00:03:35.960]  作一些故事、作一些解釋出來
[00:03:35.960 --> 00:03:37.800]  寫歷史的目的
[00:03:37.800 --> 00:03:41.960]  本身就是解釋事情的來龍去脈
[00:03:41.960 --> 00:03:46.680]  歷史家嘗試交代事情的因果關係
[00:03:46.680 --> 00:03:49.640]  因此當我們去讀歷史的時候
[00:03:49.640 --> 00:03:52.840]  是需要區別原因和結果
[00:03:52.840 --> 00:03:56.440]  我們也需要尊重作者的原意
[00:03:56.440 --> 00:03:59.720]  明白這個歷史家對歷史的解釋
[00:03:59.720 --> 00:04:01.800]  要明白歷史這個問題
[00:04:01.800 --> 00:04:04.040]  是要通過上文下理
[00:04:04.040 --> 00:04:07.480]  來找到這個歷史的解釋
[00:04:07.480 --> 00:04:09.240]  第十一章的內容
[00:04:09.240 --> 00:04:10.200]  究竟你想一下
[00:04:10.200 --> 00:04:13.640]  這個是猶太人熱心聖潔的原因
[00:04:13.640 --> 00:04:15.800]  還是結果呢
[00:04:15.800 --> 00:04:17.560]  想一想
[00:04:17.560 --> 00:04:19.000]  是不是做這些事情
[00:04:19.000 --> 00:04:22.440]  就能夠建立一個熱心聖潔的群體呢
[00:04:22.440 --> 00:04:25.160]  譬如說規定十個家庭當中的一個
[00:04:25.160 --> 00:04:28.040]  就住在教會、步在教會
[00:04:28.040 --> 00:04:31.720]  強迫人人都要學彈琴、學彈結他
[00:04:31.720 --> 00:04:34.520]  規定每個人都要互送禮物
[00:04:34.520 --> 00:04:36.120]  隔時送禮物
[00:04:36.120 --> 00:04:41.880]  甚至是必須去模仿古代的崇拜
[00:04:41.880 --> 00:04:45.000]  我覺得這個是結果
[00:04:45.000 --> 00:04:48.600]  就是說作者很明顯是告訴他
