
[00:00:00.000 --> 00:00:02.000]  各位代言人,姐妹們,平安!
[00:00:02.000 --> 00:00:11.000]  剛才聽福音經課的時候,聽到最後,有沒有覺得恐怖的感覺?
[00:00:11.000 --> 00:00:19.000]  有人告訴我今天是7月14日,但是我說不是,今天是新的7月14日。
[00:00:19.000 --> 00:00:24.500]  我想大家看看這幅畫。
[00:00:27.000 --> 00:00:32.000]  這幅畫就是剛才中毒的福音經課的故事。
[00:00:32.000 --> 00:00:40.000]  這個故事在藝術裏面,在西方世界經常出現的,是一個經常出現的主題。
[00:00:40.000 --> 00:00:49.000]  現在投影出來的是意大利的畫家卡拉雅喬在他的晚年大概1607年的時候的作品。
[00:00:50.000 --> 00:01:02.000]  你看到在碟上有一個人頭,那個人頭應該是斯洗約翰的頭,但是畫家把自己的樣子畫上去,所以那個是他的樣子。
[00:01:02.000 --> 00:01:13.000]  你看到他把人頭放在碟上,交給一個少女,那個少女藝術家幫他改了一個名字叫做沙洛美。
[00:01:14.000 --> 00:01:24.000]  所以那幅畫叫做沙洛美接收斯洗約翰的頭,盤子上的頭就是今天的講題的上半部。
[00:01:24.000 --> 00:01:37.000]  你看到在這幅畫裏面,那個少女接收頭的時候,其實她的眼睛是向外望的,她沒有望著頭,她似乎是不想看。
[00:01:38.000 --> 00:01:48.000]  但是你看到後面還有一個人,畫家把她畫成一個老婦人,她仍然望著約翰的頭。
[00:01:48.000 --> 00:02:01.000]  後人推測這個婦人應該是沙洛美的母親希羅底。這幅畫現在是收藏在倫敦的英國國家畫廊裏面。
[00:02:02.000 --> 00:02:17.000]  至於講題的下半部,男子上的餅在哪裏呢?男子上的餅大家剛才聽就聽不到,但是其實它是在這段經文的下文來的。
[00:02:17.000 --> 00:02:29.000]  我知道這個下文其實是下一個星期的經課來的,不過下個星期大師哥講到就不會講經課,所以我就很安全地可以把它講完。
[00:02:30.000 --> 00:02:34.000]  下文是這樣講的,六章三十節:
[00:02:34.000 --> 00:02:45.000]  「司徒聚集到耶穌那裏,將一切所做的事,所傳的道傳告訴他。他就說:「你們來,給我暗暗地到曠野地方去歇一歇。」
[00:02:46.000 --> 00:03:01.000]  「這時因為來往的人多,他們連吃飯也沒有工夫,他們就坐船,暗暗地往曠野地方去。眾人看見他們去,有許多認識他們的,就從各城步行一同跑到那裏,被他們先趕到了。」
[00:03:02.000 --> 00:03:22.000]  「耶穌出來,見有許多人就憐憫他們,因為他們如同羊沒有牧人一般,於是開口教訓他們許多道理。天已經晚了,門徒進前來說:「這是野地,天已經晚了,請叫眾人散開,他們好去四面鄉村裏去,自己買什麼吃。」
[00:03:23.000 --> 00:03:33.000]  「耶穌回答說:「你們給他們吃吧。」「門徒說:「我們可以去買二十兩銀子的餅給他們吃嗎?」「耶穌說:「你們有多少餅,可以去看看。」
[00:03:34.000 --> 00:04:01.000]  「他們知道了,就說:「五個餅,兩條魚。」「耶穌吩咐他們,叫眾人一幫一幫地坐在青草地上,眾人就一排一排地坐下,有一百一排的,有五十一排的。」「耶穌拿著這五個餅,兩條魚,望著天祝福,抹開餅,遞給門徒,擺在眾人面前,也把那兩條魚分給眾人,他們都吃,並且吃飽了。」
[00:04:02.000 --> 00:04:06.000]  「六個餅,三條魚,收拾起來,裝滿了十二個男子。」
[00:04:06.000 --> 00:04:17.000]  「男子上的餅」就在這個故事裏面出現的,你又看看男子上的餅這幅畫,它所表現的是一個什麼樣的狀況。
[00:04:18.000 --> 00:04:43.000]  「五餅,二魚」其實也是在藝術史裏面經常出現的主題,你在這幅畫裏面,你見到有一個,應該是耶穌在中間,就穿著紅色的長袍,畫家將他的頭畫到發光,一手拿著籃,上面裝著麵包,似乎是想邀請人來分享。
[00:04:44.000 --> 00:04:53.000]  你見到旁邊周圍的景象,有老人家,有小朋友,有男人,有女人,似乎大家都很開心,呈現一幅寬騰的景象。
