
[00:00:00.000 --> 00:00:03.160]  好,各位頂尖媒體,各位來賓,晚安
[00:00:03.160 --> 00:00:14.080]  今天的話題很有趣的,叫做「教育公共空間」
[00:00:14.080 --> 00:00:20.040]  其實也頗為特別的一個講題
[00:00:20.040 --> 00:00:23.720]  可能有些人不知道這是甚麼意思
[00:00:23.720 --> 00:00:29.720]  不如我考考大家,甚麼是公共空間呢?
[00:00:29.720 --> 00:00:37.240]  我相信最近我們搞的公共空間就是那條馬路的公園
[00:00:37.240 --> 00:00:41.280]  又叫做公民廣場
[00:00:41.280 --> 00:00:43.560]  好像要發表一些東西,你就去
[00:00:43.560 --> 00:00:46.400]  不過我發覺最多人發表意見就是
[00:00:46.400 --> 00:00:50.480]  明天星期日外傭在那裏
[00:00:50.480 --> 00:00:57.560]  他們有很多方式去發表他們對生命的體會
[00:00:57.560 --> 00:01:04.240]  另外傳統來說,在一些所謂社區會堂裏面
[00:01:04.240 --> 00:01:08.760]  我想無論是在外國的處境
[00:01:08.760 --> 00:01:10.800]  或者中國人在祠堂門口
[00:01:10.800 --> 00:01:15.880]  都是處理公民關注的事件的地方
[00:01:15.880 --> 00:01:24.480]  我想北京的人民大會堂是否公共空間讓我們發表意見呢?
[00:01:24.480 --> 00:01:26.480]  這個就很難說了
[00:01:26.480 --> 00:01:31.560]  所以大家又不是完全不知道甚麼是公共空間
[00:01:31.560 --> 00:01:33.840]  不如這樣說吧,我們就看看
[00:01:33.840 --> 00:01:37.200]  公共空間我在網上找到大概是這樣的意思
[00:01:37.200 --> 00:01:42.600]  就是公眾發表意見的空間
[00:01:42.600 --> 00:01:46.160]  討論關於社會大眾的問題
[00:01:46.160 --> 00:01:51.040]  以及期望有個集體發掘解決的辦法
[00:01:51.040 --> 00:01:52.560]  如果這樣說的時候
[00:01:52.560 --> 00:01:58.960]  公共空間是否一定是一個實體空間呢?
[00:01:58.960 --> 00:02:03.360]  好像大家現在坐在這裏的一個地方
[00:02:03.360 --> 00:02:05.360]  是不是呢?
[00:02:05.360 --> 00:02:06.800]  是否一定要這樣才做得到?
[00:02:06.800 --> 00:02:11.240]  這裏所說的能夠大家發表意見關於社會大眾的問題
[00:02:11.240 --> 00:02:16.280]  集思廣益去解決一些大家都關注的議程
[00:02:16.280 --> 00:02:19.760]  是否一定要找到地方大家坐在一起才做得到呢?
[00:02:19.760 --> 00:02:21.120]  不是的
[00:02:21.120 --> 00:02:24.080]  今天社會已經發展到一個地步
[00:02:24.080 --> 00:02:26.400]  我們可以是...
[00:02:26.400 --> 00:02:27.480]  其實都不是新事物
[00:02:27.480 --> 00:02:30.920]  以前你都可以打電話去封煙節目發表你的看法
[00:02:30.920 --> 00:02:33.120]  已經有一個節目
[00:02:33.120 --> 00:02:36.040]  每逢星期日都會在一般或維園
[00:02:36.040 --> 00:02:40.120]  或者現在都在其他地方舉行的叫做城市論壇
[00:02:40.120 --> 00:02:43.520]  亦都是一個我們純粹發表的地方
[00:02:43.520 --> 00:02:46.440]  甚至現在在網上的世界
