
[00:00:00.000 --> 00:00:04.280]  今天我們繼續翻開哥倫多前書第三章
[00:00:04.280 --> 00:00:06.600]  繼續看這本書卷
[00:00:06.600 --> 00:00:10.840]  讓神在當中給我們的學習、教導
[00:00:10.840 --> 00:00:13.200]  首先想問大家一個問題
[00:00:13.200 --> 00:00:15.400]  大家喜不喜歡行山?
[00:00:15.400 --> 00:00:18.080]  鴨頭喜歡行山
[00:00:18.080 --> 00:00:20.240]  你知不知道香港最高的山是哪個?
[00:00:20.240 --> 00:00:22.920]  大家都知道是大帽山
[00:00:22.920 --> 00:00:24.040]  有多高呢?
[00:00:24.040 --> 00:00:27.560]  有人知道有多高嗎?
[00:00:28.800 --> 00:00:32.320]  應該是接近一千公尺吧?
[00:00:32.320 --> 00:00:35.200]  有九百多公尺
[00:00:35.200 --> 00:00:40.000]  全港最高的山叫做大帽山
[00:00:40.000 --> 00:00:40.880]  俗稱大帽山
[00:00:40.880 --> 00:00:42.400]  因為上去有很多霧
[00:00:42.400 --> 00:00:45.080]  全世界最高的山呢?
[00:00:45.080 --> 00:00:48.880]  喜瑪拉雅山
[00:00:48.880 --> 00:00:51.360]  裡面是一個山脈
[00:00:51.360 --> 00:00:53.680]  有一個山峰是最高的
[00:00:53.680 --> 00:00:55.480]  叫做阿非爾士峰
[00:00:55.480 --> 00:00:58.600]  那是全世界最高的山峰
[00:00:58.800 --> 00:01:00.520]  那山峰有多高呢?
[00:01:00.520 --> 00:01:01.480]  大家知不知道呢?
[00:01:01.480 --> 00:01:04.800]  有多少千公尺呢?
[00:01:04.800 --> 00:01:08.480]  八百四百
[00:01:08.480 --> 00:01:08.920]  很厲害
[00:01:08.920 --> 00:01:10.400]  有一個很清晰的答案
[00:01:10.400 --> 00:01:11.520]  八百四百是甚麼呢?
[00:01:11.520 --> 00:01:13.000]  米
[00:01:13.000 --> 00:01:15.680]  我和你的資料差不多
[00:01:15.680 --> 00:01:18.800]  就是八千八百多公尺
[00:01:18.800 --> 00:01:21.560]  那就是全世界最高了
[00:01:21.560 --> 00:01:23.160]  全世界最高
[00:01:23.160 --> 00:01:25.280]  剛好你看了就會發覺
[00:01:25.280 --> 00:01:28.160]  可能在內地當中有誰上過去呢?
[00:01:28.800 --> 00:01:30.640]  可能有些是上國旗的
[00:01:30.640 --> 00:01:31.640]  剛才答案那個
[00:01:31.640 --> 00:01:33.240]  我相信他有機會上過去
[00:01:33.240 --> 00:01:34.560]  那麼
[00:01:34.560 --> 00:01:36.040]  很高
[00:01:36.040 --> 00:01:37.760]  我們通常在圖片上看到
[00:01:37.760 --> 00:01:39.880]  或者在電視機裡面看到
[00:01:39.880 --> 00:01:42.120]  看到中年積雪
[00:01:42.120 --> 00:01:44.280]  看到真的會發覺
[00:01:44.280 --> 00:01:46.480]  如果你仰望上去
[00:01:46.480 --> 00:01:48.640]  實在難以攀登
[00:01:48.640 --> 00:01:52.000]  那麼在水平線的角度去看
[00:01:52.000 --> 00:01:54.640]  一個就是阿非爾士峰
[00:01:54.640 --> 00:01:56.160]  一個就是大帽山
[00:01:56.160 --> 00:01:58.880]  你就會發覺大帽山算不得甚麼了
[00:01:58.880 --> 00:02:00.840]  那裡不是很高的山而已
[00:02:00.840 --> 00:02:04.000]  那麼如果人和人體的比較
[00:02:04.000 --> 00:02:05.560]  就是在生活裡面看的話
[00:02:05.560 --> 00:02:07.480]  這個人高不可攀
[00:02:07.480 --> 00:02:09.560]  這個人已經算不得甚麼
[00:02:09.560 --> 00:02:11.000]  但是
[00:02:11.000 --> 00:02:12.920]  如果你從另一個角度去看
[00:02:12.920 --> 00:02:15.680]  從一個衛星的圖片
[00:02:15.680 --> 00:02:18.080]  去看回這個地球
[00:02:18.080 --> 00:02:19.840]  看回這個山脈
[00:02:19.840 --> 00:02:21.400]  看回這個海洋
[00:02:21.400 --> 00:02:22.680]  你就會發覺到
[00:02:22.680 --> 00:02:24.400]  好像大家都差不多
