
[00:00:00.000 --> 00:00:02.560]  董姐妹平安
[00:00:02.560 --> 00:00:06.220]  見到當中有很多很熟悉的面孔
[00:00:06.220 --> 00:00:09.160]  我們返教會越來,其實我們
[00:00:09.160 --> 00:00:13.580]  大家都會聽到很多很多不同的見證
[00:00:13.580 --> 00:00:15.580]  其實如果我們回想一下
[00:00:15.580 --> 00:00:19.480]  最令我們,或者最令你難忘的見證
[00:00:19.480 --> 00:00:23.480]  最能夠幫助到你去面對困難的
[00:00:23.480 --> 00:00:28.360]  是一些怎樣的見證呢?
[00:00:28.360 --> 00:00:30.360]  互相我們聽了很多見證的時候
[00:00:30.360 --> 00:00:33.520]  我們可以說很多都是很成功的見證
[00:00:33.520 --> 00:00:34.800]  意思就是說
[00:00:34.800 --> 00:00:38.240]  裡面我們見到神真是聽人的祈禱
[00:00:38.240 --> 00:00:40.240]  神是怎樣賜福人
[00:00:40.240 --> 00:00:42.800]  失業的找到工作
[00:00:42.800 --> 00:00:45.040]  重病的得到醫治
[00:00:45.040 --> 00:00:48.040]  不孕的生下雙胞胎
[00:00:48.040 --> 00:00:50.320]  這些都證明神是聽祈禱的
[00:00:50.320 --> 00:00:52.160]  這些都是好的
[00:00:52.160 --> 00:00:54.520]  都是獻上感恩的祭
[00:00:54.520 --> 00:00:56.720]  都要繼續
[00:00:56.720 --> 00:00:59.440]  但是台下還有很多
[00:00:59.440 --> 00:01:02.680]  在研究苦苦的禱告
[00:01:02.680 --> 00:01:06.040]  研究在尋找工作
[00:01:06.040 --> 00:01:10.640]  研究在長期的病患裡面掙扎
[00:01:10.640 --> 00:01:13.800]  病症還未得到醫治
[00:01:13.800 --> 00:01:19.200]  始終沒有小朋友的家庭
[00:01:19.200 --> 00:01:24.600]  在當中神是不是就是沒有聽祈禱
[00:01:24.600 --> 00:01:28.520]  他們的見證是不是就是不成功的呢?
[00:01:28.520 --> 00:01:31.000]  我們都很喜歡成功
[00:01:31.000 --> 00:01:35.560]  早前在一些由商業人士選出的
[00:01:35.560 --> 00:01:38.320]  傑出的年輕人
[00:01:38.320 --> 00:01:39.320]  傑出人士
[00:01:39.320 --> 00:01:41.920]  他們的勵志感言
[00:01:41.920 --> 00:01:45.000]  有很多人的批評
[00:01:45.000 --> 00:01:46.320]  但是這個我們想一下
[00:01:46.320 --> 00:01:49.200]  不是正正就是香港這個中環價值
[00:01:49.200 --> 00:01:51.480]  高度商業化的思維
[00:01:51.480 --> 00:01:55.200]  無論是選舉的人或者被選的人
[00:01:55.200 --> 00:01:57.160]  都很重要的是成功
[00:01:57.160 --> 00:01:59.240]  成功才好
[00:01:59.240 --> 00:02:01.520]  軟弱是不受歡迎的
[00:02:01.520 --> 00:02:03.920]  成功才值得誇耀
[00:02:03.920 --> 00:02:06.560]  軟弱是沒有資格的
[00:02:06.560 --> 00:02:10.440]  正常的人都會選擇成功
[00:02:10.440 --> 00:02:12.640]  是不會選擇軟弱
[00:02:12.640 --> 00:02:15.920]  但問題是人往往在人生當中
[00:02:15.920 --> 00:02:18.640]  不是由得你可以去選擇
[00:02:18.640 --> 00:02:21.120]  當我們落在軟弱的當中
[00:02:21.120 --> 00:02:24.280]  我們有什麼可以去選擇呢?
[00:02:24.280 --> 00:02:26.280]  今天的經文
[00:02:26.280 --> 00:02:27.960]  是說到
[00:02:27.960 --> 00:02:30.760]  在哥倫多教會裡面出現了很多假使徒
[00:02:30.760 --> 00:02:34.560]  他們更加自稱為超級使徒
[00:02:34.560 --> 00:02:37.080]  本來為了要面對他們的時候
[00:02:37.080 --> 00:02:38.320]  逼不得已
[00:02:38.320 --> 00:02:42.400]  多次的去誇口
[00:02:42.400 --> 00:02:44.160]  為自己誇口
[00:02:44.160 --> 00:02:46.760]  就是我們現在的「曬命」
[00:02:46.760 --> 00:02:49.680]  跟哥倫多信徒說
[00:02:49.680 --> 00:02:51.600]  不是他們才成功的
[00:02:51.600 --> 00:02:52.680]  你看看我
[00:02:52.680 --> 00:02:54.200]  我也很成功的
[00:02:54.200 --> 00:02:56.760]  包括我有很多的權柄
[00:02:56.760 --> 00:03:00.440]  包括我為基督多愁的患難
[00:03:00.440 --> 00:03:05.360]  最後他將他藏起了14年的秘密武器拿出來
[00:03:05.360 --> 00:03:07.440]  他說他在14年前
[00:03:07.440 --> 00:03:09.120]  他曾經有過一個經歷
[00:03:09.120 --> 00:03:12.520]  就是神將他提到三層天的裡面
[00:03:12.520 --> 00:03:14.600]  後期他稱為「樂園」
[00:03:14.600 --> 00:03:16.680]  就是我們今天所說的天堂
[00:03:16.680 --> 00:03:20.120]  神將他提到那一處,聽到隱密處裡面
[00:03:20.120 --> 00:03:25.720]  很隱蔽,不是人能夠理解的言語
[00:03:25.720 --> 00:03:27.360]  他要告訴別人
[00:03:27.360 --> 00:03:29.240]  他很成功,很有quality
[00:03:29.240 --> 00:03:32.960]  而這正是哥倫多人要看重的事情
[00:03:32.960 --> 00:03:33.880]  但普羅他說
[00:03:33.880 --> 00:03:36.360]  我宣稱這些誇口
[00:03:36.360 --> 00:03:38.320]  並不是我願意的
[00:03:38.320 --> 00:03:40.240]  是逼不得已的
[00:03:40.240 --> 00:03:41.960]  如果要誇口的
[00:03:41.960 --> 00:03:45.960]  普羅說我寧願指著我自己的軟弱來誇口
[00:03:45.960 --> 00:03:48.480]  軟弱有什麼值得誇口的
[00:03:48.480 --> 00:03:51.320]  一代使徒普羅行神跡其事
[00:03:51.320 --> 00:03:52.800]  他能夠醫病趕鬼
[00:03:52.800 --> 00:03:54.960]  他曾經叫死人復活
[00:03:54.960 --> 00:03:56.680]  他有軟弱嗎?
[00:03:56.680 --> 00:03:58.040]  他有什麼軟弱?
[00:03:58.040 --> 00:04:01.560]  我們一起來看看普羅在軟弱的時候
[00:04:01.560 --> 00:04:05.560]  其實有什麼可以選擇
[00:04:05.560 --> 00:04:07.680]  請聽我再次讀出第七第八節
[00:04:07.680 --> 00:04:11.480]  他說:又恐怕我因所得的啟示太高深
[00:04:11.480 --> 00:04:13.320]  就過於高抬自己
[00:04:13.320 --> 00:04:16.160]  所以一根刺加在我身上
[00:04:16.160 --> 00:04:18.640]  就算撒旦的差役來折磨我
[00:04:18.640 --> 00:04:21.000]  免得我過於高抬自己
[00:04:21.000 --> 00:04:23.680]  為了這事,我曾三次求主
[00:04:23.680 --> 00:04:26.920]  這根刺離開我
[00:04:26.920 --> 00:04:30.920]  一開始的時候他提到三層天的宗教經驗
[00:04:30.920 --> 00:04:32.960]  是靈性的高峰
[00:04:32.960 --> 00:04:37.880]  是作為使徒,作為傳道人的一個成功
