
[00:00:00.000 --> 00:00:06.000]  大家好,又來讀聖經,新命樹書架網絡為您提供的聖經人聖經時
[00:00:06.000 --> 00:00:10.000]  今日講的是謝氏我的愛子,都是施洗約翰講的
[00:00:10.000 --> 00:00:16.000]  閱讀得多些關於施洗約翰,是越覺得這個人好厲害
[00:00:16.000 --> 00:00:20.000]  他亦都好有福,因為他能夠為主耶穌做先鋒
[00:00:20.000 --> 00:00:22.000]  見到主耶穌好多事情
[00:00:22.000 --> 00:00:28.000]  如果能夠見到主耶穌洗禮,由天上有聲音講,有聖靈降下禮
[00:00:28.000 --> 00:00:31.000]  主耶穌在水裏面上來,嘩,多厲害
[00:00:31.000 --> 00:00:37.000]  而且還是我為他施洗的,嘩,真是絕世的福氣
[00:00:37.000 --> 00:00:40.000]  施洗約翰就看到這些
[00:00:40.000 --> 00:00:44.000]  先看看思想,謝氏我的愛子
[00:00:44.000 --> 00:00:51.000]  馬太三章十三節,當下在那個時間,耶穌從加利利留到約旦河
[00:00:51.000 --> 00:00:59.000]  加利利在當日猶太恆省北部,加利利海那邊
[00:00:59.000 --> 00:01:01.000]  加利利北部
[00:01:01.000 --> 00:01:06.000]  他來到南邊近死海耶路撒冷,來到約旦河
[00:01:06.000 --> 00:01:10.000]  見約翰,然後要受他的洗
[00:01:10.000 --> 00:01:17.000]  很明顯,這一次主耶穌到南邊找施洗約翰幫他洗禮
[00:01:17.000 --> 00:01:22.000]  是特意的,從加利利來到約旦河
[00:01:22.000 --> 00:01:24.000]  來約旦河,不然他會去猶太省
[00:01:24.000 --> 00:01:28.000]  因為這個約旦河洗禮的地方,我都講過了
[00:01:28.000 --> 00:01:31.000]  如果你有機會去以色列
[00:01:31.000 --> 00:01:38.000]  傳說中,主耶穌洗禮的地方,嘩,曠野
[00:01:38.000 --> 00:01:45.000]  施洗約翰,曠野有人聲喊著說,預備他的路,收拾他的道
[00:01:45.000 --> 00:01:48.000]  曠野有人聲喊著說
[00:01:48.000 --> 00:01:53.000]  即是曠野來的,都說我們由耶路撒冷坐旅遊巴
[00:01:53.000 --> 00:01:56.000]  高速公路由耶路撒冷出發
[00:01:56.000 --> 00:02:01.000]  去到約旦河,施洗約翰洗禮,耶穌洗禮的地方
[00:02:01.000 --> 00:02:03.000]  都近三個小時
[00:02:03.000 --> 00:02:09.000]  嘩,你說走了很遠,他還由北部加利利走下來,沒兩天不行
[00:02:09.000 --> 00:02:12.000]  我想要睡兩晚在露天
[00:02:12.000 --> 00:02:15.000]  嘩,露宿,這樣真的不容易
[00:02:15.000 --> 00:02:20.000]  耶穌是特別下來找施洗約翰洗禮的
[00:02:20.000 --> 00:02:23.000]  所以他一來都是去約旦河,而不是去耶路撒冷
[00:02:23.000 --> 00:02:27.000]  因為多數是耶路撒冷聖殿,他是去約旦河
[00:02:27.000 --> 00:02:31.000]  是找約翰,然後你幫我洗禮,我想你幫我洗禮
[00:02:31.000 --> 00:02:34.000]  施洗約翰眼睛都大了,不是吧
[00:02:34.000 --> 00:02:36.000]  哎呀,不好意思,對不起
[00:02:36.000 --> 00:02:39.000]  又不好,不好,不行,為什麼
[00:02:39.000 --> 00:02:45.000]  我幫你提鞋也不配,你幫我洗禮是對的
[00:02:45.000 --> 00:02:50.000]  我怎麼敢幫你洗,我當受你的洗
[00:02:50.000 --> 00:02:55.000]  你返島上我借你來嗎,如果你在那裡洗禮,我馬上去找你
[00:02:55.000 --> 00:03:00.000]  你來我這裡,我不配,我不配,我怎麼可以幫你洗禮
[00:03:00.000 --> 00:03:03.000]  我當受你的洗是對的
[00:03:03.000 --> 00:03:09.000]  耶穌回答說,你暫且許我,你先讓我洗,你幫我洗
[00:03:09.000 --> 00:03:14.000]  因為我們理當這樣盡諸般的義
[00:03:14.000 --> 00:03:19.000]  我們,理當
[00:03:19.000 --> 00:03:21.000]  有一個字要留意
[00:03:21.000 --> 00:03:27.000]  他是說我們,因為我們理當盡諸般的義
[00:03:27.000 --> 00:03:33.000]  我們,其實他除了,這個諸般的義先解釋
