
[00:00:00.000 --> 00:00:03.000]  各位恩全暫訊會的領子們平安
[00:00:03.000 --> 00:00:07.000]  在講道之先請大家和我一起同心祈禱
[00:00:07.000 --> 00:00:12.000]  親愛的主 我們多謝你今早有這樣的福分
[00:00:12.000 --> 00:00:15.000]  我們可以這麼自由地來到你的殿中
[00:00:15.000 --> 00:00:17.000]  去敬拜 去親近你
[00:00:17.000 --> 00:00:20.000]  又多謝你讓我們可以這樣打開你的說話
[00:00:20.000 --> 00:00:23.000]  從聆聽 學習 遵行
[00:00:23.000 --> 00:00:25.000]  來到去親近 服侍你
[00:00:25.000 --> 00:00:27.000]  原諒你自己使用這段時間
[00:00:27.000 --> 00:00:29.000]  你賜下你的聖靈
[00:00:29.000 --> 00:00:32.000]  讓光照我們每一個人的內心
[00:00:32.000 --> 00:00:35.000]  讓我們能夠明白轉你自己的心腸
[00:00:35.000 --> 00:00:37.000]  你的話語完全得著我們
[00:00:37.000 --> 00:00:39.000]  改變我們的生命
[00:00:39.000 --> 00:00:41.000]  在你面前仰望等候
[00:00:41.000 --> 00:00:43.000]  是奉耶穌基督的命結構
[00:00:43.000 --> 00:00:45.000]  阿們
[00:00:45.000 --> 00:00:47.000]  在《盧教好音》第十九章裡面
[00:00:47.000 --> 00:00:52.000]  其實主要是由兩個的比喻組成的
[00:00:52.000 --> 00:00:56.000]  第一個比喻就是有關所謂不義管家的比喻
[00:00:56.000 --> 00:00:58.000]  是由第一節到第十三節
[00:00:58.000 --> 00:01:02.000]  第二個比喻就是財主和拉撒路的比喻
[00:01:02.000 --> 00:01:05.000]  是由十七節到三十一節
[00:01:05.000 --> 00:01:10.000]  而這兩個比喻其實所表達的核心信息是一樣的
[00:01:10.000 --> 00:01:12.000]  簡單來說
[00:01:12.000 --> 00:01:18.000]  就是今天人怎樣在世上用我們的金錢
[00:01:18.000 --> 00:01:22.000]  會影響到我們將來永恆的命運
[00:01:22.000 --> 00:01:24.000]  再來一次
[00:01:24.000 --> 00:01:29.000]  第一個比喻就是今天人怎樣在世上用我們的金錢
[00:01:29.000 --> 00:01:34.000]  會影響到我們將來永恆的命運
[00:01:34.000 --> 00:01:36.000]  第一個比喻
[00:01:36.000 --> 00:01:41.000]  可以說是很簡單很直接地將這個信息說出來
[00:01:41.000 --> 00:01:43.000]  而第二個比喻
[00:01:43.000 --> 00:01:48.000]  可以說是更豐富更具體地去演繹這個真理
[00:01:48.000 --> 00:01:51.000]  我們用少許時間看看這個第一個比喻
[00:01:51.000 --> 00:01:54.000]  由第一節到十三節所謂的不義管家
