
[00:00:00.000 --> 00:00:02.000]  主持人:大家好
[00:00:02.000 --> 00:00:07.000]  靈命維生術不是我給你們的
[00:00:07.000 --> 00:00:14.000]  靈命維生術是從神的話語而來
[00:00:14.000 --> 00:00:22.000]  有沒有想過,如果這個世界只有你一個人,沒有其他人會怎樣呢?
[00:00:22.000 --> 00:00:28.000]  記得最初神造天地的時候
[00:00:28.000 --> 00:00:32.000]  最初只有亞當一個人
[00:00:32.000 --> 00:00:39.000]  有想過會多麼寂寞,只有一個人
[00:00:39.000 --> 00:00:42.000]  但一個人也有好處
[00:00:42.000 --> 00:00:45.000]  沒有那麼吵鬧
[00:00:45.000 --> 00:00:48.000]  沒有那麼多紛爭
[00:00:48.000 --> 00:00:55.000]  但我們知道人自從犯罪之後就有一個罪性在裏面
[00:00:55.000 --> 00:00:59.000]  人的存在就是有一個罪性在裏面
[00:00:59.000 --> 00:01:02.000]  以前我說過很多次
[00:01:02.000 --> 00:01:07.000]  最基本的罪性有三個
[00:01:07.000 --> 00:01:10.000]  我們有貪念,有貪心
[00:01:10.000 --> 00:01:15.000]  別人的東西我們也想要貪
[00:01:15.000 --> 00:01:17.000]  我們會自私
[00:01:17.000 --> 00:01:23.000]  我們自己也不夠,不想分給別人
[00:01:23.000 --> 00:01:26.000]  先留給自己
[00:01:26.000 --> 00:01:30.000]  想事情先想自己
[00:01:30.000 --> 00:01:33.000]  我們也會妒忌
[00:01:33.000 --> 00:01:37.000]  別人比我們好,我們也會妒忌
[00:01:37.000 --> 00:01:41.000]  隔壁的房子比我們大,我們也會妒忌
[00:01:41.000 --> 00:01:46.000]  他的子女比我們的子女乖,我們也會妒忌
[00:01:46.000 --> 00:01:53.000]  潛在的罪性是人犯了罪之後,罪就來到這個世界已經有很多年了
[00:01:53.000 --> 00:02:00.000]  這三個所謂罪的罪性
[00:02:00.000 --> 00:02:04.000]  可以引申到很多其他的罪惡
[00:02:04.000 --> 00:02:09.000]  人就變得很自大
[00:02:09.000 --> 00:02:13.000]  很多人與人之間的紛爭
[00:02:13.000 --> 00:02:16.000]  還有仇恨
[00:02:16.000 --> 00:02:22.000]  但我們知道我們不是一個人住在這個世界
[00:02:22.000 --> 00:02:27.000]  因為我們要過一個群體的生活
[00:02:27.000 --> 00:02:30.000]  我們在家裡有家庭
[00:02:30.000 --> 00:02:35.000]  我們出去讀書的時候有同學
[00:02:35.000 --> 00:02:41.000]  有些人說我自己在家裡教自己的孩子,他們不需要上學都可以
[00:02:41.000 --> 00:02:47.000]  有些人真的在家裡教自己的孩子就算了
[00:02:47.000 --> 00:02:51.000]  可以教到他很厲害都可以
[00:02:51.000 --> 00:02:57.000]  尤其是那些比較有資質的天才兒童
[00:02:57.000 --> 00:03:03.000]  實在上學好像浪費了,因為老師都不知道怎麼教你,太厲害了
[00:03:03.000 --> 00:03:10.000]  有些父母真的選擇在家裡教他們
[00:03:10.000 --> 00:03:14.000]  他可能真的可以教到他很厲害都不一定
[00:03:14.000 --> 00:03:18.000]  但有一樣東西他們是學不到的
[00:03:18.000 --> 00:03:21.000]  就是群體的生活
[00:03:21.000 --> 00:03:24.000]  人與人之間的交通
