
[00:00:00.000 --> 00:00:07.000]  丙姐妹,在七月頭有一個香港很重要的案件
[00:00:07.000 --> 00:00:10.000]  作出了一個結案
[00:00:10.000 --> 00:00:14.000]  是關於一宗偽造遺囑的案件
[00:00:14.000 --> 00:00:19.000]  結果被告被判刑十二年
[00:00:19.000 --> 00:00:24.000]  這件事我可以說得出一個很重要的事實
[00:00:24.000 --> 00:00:27.000]  就是假的真是真不了
[00:00:27.000 --> 00:00:34.000]  而造假的人也要為自己所造的付上沉重的代價
[00:00:34.000 --> 00:00:36.000]  假的真得了
[00:00:36.000 --> 00:00:40.000]  意思就是說如果本身這件事是假
[00:00:40.000 --> 00:00:43.000]  你怎樣扮都是假
[00:00:43.000 --> 00:00:47.000]  你扮到幾次都是假
[00:00:47.000 --> 00:00:50.000]  早一輪在一間國際學校
[00:00:50.000 --> 00:00:54.000]  申請任教一個短期合約的老師
[00:00:54.000 --> 00:01:01.000]  後來被揭發他持有一個偽造的大學碩士學位證書
[00:01:01.000 --> 00:01:04.000]  當然結果是被揭發
[00:01:04.000 --> 00:01:10.000]  坊間也充滿不少假貨假食物甚至假道理
[00:01:10.000 --> 00:01:14.000]  被欺騙的人可能會招致金錢損失
[00:01:14.000 --> 00:01:19.000]  嚴重的可能會影響健康甚至生命
[00:01:19.000 --> 00:01:24.000]  所以我去年年中在五堂的時候講過一篇道
[00:01:24.000 --> 00:01:26.000]  因為講到哥羅西書
[00:01:26.000 --> 00:01:30.000]  我給個題目叫要小心慎防假冒
[00:01:30.000 --> 00:01:32.000]  小心的A4
[00:01:32.000 --> 00:01:37.000]  而最近全能神教會大張旗鼓
[00:01:37.000 --> 00:01:40.000]  在香港宣揚不合聖經的真理
[00:01:40.000 --> 00:01:43.000]  告訴他有位女基督我們要跟從她
[00:01:43.000 --> 00:01:49.000]  不是說很多很多的新移民甚至我們的頂姐妹
[00:01:49.000 --> 00:01:51.000]  都受到一些影響
[00:01:51.000 --> 00:01:55.000]  他們會以恐嚇的手段對待那些叛教
[00:01:55.000 --> 00:01:58.000]  或者知道真相而離開的人
[00:01:58.000 --> 00:02:01.000]  這種手法真的很像黑社會的手法
[00:02:01.000 --> 00:02:05.000]  這個手法我們知道是背後撒旦的操控
[00:02:05.000 --> 00:02:08.000]  也是末世的一個現象
[00:02:08.000 --> 00:02:14.000]  有些頂姐妹因為自己的遭遇會懷疑神對她的愛
[00:02:14.000 --> 00:02:18.000]  甚至因為自己的經歷懷疑自己是否得救
[00:02:18.000 --> 00:02:22.000]  有一間教會的弟兄他手機壞了
[00:02:22.000 --> 00:02:26.000]  他就說會不會是神對他的懲罰呢
[00:02:26.000 --> 00:02:28.000]  因為原本在端午節的時候
[00:02:28.000 --> 00:02:33.000]  答應了參與教會的外展工作去臨時退縮
[00:02:33.000 --> 00:02:37.000]  於是他認為這個手機壞是和這件事有絕對的關係
[00:02:37.000 --> 00:02:40.000]  頂姐妹,我們會不會因為一些經歷
[00:02:40.000 --> 00:02:43.000]  以致我們懷疑我們的上帝
[00:02:43.000 --> 00:02:46.000]  懷疑我們和上帝的關係呢
[00:02:46.000 --> 00:02:49.000]  假的,真不了
[00:02:49.000 --> 00:02:53.000]  相反,真的,也假不了
[00:02:53.000 --> 00:02:56.000]  在楊一書開始的時候
[00:02:56.000 --> 00:02:59.000]  約翰來到去指斥那些傳異教的人
[00:02:59.000 --> 00:03:03.000]  假道理人,他們這些錯誤的道理
[00:03:03.000 --> 00:03:07.000]  接著約翰來到去將他的重點
[00:03:07.000 --> 00:03:11.000]  轉移到去多說一些可以建立信徒的信息
[00:03:11.000 --> 00:03:15.000]  希望他們在上帝的面前有鞏固的信心
[00:03:15.000 --> 00:03:17.000]  當然,整卷書裡面
[00:03:17.000 --> 00:03:19.000]  約翰不斷穿插
[00:03:19.000 --> 00:03:22.000]  不斷的指出異端的威脅
[00:03:22.000 --> 00:03:26.000]  但同時間都要讓讀者和以後的信徒知道
[00:03:26.000 --> 00:03:29.000]  他們是有得救的把握
[00:03:29.000 --> 00:03:32.000]  在約翰一書五章第三節
[00:03:32.000 --> 00:03:34.000]  我們有神的兒子就有生命
[00:03:34.000 --> 00:03:37.000]  這個見證告訴你,我們是有永生的
[00:03:37.000 --> 00:03:39.000]  在剛才所讀的經文裡面
[00:03:39.000 --> 00:03:41.000]  有一個很重要的特色
[00:03:41.000 --> 00:03:43.000]  吧什麼什麼,就什麼什麼
[00:03:43.000 --> 00:03:47.000]  一個很有邏輯的一個表述
[00:03:47.000 --> 00:03:50.000]  這卷書告訴你
[00:03:50.000 --> 00:03:52.000]  基督徒有永生之道
[00:03:52.000 --> 00:03:55.000]  在年頭第一篇的信息裡面
[00:03:55.000 --> 00:03:58.000]  就告訴你,我們有每一個生命之道
[00:03:58.000 --> 00:04:02.000]  而且我們願意將這個生命之道彼此的傳揚
[00:04:02.000 --> 00:04:03.000]  另一個很重要的事實
[00:04:03.000 --> 00:04:05.000]  就是剛才所讀的經文
[00:04:05.000 --> 00:04:07.000]  三章一至三節裡面告訴你
[00:04:07.000 --> 00:04:10.000]  我們是得稱為神的兒女
[00:04:10.000 --> 00:04:12.000]  我們實在是神的子女
[00:04:12.000 --> 00:04:14.000]  兄弟姐妹
[00:04:14.000 --> 00:04:17.000]  我們知不知道這麼真實的一個事實呢?
[00:04:17.000 --> 00:04:19.000]  這就是天父恩典
[00:04:19.000 --> 00:04:22.000]  斯班唱出一首很美麗的詩歌
[00:04:22.000 --> 00:04:23.000]  其中一節告訴你
[00:04:23.000 --> 00:04:28.000]  親愛主牽我的手,把我這個屬你的兒女
[00:04:28.000 --> 00:04:30.000]  引領回家
[00:04:30.000 --> 00:04:32.000]  兄弟姐妹
[00:04:32.000 --> 00:04:34.000]  你是不是很真實的經歷到
[00:04:34.000 --> 00:04:36.000]  這個這麼重要的身份
[00:04:36.000 --> 00:04:38.000]  你是不是很真實的相信
[00:04:38.000 --> 00:04:40.000]  我們是屬於上帝的
[00:04:40.000 --> 00:04:42.000]  無論我今天的遭遇如何
[00:04:42.000 --> 00:04:44.000]  落在一個多艱難的環境裡面
[00:04:44.000 --> 00:04:47.000]  我們的父神會引領我們
[00:04:47.000 --> 00:04:50.000]  回到天家祂的面前呢?
[00:04:50.000 --> 00:04:52.000]  我們不只是有永生之道
[00:04:52.000 --> 00:04:54.000]  我們更加是神的子女
[00:04:54.000 --> 00:04:56.000]  正如保羅在《羅馬書》所說
[00:04:56.000 --> 00:05:02.000]  聖靈與我們的心同證我們是神的兒女
[00:05:02.000 --> 00:05:04.000]  既然是兒女
[00:05:04.000 --> 00:05:06.000]  我們就是祂的後製
[00:05:06.000 --> 00:05:08.000]  我們就能夠有一天
[00:05:08.000 --> 00:05:11.000]  可以和祂一同得這個榮耀
[00:05:11.000 --> 00:05:13.000]  兄弟姐妹
[00:05:13.000 --> 00:05:16.000]  一個很真實的事實告訴你
[00:05:16.000 --> 00:05:19.000]  我們可以將來和上帝
[00:05:19.000 --> 00:05:21.000]  和我們的聖父、聖子、聖靈
[00:05:21.000 --> 00:05:23.000]  三位的真神
[00:05:23.000 --> 00:05:25.000]  同享這份榮耀
[00:05:25.000 --> 00:05:28.000]  在《論語經文》或《證券書》裡面
[00:05:28.000 --> 00:05:31.000]  約翰告訴我們一個很重要的真相
[00:05:31.000 --> 00:05:33.000]  這個真相第一點
[00:05:33.000 --> 00:05:35.000]  是告訴我們
[00:05:35.000 --> 00:05:37.000]  我們作為神的兒女
[00:05:37.000 --> 00:05:39.000]  是可以坦然無懼的
[00:05:39.000 --> 00:05:41.000]  去到神的面前
[00:05:41.000 --> 00:05:42.000]  我們去到神的面前
[00:05:42.000 --> 00:05:44.000]  不單止無懼
[00:05:44.000 --> 00:05:47.000]  我們也不會無愧的去到神的面前
[00:05:47.000 --> 00:05:49.000]  我們一起中讀28至29節
[00:05:49.000 --> 00:05:51.000]  預備起
[00:05:51.000 --> 00:05:53.000]  小子們呀
[00:05:53.000 --> 00:05:55.000]  你們要住在主裡面
[00:05:55.000 --> 00:05:57.000]  這樣祂若顯現
[00:05:57.000 --> 00:05:59.000]  我們就可以坦然無懼
[00:05:59.000 --> 00:06:01.000]  當祂來的時候
